Gene stable ID	Transcript stable ID
ENSBTAG00000003063	ENSBTAT00000069185
ENSBTAG00000003063	ENSBTAT00000074850
ENSBTAG00000003063	ENSBTAT00000003984
ENSBTAG00000003063	ENSBTAT00000069919
ENSBTAG00000003063	ENSBTAT00000066488
ENSBTAG00000003063	ENSBTAT00000003985
ENSBTAG00000012467	ENSBTAT00000016545
ENSBTAG00000012467	ENSBTAT00000083274
ENSBTAG00000014153	ENSBTAT00000018809
ENSBTAG00000000160	ENSBTAT00000000184
ENSBTAG00000000160	ENSBTAT00000087445
ENSBTAG00000012706	ENSBTAT00000016889
ENSBTAG00000011645	ENSBTAT00000015465
ENSBTAG00000011645	ENSBTAT00000068582
ENSBTAG00000003059	ENSBTAT00000003977
ENSBTAG00000010357	ENSBTAT00000083430
ENSBTAG00000010357	ENSBTAT00000066544
ENSBTAG00000010357	ENSBTAT00000071462
ENSBTAG00000010357	ENSBTAT00000012565
ENSBTAG00000010357	ENSBTAT00000013673
ENSBTAG00000017310	ENSBTAT00000087205
ENSBTAG00000017310	ENSBTAT00000076182
ENSBTAG00000017310	ENSBTAT00000079419
ENSBTAG00000017310	ENSBTAT00000067003
ENSBTAG00000017310	ENSBTAT00000076987
ENSBTAG00000017310	ENSBTAT00000023019
ENSBTAG00000003134	ENSBTAT00000004073
ENSBTAG00000006872	ENSBTAT00000009029
ENSBTAG00000052213	ENSBTAT00000077795
ENSBTAG00000014727	ENSBTAT00000073415
ENSBTAG00000014727	ENSBTAT00000071469
ENSBTAG00000014727	ENSBTAT00000045810
ENSBTAG00000014727	ENSBTAT00000074812
ENSBTAG00000014724	ENSBTAT00000019596
ENSBTAG00000014724	ENSBTAT00000083475
ENSBTAG00000011437	ENSBTAT00000015200
ENSBTAG00000012412	ENSBTAT00000016473
ENSBTAG00000023718	ENSBTAT00000032472
ENSBTAG00000023718	ENSBTAT00000078443
ENSBTAG00000016619	ENSBTAT00000022106
ENSBTAG00000005122	ENSBTAT00000006755
ENSBTAG00000005122	ENSBTAT00000053071
ENSBTAG00000001265	ENSBTAT00000001667
ENSBTAG00000017531	ENSBTAT00000023309
ENSBTAG00000000522	ENSBTAT00000000673
ENSBTAG00000003151	ENSBTAT00000004094
ENSBTAG00000017407	ENSBTAT00000023149
ENSBTAG00000003143	ENSBTAT00000004087
ENSBTAG00000003140	ENSBTAT00000004084
ENSBTAG00000017418	ENSBTAT00000023157
ENSBTAG00000017418	ENSBTAT00000063907
ENSBTAG00000018186	ENSBTAT00000024203
ENSBTAG00000018189	ENSBTAT00000024208
ENSBTAG00000000524	ENSBTAT00000000683
ENSBTAG00000020762	ENSBTAT00000027668
ENSBTAG00000020762	ENSBTAT00000074986
ENSBTAG00000003981	ENSBTAT00000070390
ENSBTAG00000003981	ENSBTAT00000043376
ENSBTAG00000003981	ENSBTAT00000075666
ENSBTAG00000018855	ENSBTAT00000083963
ENSBTAG00000018855	ENSBTAT00000025104
ENSBTAG00000020456	ENSBTAT00000087371
ENSBTAG00000020456	ENSBTAT00000086210
ENSBTAG00000020456	ENSBTAT00000027260
ENSBTAG00000018854	ENSBTAT00000032452
ENSBTAG00000007100	ENSBTAT00000009338
ENSBTAG00000007100	ENSBTAT00000087207
ENSBTAG00000007105	ENSBTAT00000078536
ENSBTAG00000007105	ENSBTAT00000009343
ENSBTAG00000007106	ENSBTAT00000009346
ENSBTAG00000007106	ENSBTAT00000087382
ENSBTAG00000005091	ENSBTAT00000006711
ENSBTAG00000005091	ENSBTAT00000082612
ENSBTAG00000005091	ENSBTAT00000075199
ENSBTAG00000005091	ENSBTAT00000075621
ENSBTAG00000014880	ENSBTAT00000077110
ENSBTAG00000014880	ENSBTAT00000019810
ENSBTAG00000014915	ENSBTAT00000019858
ENSBTAG00000014882	ENSBTAT00000019812
ENSBTAG00000014882	ENSBTAT00000077622
ENSBTAG00000011305	ENSBTAT00000056588
ENSBTAG00000017839	ENSBTAT00000064124
ENSBTAG00000048631	ENSBTAT00000023716
ENSBTAG00000001697	ENSBTAT00000002225
ENSBTAG00000034869	ENSBTAT00000049339
ENSBTAG00000046804	ENSBTAT00000066250
ENSBTAG00000015812	ENSBTAT00000021000
ENSBTAG00000048503	ENSBTAT00000076725
ENSBTAG00000007666	ENSBTAT00000036032
ENSBTAG00000007666	ENSBTAT00000081058
ENSBTAG00000007666	ENSBTAT00000083817
ENSBTAG00000007666	ENSBTAT00000086294
ENSBTAG00000050662	ENSBTAT00000069543
ENSBTAG00000054173	ENSBTAT00000079500
ENSBTAG00000023393	ENSBTAT00000083211
ENSBTAG00000023393	ENSBTAT00000031852
ENSBTAG00000023393	ENSBTAT00000071863
ENSBTAG00000023393	ENSBTAT00000074633
ENSBTAG00000049506	ENSBTAT00000080061
ENSBTAG00000049468	ENSBTAT00000084287
ENSBTAG00000052340	ENSBTAT00000087130
ENSBTAG00000044154	ENSBTAT00000061561
ENSBTAG00000001749	ENSBTAT00000002296
ENSBTAG00000001535	ENSBTAT00000036044
ENSBTAG00000001535	ENSBTAT00000071306
ENSBTAG00000001535	ENSBTAT00000085854
ENSBTAG00000052530	ENSBTAT00000072065
ENSBTAG00000051544	ENSBTAT00000082261
ENSBTAG00000052321	ENSBTAT00000080072
ENSBTAG00000017115	ENSBTAT00000022752
ENSBTAG00000017115	ENSBTAT00000080192
ENSBTAG00000053953	ENSBTAT00000075298
ENSBTAG00000054015	ENSBTAT00000067026
ENSBTAG00000052457	ENSBTAT00000082713
ENSBTAG00000051579	ENSBTAT00000072973
ENSBTAG00000039602	ENSBTAT00000053288
ENSBTAG00000017103	ENSBTAT00000022739
ENSBTAG00000017103	ENSBTAT00000068090
ENSBTAG00000017103	ENSBTAT00000075423
ENSBTAG00000017103	ENSBTAT00000076836
ENSBTAG00000050522	ENSBTAT00000072299
ENSBTAG00000010658	ENSBTAT00000056305
ENSBTAG00000037933	ENSBTAT00000052636
ENSBTAG00000055221	ENSBTAT00000085562
ENSBTAG00000052202	ENSBTAT00000080742
ENSBTAG00000046384	ENSBTAT00000063306
ENSBTAG00000019625	ENSBTAT00000061513
ENSBTAG00000019625	ENSBTAT00000085824
ENSBTAG00000019625	ENSBTAT00000036047
ENSBTAG00000019589	ENSBTAT00000068815
ENSBTAG00000019589	ENSBTAT00000026102
ENSBTAG00000039820	ENSBTAT00000044994
ENSBTAG00000039255	ENSBTAT00000057398
ENSBTAG00000021901	ENSBTAT00000071198
ENSBTAG00000021901	ENSBTAT00000068083
ENSBTAG00000021901	ENSBTAT00000074148
ENSBTAG00000021901	ENSBTAT00000029198
ENSBTAG00000007296	ENSBTAT00000009600
ENSBTAG00000005212	ENSBTAT00000006865
ENSBTAG00000017882	ENSBTAT00000023769
ENSBTAG00000005209	ENSBTAT00000061266
ENSBTAG00000005209	ENSBTAT00000087329
ENSBTAG00000005209	ENSBTAT00000087429
ENSBTAG00000018607	ENSBTAT00000024762
ENSBTAG00000034854	ENSBTAT00000070796
ENSBTAG00000034854	ENSBTAT00000026819
ENSBTAG00000034854	ENSBTAT00000026817
ENSBTAG00000034854	ENSBTAT00000071500
ENSBTAG00000051900	ENSBTAT00000069157
ENSBTAG00000037662	ENSBTAT00000043662
ENSBTAG00000052773	ENSBTAT00000087153
ENSBTAG00000040291	ENSBTAT00000043652
ENSBTAG00000053056	ENSBTAT00000068312
ENSBTAG00000018610	ENSBTAT00000024766
ENSBTAG00000051778	ENSBTAT00000086363
ENSBTAG00000050038	ENSBTAT00000067546
ENSBTAG00000048090	ENSBTAT00000063929
ENSBTAG00000048090	ENSBTAT00000068490
ENSBTAG00000017321	ENSBTAT00000023029
ENSBTAG00000004139	ENSBTAT00000005416
ENSBTAG00000007444	ENSBTAT00000071361
ENSBTAG00000007444	ENSBTAT00000049195
ENSBTAG00000050932	ENSBTAT00000080796
ENSBTAG00000019014	ENSBTAT00000025309
ENSBTAG00000021771	ENSBTAT00000029020
ENSBTAG00000021771	ENSBTAT00000085593
ENSBTAG00000021771	ENSBTAT00000079794
ENSBTAG00000017060	ENSBTAT00000081854
ENSBTAG00000017060	ENSBTAT00000076413
ENSBTAG00000017060	ENSBTAT00000022687
ENSBTAG00000017060	ENSBTAT00000081335
ENSBTAG00000014233	ENSBTAT00000018917
ENSBTAG00000014233	ENSBTAT00000085042
ENSBTAG00000005313	ENSBTAT00000006988
ENSBTAG00000008343	ENSBTAT00000010991
ENSBTAG00000050376	ENSBTAT00000066647
ENSBTAG00000002878	ENSBTAT00000045854
ENSBTAG00000002878	ENSBTAT00000083438
ENSBTAG00000000476	ENSBTAT00000082136
ENSBTAG00000000476	ENSBTAT00000000602
ENSBTAG00000020122	ENSBTAT00000026801
ENSBTAG00000020122	ENSBTAT00000072297
ENSBTAG00000020122	ENSBTAT00000087113
ENSBTAG00000020122	ENSBTAT00000083082
ENSBTAG00000020122	ENSBTAT00000084414
ENSBTAG00000040199	ENSBTAT00000000606
ENSBTAG00000017010	ENSBTAT00000022620
ENSBTAG00000012284	ENSBTAT00000016291
ENSBTAG00000012284	ENSBTAT00000085667
ENSBTAG00000017486	ENSBTAT00000084373
ENSBTAG00000017486	ENSBTAT00000023240
ENSBTAG00000007818	ENSBTAT00000010281
ENSBTAG00000007818	ENSBTAT00000057179
ENSBTAG00000007818	ENSBTAT00000068200
ENSBTAG00000020121	ENSBTAT00000026800
ENSBTAG00000000201	ENSBTAT00000032432
ENSBTAG00000012273	ENSBTAT00000051911
ENSBTAG00000012273	ENSBTAT00000069582
ENSBTAG00000012273	ENSBTAT00000083893
ENSBTAG00000012273	ENSBTAT00000067756
ENSBTAG00000038433	ENSBTAT00000056346
ENSBTAG00000001412	ENSBTAT00000074692
ENSBTAG00000001412	ENSBTAT00000001851
ENSBTAG00000001412	ENSBTAT00000076993
ENSBTAG00000012881	ENSBTAT00000032213
ENSBTAG00000012881	ENSBTAT00000067441
ENSBTAG00000012881	ENSBTAT00000071226
ENSBTAG00000012881	ENSBTAT00000084594
ENSBTAG00000012881	ENSBTAT00000073754
ENSBTAG00000052349	ENSBTAT00000056505
ENSBTAG00000052332	ENSBTAT00000054510
ENSBTAG00000005660	ENSBTAT00000007436
ENSBTAG00000005660	ENSBTAT00000068145
ENSBTAG00000023907	ENSBTAT00000083892
ENSBTAG00000023907	ENSBTAT00000034655
ENSBTAG00000000648	ENSBTAT00000000849
ENSBTAG00000005658	ENSBTAT00000007435
ENSBTAG00000005658	ENSBTAT00000064205
ENSBTAG00000000706	ENSBTAT00000000944
ENSBTAG00000024162	ENSBTAT00000043357
ENSBTAG00000024162	ENSBTAT00000084792
ENSBTAG00000024162	ENSBTAT00000082124
ENSBTAG00000050914	ENSBTAT00000066972
ENSBTAG00000050914	ENSBTAT00000073027
ENSBTAG00000050914	ENSBTAT00000067905
ENSBTAG00000050914	ENSBTAT00000049039
ENSBTAG00000005657	ENSBTAT00000007431
ENSBTAG00000051586	ENSBTAT00000064633
ENSBTAG00000030775	ENSBTAT00000074608
ENSBTAG00000030775	ENSBTAT00000075987
ENSBTAG00000030775	ENSBTAT00000043482
ENSBTAG00000030775	ENSBTAT00000084390
ENSBTAG00000005652	ENSBTAT00000032212
ENSBTAG00000040399	ENSBTAT00000052221
ENSBTAG00000006920	ENSBTAT00000009087
ENSBTAG00000048318	ENSBTAT00000083414
ENSBTAG00000011802	ENSBTAT00000015668
ENSBTAG00000020106	ENSBTAT00000071273
ENSBTAG00000020106	ENSBTAT00000016526
ENSBTAG00000017753	ENSBTAT00000085054
ENSBTAG00000017753	ENSBTAT00000071743
ENSBTAG00000017753	ENSBTAT00000067940
ENSBTAG00000017753	ENSBTAT00000075463
ENSBTAG00000017753	ENSBTAT00000072012
ENSBTAG00000017753	ENSBTAT00000049004
ENSBTAG00000017753	ENSBTAT00000068053
ENSBTAG00000019336	ENSBTAT00000025757
ENSBTAG00000011414	ENSBTAT00000015168
ENSBTAG00000011414	ENSBTAT00000074093
ENSBTAG00000040304	ENSBTAT00000055354
ENSBTAG00000016624	ENSBTAT00000022113
ENSBTAG00000019269	ENSBTAT00000043412
ENSBTAG00000019269	ENSBTAT00000025663
ENSBTAG00000039011	ENSBTAT00000056946
ENSBTAG00000017666	ENSBTAT00000079104
ENSBTAG00000017666	ENSBTAT00000078508
ENSBTAG00000017666	ENSBTAT00000032142
ENSBTAG00000017666	ENSBTAT00000023496
ENSBTAG00000020404	ENSBTAT00000027193
ENSBTAG00000020404	ENSBTAT00000075457
ENSBTAG00000020404	ENSBTAT00000075792
ENSBTAG00000020404	ENSBTAT00000074746
ENSBTAG00000020409	ENSBTAT00000027197
ENSBTAG00000052825	ENSBTAT00000075180
ENSBTAG00000014460	ENSBTAT00000019227
ENSBTAG00000018936	ENSBTAT00000054230
ENSBTAG00000018936	ENSBTAT00000025201
ENSBTAG00000018936	ENSBTAT00000069007
ENSBTAG00000018936	ENSBTAT00000071806
ENSBTAG00000014459	ENSBTAT00000045750
ENSBTAG00000019043	ENSBTAT00000025345
ENSBTAG00000019043	ENSBTAT00000078958
ENSBTAG00000000605	ENSBTAT00000032427
ENSBTAG00000000605	ENSBTAT00000066011
ENSBTAG00000003148	ENSBTAT00000004097
ENSBTAG00000014451	ENSBTAT00000019219
ENSBTAG00000003161	ENSBTAT00000004104
ENSBTAG00000000603	ENSBTAT00000080737
ENSBTAG00000000603	ENSBTAT00000000795
ENSBTAG00000021984	ENSBTAT00000043350
ENSBTAG00000014449	ENSBTAT00000019214
ENSBTAG00000017450	ENSBTAT00000023192
ENSBTAG00000017450	ENSBTAT00000082957
ENSBTAG00000037951	ENSBTAT00000057293
ENSBTAG00000019542	ENSBTAT00000085749
ENSBTAG00000019542	ENSBTAT00000078359
ENSBTAG00000019542	ENSBTAT00000086251
ENSBTAG00000019542	ENSBTAT00000067126
ENSBTAG00000019542	ENSBTAT00000026038
ENSBTAG00000030670	ENSBTAT00000078760
ENSBTAG00000030670	ENSBTAT00000072914
ENSBTAG00000030670	ENSBTAT00000077625
ENSBTAG00000030670	ENSBTAT00000029328
ENSBTAG00000011495	ENSBTAT00000061028
ENSBTAG00000011495	ENSBTAT00000066782
ENSBTAG00000011495	ENSBTAT00000082905
ENSBTAG00000011495	ENSBTAT00000074762
ENSBTAG00000038900	ENSBTAT00000054428
ENSBTAG00000010394	ENSBTAT00000013720
ENSBTAG00000032217	ENSBTAT00000045699
ENSBTAG00000010397	ENSBTAT00000078680
ENSBTAG00000010397	ENSBTAT00000052404
ENSBTAG00000006552	ENSBTAT00000008608
ENSBTAG00000006552	ENSBTAT00000082490
ENSBTAG00000006552	ENSBTAT00000072147
ENSBTAG00000006548	ENSBTAT00000008604
ENSBTAG00000006548	ENSBTAT00000072364
ENSBTAG00000006548	ENSBTAT00000070998
ENSBTAG00000006548	ENSBTAT00000068793
ENSBTAG00000006548	ENSBTAT00000069841
ENSBTAG00000004777	ENSBTAT00000086647
ENSBTAG00000004777	ENSBTAT00000006275
ENSBTAG00000005503	ENSBTAT00000031548
ENSBTAG00000005503	ENSBTAT00000007234
ENSBTAG00000005503	ENSBTAT00000031549
ENSBTAG00000005503	ENSBTAT00000072215
ENSBTAG00000012797	ENSBTAT00000017002
ENSBTAG00000012797	ENSBTAT00000083292
ENSBTAG00000012797	ENSBTAT00000073816
ENSBTAG00000012797	ENSBTAT00000083735
ENSBTAG00000012797	ENSBTAT00000087337
ENSBTAG00000012797	ENSBTAT00000077057
ENSBTAG00000052513	ENSBTAT00000075201
ENSBTAG00000003301	ENSBTAT00000034421
ENSBTAG00000003301	ENSBTAT00000082074
ENSBTAG00000003301	ENSBTAT00000084213
ENSBTAG00000003301	ENSBTAT00000076266
ENSBTAG00000003301	ENSBTAT00000072145
ENSBTAG00000003301	ENSBTAT00000066806
ENSBTAG00000003301	ENSBTAT00000082677
ENSBTAG00000003301	ENSBTAT00000085655
ENSBTAG00000003301	ENSBTAT00000075177
ENSBTAG00000007039	ENSBTAT00000009259
ENSBTAG00000007039	ENSBTAT00000068668
ENSBTAG00000043957	ENSBTAT00000061350
ENSBTAG00000052599	ENSBTAT00000069501
ENSBTAG00000053000	ENSBTAT00000081654
ENSBTAG00000000290	ENSBTAT00000032070
ENSBTAG00000000290	ENSBTAT00000080637
ENSBTAG00000000290	ENSBTAT00000076096
ENSBTAG00000000290	ENSBTAT00000081731
ENSBTAG00000000290	ENSBTAT00000073610
ENSBTAG00000000290	ENSBTAT00000071417
ENSBTAG00000000290	ENSBTAT00000084243
ENSBTAG00000000290	ENSBTAT00000079369
ENSBTAG00000000290	ENSBTAT00000082656
ENSBTAG00000046447	ENSBTAT00000063511
ENSBTAG00000004742	ENSBTAT00000076424
ENSBTAG00000004742	ENSBTAT00000072102
ENSBTAG00000004742	ENSBTAT00000072096
ENSBTAG00000004742	ENSBTAT00000006224
ENSBTAG00000053315	ENSBTAT00000087492
ENSBTAG00000018682	ENSBTAT00000024868
ENSBTAG00000018682	ENSBTAT00000075355
ENSBTAG00000018682	ENSBTAT00000072885
ENSBTAG00000023384	ENSBTAT00000031838
ENSBTAG00000023384	ENSBTAT00000066442
ENSBTAG00000052342	ENSBTAT00000084736
ENSBTAG00000052342	ENSBTAT00000072719
ENSBTAG00000030629	ENSBTAT00000043292
ENSBTAG00000018688	ENSBTAT00000024873
ENSBTAG00000053201	ENSBTAT00000086563
ENSBTAG00000053201	ENSBTAT00000071374
ENSBTAG00000053201	ENSBTAT00000081194
ENSBTAG00000014306	ENSBTAT00000019018
ENSBTAG00000014306	ENSBTAT00000069904
ENSBTAG00000014306	ENSBTAT00000069564
ENSBTAG00000000597	ENSBTAT00000000788
ENSBTAG00000000597	ENSBTAT00000071409
ENSBTAG00000000597	ENSBTAT00000064206
ENSBTAG00000011876	ENSBTAT00000015758
ENSBTAG00000011880	ENSBTAT00000082170
ENSBTAG00000011880	ENSBTAT00000015764
ENSBTAG00000000588	ENSBTAT00000000782
ENSBTAG00000000588	ENSBTAT00000076152
ENSBTAG00000030585	ENSBTAT00000043204
ENSBTAG00000001395	ENSBTAT00000001832
ENSBTAG00000021447	ENSBTAT00000081247
ENSBTAG00000021447	ENSBTAT00000073884
ENSBTAG00000021447	ENSBTAT00000052408
ENSBTAG00000021447	ENSBTAT00000028592
ENSBTAG00000018704	ENSBTAT00000024895
ENSBTAG00000004869	ENSBTAT00000085602
ENSBTAG00000004869	ENSBTAT00000006400
ENSBTAG00000004869	ENSBTAT00000067490
ENSBTAG00000004869	ENSBTAT00000079302
ENSBTAG00000033679	ENSBTAT00000057284
ENSBTAG00000051916	ENSBTAT00000078516
ENSBTAG00000051916	ENSBTAT00000085803
ENSBTAG00000055107	ENSBTAT00000086073
ENSBTAG00000008167	ENSBTAT00000050511
ENSBTAG00000008167	ENSBTAT00000086517
ENSBTAG00000004791	ENSBTAT00000050520
ENSBTAG00000004791	ENSBTAT00000006292
ENSBTAG00000019314	ENSBTAT00000075352
ENSBTAG00000019314	ENSBTAT00000067413
ENSBTAG00000019314	ENSBTAT00000025716
ENSBTAG00000001771	ENSBTAT00000002319
ENSBTAG00000001771	ENSBTAT00000072702
ENSBTAG00000047293	ENSBTAT00000065805
ENSBTAG00000037616	ENSBTAT00000009059
ENSBTAG00000037616	ENSBTAT00000052335
ENSBTAG00000000973	ENSBTAT00000001288
ENSBTAG00000002623	ENSBTAT00000003394
ENSBTAG00000002623	ENSBTAT00000078537
ENSBTAG00000012908	ENSBTAT00000017155
ENSBTAG00000011001	ENSBTAT00000072024
ENSBTAG00000011001	ENSBTAT00000014608
ENSBTAG00000011001	ENSBTAT00000080229
ENSBTAG00000011001	ENSBTAT00000076185
ENSBTAG00000054574	ENSBTAT00000074386
ENSBTAG00000054574	ENSBTAT00000075165
ENSBTAG00000009214	ENSBTAT00000012144
ENSBTAG00000009214	ENSBTAT00000074510
ENSBTAG00000034347	ENSBTAT00000048660
ENSBTAG00000038512	ENSBTAT00000053236
ENSBTAG00000048954	ENSBTAT00000075560
ENSBTAG00000023513	ENSBTAT00000032097
ENSBTAG00000016457	ENSBTAT00000016666
ENSBTAG00000016457	ENSBTAT00000075091
ENSBTAG00000016457	ENSBTAT00000077507
ENSBTAG00000016457	ENSBTAT00000021880
ENSBTAG00000046755	ENSBTAT00000064983
ENSBTAG00000020787	ENSBTAT00000084643
ENSBTAG00000020787	ENSBTAT00000086493
ENSBTAG00000020787	ENSBTAT00000027702
ENSBTAG00000012837	ENSBTAT00000017057
ENSBTAG00000012837	ENSBTAT00000073797
ENSBTAG00000001969	ENSBTAT00000002557
ENSBTAG00000001968	ENSBTAT00000002554
ENSBTAG00000010462	ENSBTAT00000048830
ENSBTAG00000010462	ENSBTAT00000078916
ENSBTAG00000010462	ENSBTAT00000079296
ENSBTAG00000049122	ENSBTAT00000072186
ENSBTAG00000049122	ENSBTAT00000078699
ENSBTAG00000049122	ENSBTAT00000066997
ENSBTAG00000049122	ENSBTAT00000080845
ENSBTAG00000009851	ENSBTAT00000061264
ENSBTAG00000009851	ENSBTAT00000048615
ENSBTAG00000013219	ENSBTAT00000017592
ENSBTAG00000013219	ENSBTAT00000071359
ENSBTAG00000013219	ENSBTAT00000079053
ENSBTAG00000005946	ENSBTAT00000061390
ENSBTAG00000006479	ENSBTAT00000008495
ENSBTAG00000002463	ENSBTAT00000003197
ENSBTAG00000002462	ENSBTAT00000003195
ENSBTAG00000023377	ENSBTAT00000031822
ENSBTAG00000030592	ENSBTAT00000031821
ENSBTAG00000023375	ENSBTAT00000031819
ENSBTAG00000023375	ENSBTAT00000079401
ENSBTAG00000019202	ENSBTAT00000025560
ENSBTAG00000051541	ENSBTAT00000061345
ENSBTAG00000040193	ENSBTAT00000030369
ENSBTAG00000040193	ENSBTAT00000071748
ENSBTAG00000002460	ENSBTAT00000037228
ENSBTAG00000051036	ENSBTAT00000084069
ENSBTAG00000002767	ENSBTAT00000003589
ENSBTAG00000002767	ENSBTAT00000083809
ENSBTAG00000010485	ENSBTAT00000013860
ENSBTAG00000003718	ENSBTAT00000004843
ENSBTAG00000003718	ENSBTAT00000066646
ENSBTAG00000008359	ENSBTAT00000011007
ENSBTAG00000050978	ENSBTAT00000074050
ENSBTAG00000037393	ENSBTAT00000048967
ENSBTAG00000019129	ENSBTAT00000025464
ENSBTAG00000019129	ENSBTAT00000071679
ENSBTAG00000009235	ENSBTAT00000076265
ENSBTAG00000009235	ENSBTAT00000077570
ENSBTAG00000009235	ENSBTAT00000045571
ENSBTAG00000009232	ENSBTAT00000072391
ENSBTAG00000009232	ENSBTAT00000012168
ENSBTAG00000054655	ENSBTAT00000075242
ENSBTAG00000012463	ENSBTAT00000016535
ENSBTAG00000012463	ENSBTAT00000084595
ENSBTAG00000024815	ENSBTAT00000034553
ENSBTAG00000036262	ENSBTAT00000083071
ENSBTAG00000036262	ENSBTAT00000050765
ENSBTAG00000011377	ENSBTAT00000015114
ENSBTAG00000050181	ENSBTAT00000065700
