Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand
ENSBTAG00000019129	1	152638136	152679233	1
ENSBTAG00000009235	1	87793359	87870663	1
ENSBTAG00000009232	1	87879574	87964195	-1
ENSBTAG00000054655	1	87931209	87933194	1
ENSBTAG00000012463	1	88005930	88038010	1
ENSBTAG00000024815	1	152701411	152833098	-1
ENSBTAG00000036262	1	29107326	29419066	-1
ENSBTAG00000011377	1	88158304	88194815	-1
ENSBTAG00000050181	1	88314453	88323208	-1
ENSBTAG00000008240	1	153179306	153226107	1
ENSBTAG00000051065	1	153215080	153217247	-1
ENSBTAG00000003916	1	153260324	153266600	-1
ENSBTAG00000053091	1	153261644	153265490	-1
ENSBTAG00000004891	1	153274404	153318611	1
ENSBTAG00000030593	1	153335376	153514351	-1
ENSBTAG00000035144	1	88340909	88350179	1
ENSBTAG00000051752	1	153472750	153543136	-1
ENSBTAG00000054315	1	88354297	88362389	-1
ENSBTAG00000054327	1	32846911	32848986	1
ENSBTAG00000000502	1	153640084	153663068	-1
ENSBTAG00000052803	1	88367544	88407508	-1
ENSBTAG00000045974	1	33282081	33285538	1
ENSBTAG00000009942	1	153882096	154095595	1
ENSBTAG00000049193	1	154081532	154083190	-1
ENSBTAG00000048417	1	88714019	88714485	-1
ENSBTAG00000009219	1	33714841	34095244	1
ENSBTAG00000030581	1	154096128	154616588	-1
ENSBTAG00000021910	1	90030089	90204389	1
ENSBTAG00000054926	1	90203158	90207592	1
ENSBTAG00000026156	1	35036368	35123427	-1
ENSBTAG00000021158	1	155431343	155525165	-1
ENSBTAG00000007939	1	35381297	35415198	1
ENSBTAG00000009128	1	35417574	35435629	-1
ENSBTAG00000039151	1	36006380	36007572	1
ENSBTAG00000046959	1	36058732	36063724	-1
ENSBTAG00000023675	1	36063528	36147146	1
ENSBTAG00000007970	1	36156437	36162573	1
ENSBTAG00000045590	1	36488119	36490296	1
ENSBTAG00000012798	1	156340497	156841779	1
ENSBTAG00000048493	1	91436009	92436553	-1
ENSBTAG00000047978	1	156554616	156554996	-1
ENSBTAG00000054712	1	91599763	91603343	1
ENSBTAG00000013806	1	157125001	157190548	-1
ENSBTAG00000046385	1	157198501	157232069	1
ENSBTAG00000004061	1	157232248	157249033	-1
ENSBTAG00000006811	1	37110684	37519280	1
ENSBTAG00000031891	1	93147160	93897117	-1
ENSBTAG00000023652	1	38203313	38267163	-1
ENSBTAG00000000746	1	157277141	157374828	1
ENSBTAG00000046279	1	93392162	93401801	1
ENSBTAG00000012401	1	93681319	93683506	1
ENSBTAG00000005155	1	38275588	38352554	1
ENSBTAG00000005162	1	38315772	38331093	-1
ENSBTAG00000015728	1	38360629	38420853	1
ENSBTAG00000031802	1	94320196	94597863	1
ENSBTAG00000034182	1	40948983	40950338	1
ENSBTAG00000023814	1	94709117	94769544	-1
ENSBTAG00000050258	1	40974784	41183078	1
ENSBTAG00000020073	1	94818555	94882838	1
ENSBTAG00000018994	1	94985031	95001222	1
ENSBTAG00000010874	1	95029121	95032760	1
ENSBTAG00000044111	1	41409771	41994030	1
ENSBTAG00000000752	1	157392691	157410804	-1
ENSBTAG00000047076	1	157479440	157480687	-1
ENSBTAG00000019376	1	95121236	95406498	-1
ENSBTAG00000049158	1	157490908	157500089	-1
ENSBTAG00000004538	1	157545780	157559387	-1
ENSBTAG00000010091	1	42010599	42049950	1
ENSBTAG00000047147	1	42070368	42196081	1
ENSBTAG00000006174	1	95639747	95650387	-1
ENSBTAG00000040393	1	157728794	157745955	1
ENSBTAG00000051758	1	157751045	157762600	1
ENSBTAG00000015546	1	42194819	42230806	-1
ENSBTAG00000001416	1	42241399	42286990	-1
ENSBTAG00000048630	1	42326818	42328486	1
ENSBTAG00000054232	1	42369229	42374903	1
ENSBTAG00000050430	1	42417314	42418243	1
ENSBTAG00000052415	1	42439998	42440924	1
ENSBTAG00000054488	1	42460442	42461380	1
ENSBTAG00000022908	1	42466127	42467104	1
ENSBTAG00000017490	1	95742044	95963408	1
ENSBTAG00000049102	1	157958300	157977304	1
ENSBTAG00000012023	1	157996922	158004891	-1
ENSBTAG00000053325	1	158026832	158031903	1
ENSBTAG00000051584	1	42489713	42490705	1
ENSBTAG00000049601	1	158063320	158064264	1
ENSBTAG00000051784	1	42547339	42548863	1
ENSBTAG00000051905	1	42571919	42572848	1
ENSBTAG00000033437	1	42592173	42593117	1
ENSBTAG00000051566	1	42603906	42606863	1
ENSBTAG00000050543	1	42661782	42676415	1
ENSBTAG00000052122	1	42685180	42686106	1
ENSBTAG00000049354	1	42711857	42712786	1
ENSBTAG00000037965	1	158075340	158077174	1
ENSBTAG00000012867	1	158215919	158228038	-1
ENSBTAG00000002896	1	158238278	158293060	-1
ENSBTAG00000053167	1	42735409	42736335	1
ENSBTAG00000027782	1	42792045	42793013	1
ENSBTAG00000020996	1	42822730	42830190	-1
ENSBTAG00000049543	1	158271677	158272330	-1
ENSBTAG00000016954	1	158296611	158315972	-1
ENSBTAG00000020997	1	42839325	42840401	1
ENSBTAG00000004124	1	42888156	42901415	-1
ENSBTAG00000023666	1	42936757	42941412	1
ENSBTAG00000049814	1	96022258	96299999	1
ENSBTAG00000012497	1	158336214	158359816	-1
ENSBTAG00000004471	1	43047976	43111603	1
ENSBTAG00000049541	1	158390488	158415855	1
ENSBTAG00000014889	1	43112237	43195312	-1
ENSBTAG00000013662	1	43902264	44073696	1
ENSBTAG00000013663	1	44086074	44481342	1
ENSBTAG00000013664	1	44096867	44402309	-1
ENSBTAG00000013667	1	44483988	44511474	1
ENSBTAG00000051079	1	96158154	96158791	-1
ENSBTAG00000015010	1	44554751	44611092	1
ENSBTAG00000004833	1	44617553	44637448	1
ENSBTAG00000011742	1	96395573	96426824	1
ENSBTAG00000014302	1	44650783	44687949	-1
ENSBTAG00000034442	1	44688566	44729118	1
ENSBTAG00000013321	1	44751049	44847773	1
ENSBTAG00000004459	1	44948235	45061338	1
ENSBTAG00000012140	1	45082065	45145326	1
ENSBTAG00000016363	1	45155599	45188354	1
ENSBTAG00000026836	1	45273441	45477104	-1
ENSBTAG00000053387	1	45436376	45436630	1
ENSBTAG00000015662	1	45743519	45816098	-1
ENSBTAG00000016932	1	45816823	45988234	-1
ENSBTAG00000018731	1	45964099	45969615	1
ENSBTAG00000024027	1	45988289	45992514	1
ENSBTAG00000015069	1	46001965	46016856	1
ENSBTAG00000013460	1	46028911	46058876	-1
ENSBTAG00000013461	1	46061453	46066949	-1
ENSBTAG00000013464	1	46077322	46098614	1
ENSBTAG00000013465	1	46114976	46166455	1
ENSBTAG00000010987	1	46190242	46201247	1
ENSBTAG00000003666	1	46886995	46938289	1
ENSBTAG00000050747	1	96398536	96399909	-1
ENSBTAG00000000088	1	49930775	50160291	1
ENSBTAG00000005386	1	96452471	96483056	1
ENSBTAG00000010550	1	96540992	96557978	1
ENSBTAG00000007394	1	96572443	96576821	1
ENSBTAG00000013057	1	50258002	50481552	-1
ENSBTAG00000052203	1	96744768	96744947	1
ENSBTAG00000016323	1	96865068	96974741	1
ENSBTAG00000019060	1	96999962	97014928	-1
ENSBTAG00000004154	1	97035501	97055587	-1
ENSBTAG00000001403	1	97094274	97163222	-1
ENSBTAG00000046313	1	51940576	51941806	1
ENSBTAG00000013938	1	97196214	97271658	1
ENSBTAG00000006893	1	52133128	52430797	1
ENSBTAG00000048011	1	97281198	97282211	-1
ENSBTAG00000045991	1	97337537	97342603	1
ENSBTAG00000039442	1	97388346	97421921	-1
ENSBTAG00000018228	1	97443569	97458182	-1
ENSBTAG00000006409	1	97562712	97580517	1
ENSBTAG00000013142	1	97587928	97604139	-1
ENSBTAG00000013141	1	97604626	97610506	1
ENSBTAG00000003585	1	52712128	52777176	-1
ENSBTAG00000047144	1	98022943	98023362	1
ENSBTAG00000049729	1	52734583	52735593	1
ENSBTAG00000005787	1	52879903	52953508	-1
ENSBTAG00000018397	1	53068463	53110905	1
ENSBTAG00000005871	1	98280869	98347503	1
ENSBTAG00000018399	1	53114698	53273181	-1
ENSBTAG00000017140	1	53314658	53338782	-1
ENSBTAG00000006158	1	53353203	53467047	1
ENSBTAG00000054027	1	53510497	53513527	-1
ENSBTAG00000049108	1	53578753	53626469	1
ENSBTAG00000054693	1	98639656	98662615	-1
ENSBTAG00000020460	1	54058687	54070616	-1
ENSBTAG00000038103	1	54084686	54095829	-1
ENSBTAG00000022275	1	54226950	54227678	-1
ENSBTAG00000051495	1	54472880	54478166	-1
ENSBTAG00000018727	1	99361283	99445684	1
ENSBTAG00000031704	1	99548884	99579160	-1
ENSBTAG00000033360	1	55457926	55458564	1
ENSBTAG00000012708	1	99660456	99743550	-1
ENSBTAG00000031709	1	99744376	99804996	1
ENSBTAG00000013769	1	55893616	56089185	1
ENSBTAG00000031618	1	99823209	99990635	1
ENSBTAG00000011423	1	99995832	100031888	1
ENSBTAG00000035710	1	100098900	100168463	1
ENSBTAG00000014441	1	56306180	56403972	1
ENSBTAG00000046637	1	56342926	56343579	-1
ENSBTAG00000012646	1	56425478	56476144	1
ENSBTAG00000011139	1	101522744	101601660	1
ENSBTAG00000001209	1	56486571	56727153	1
ENSBTAG00000017180	1	102184529	102187471	1
ENSBTAG00000004601	1	56737576	56750712	1
ENSBTAG00000006975	1	102272282	102388043	1
ENSBTAG00000004599	1	56759915	56773309	1
ENSBTAG00000015065	1	56831560	56872261	1
ENSBTAG00000016554	1	56882970	56918320	1
ENSBTAG00000048550	1	56929578	56944529	-1
ENSBTAG00000019332	1	56963723	57060956	-1
ENSBTAG00000048551	1	102768933	102769967	-1
ENSBTAG00000033319	1	57126575	57147988	1
ENSBTAG00000011871	1	57228945	57261728	-1
ENSBTAG00000018312	1	103333840	103334262	1
ENSBTAG00000009084	1	57309120	57343709	-1
ENSBTAG00000009085	1	57343853	57364455	1
ENSBTAG00000027213	1	104351156	104351809	1
ENSBTAG00000025847	1	104406536	104410050	1
ENSBTAG00000010793	1	57364375	57478155	-1
ENSBTAG00000040144	1	57570680	57586854	-1
ENSBTAG00000018489	1	105877308	105908063	-1
ENSBTAG00000049223	1	106028381	106057292	1
ENSBTAG00000001235	1	57639751	57681112	-1
ENSBTAG00000006534	1	57707956	57727875	1
ENSBTAG00000005723	1	57725471	57740983	-1
ENSBTAG00000016228	1	106150166	106186579	-1
ENSBTAG00000000242	1	57798617	57799321	-1
ENSBTAG00000013909	1	57945013	58023212	1
ENSBTAG00000050116	1	58031272	58058215	-1
ENSBTAG00000013920	1	58075022	58113303	-1
ENSBTAG00000049524	1	58125957	58131730	-1
ENSBTAG00000001274	1	106405113	106727070	-1
ENSBTAG00000055054	1	106487163	106590503	1
ENSBTAG00000017322	1	106838580	106839158	-1
ENSBTAG00000013937	1	58141829	58199879	-1
ENSBTAG00000013292	1	58218879	58326309	1
ENSBTAG00000017416	1	106924853	107002190	1
ENSBTAG00000008078	1	107030008	107042373	1
ENSBTAG00000005862	1	107045175	107078624	-1
ENSBTAG00000021000	1	58345399	58392043	-1
ENSBTAG00000007784	1	58402278	58433748	-1
ENSBTAG00000031572	1	107094668	107209406	1
ENSBTAG00000047247	1	107237030	107237770	-1
ENSBTAG00000002703	1	58434456	58495220	1
ENSBTAG00000052570	1	107385860	107426856	1
ENSBTAG00000015150	1	107432967	107440547	-1
ENSBTAG00000004971	1	58518934	58618308	1
ENSBTAG00000004974	1	58619102	58629385	1
ENSBTAG00000014960	1	107552681	107731909	-1
ENSBTAG00000004975	1	58637237	58735117	-1
ENSBTAG00000004977	1	58735307	58761901	1
ENSBTAG00000002132	1	58791091	58837917	-1
ENSBTAG00000011921	1	58926907	58945271	1
ENSBTAG00000003135	1	108226813	108249139	-1
ENSBTAG00000011928	1	58975735	59030035	-1
ENSBTAG00000038395	1	108695964	108697001	1
ENSBTAG00000009263	1	108706429	108732991	-1
ENSBTAG00000047946	1	59909220	59909921	1
ENSBTAG00000006451	1	60306484	60407701	1
ENSBTAG00000014713	1	108807496	108849597	1
ENSBTAG00000049208	1	60367894	60368418	-1
ENSBTAG00000027795	1	108852511	108903175	-1
ENSBTAG00000009336	1	108867031	108874756	1
ENSBTAG00000004126	1	108908179	108938862	-1
ENSBTAG00000049383	1	60476794	60798351	-1
ENSBTAG00000031561	1	108967043	109414482	-1
ENSBTAG00000005230	1	109417834	109426592	1
ENSBTAG00000048452	1	61190692	61192295	-1
ENSBTAG00000048985	1	61393686	61394866	-1
ENSBTAG00000024643	1	110066582	110342096	1
ENSBTAG00000009012	1	110158198	110164262	-1
ENSBTAG00000045704	1	63749635	63892877	-1
ENSBTAG00000014157	1	63957312	63961902	1
