Ensembl Gene ID,affectedTissues,expressedTissues,Chromosome Name,Gene Start (bp),Gene End (bp),Strand,CCN,propOfExpressedAffectedByeQTL,affectedByBroad
ENSG00000028528,48.0,48,15,64386322,64438289,1,N,1.0,N
ENSG00000133460,48.0,48,22,24198890,24228496,1,N,1.0,Y
ENSG00000150456,48.0,48,13,21302870,21348097,-1,N,1.0,Y
ENSG00000156273,48.0,48,21,30566392,31003071,1,Y,1.0,Y
ENSG00000100979,48.0,48,20,44527399,44540794,-1,Y,1.0,N
ENSG00000132953,48.0,48,13,21351469,21477187,-1,Y,1.0,Y
ENSG00000185019,48.0,48,20,3088219,3140842,-1,N,1.0,Y
ENSG00000123908,47.0,48,8,141541264,141645718,-1,Y,0.9791666666666666,N
ENSG00000240972,47.0,48,22,24236191,24237414,1,N,0.9791666666666666,N
ENSG00000215251,48.0,48,20,3127165,3140543,-1,N,1.0,Y
ENSG00000218537,48.0,48,22,24236613,24241117,-1,N,1.0,Y
ENSG00000133433,46.0,46,22,24299601,24303373,-1,N,1.0,Y
ENSG00000088899,46.0,48,20,3143263,3154192,-1,Y,0.9583333333333334,N
ENSG00000099974,46.0,48,22,24309089,24314721,1,N,0.9583333333333334,Y
ENSG00000198171,48.0,48,20,3170996,3185331,-1,Y,1.0,Y
ENSG00000099977,48.0,48,22,24313554,24322660,-1,N,1.0,Y
ENSG00000184402,48.0,48,20,60718822,60757540,1,N,1.0,Y
ENSG00000150459,48.0,48,13,21714653,21723221,1,N,1.0,Y
ENSG00000099984,47.0,47,22,24322339,24326106,1,N,1.0,Y
ENSG00000125877,48.0,48,20,3189514,3204516,1,Y,1.0,Y
ENSG00000165219,47.0,48,9,128024073,128129486,1,N,0.9791666666666666,N
ENSG00000106688,46.0,47,9,4490444,4587469,1,N,0.9787234042553192,Y
ENSG00000184674,48.0,48,22,24376133,24384680,-1,Y,1.0,Y
ENSG00000138600,48.0,48,15,50999506,51058005,-1,N,1.0,Y
ENSG00000184508,48.0,48,15,91474148,91475799,-1,Y,1.0,Y
ENSG00000124209,47.0,48,20,56884752,56942563,1,Y,0.9791666666666666,Y
ENSG00000185015,48.0,48,8,86132816,86196302,1,Y,1.0,N
ENSG00000173141,47.0,48,13,21750784,21753223,1,N,0.9791666666666666,N
ENSG00000167702,48.0,48,8,145691426,145699585,1,N,1.0,Y
ENSG00000166965,48.0,48,15,91498100,91506349,1,N,1.0,Y
ENSG00000180776,46.0,48,13,21950263,22033509,-1,Y,0.9583333333333334,N
ENSG00000103932,48.0,48,15,41809374,41836467,-1,Y,1.0,Y
ENSG00000124164,48.0,48,20,56964178,57026157,1,Y,1.0,Y
ENSG00000101181,48.0,48,20,60758085,60778624,1,N,1.0,Y
ENSG00000102057,46.0,48,X,48818639,48827976,-1,Y,0.9583333333333334,N
ENSG00000169989,43.0,47,4,153690506,153700916,-1,N,0.9148936170212766,N
ENSG00000106686,48.0,48,9,4553386,4666674,-1,Y,1.0,Y
ENSG00000145348,48.0,48,4,106962756,107242652,-1,N,1.0,Y
ENSG00000099991,48.0,48,22,24407642,24574596,1,N,1.0,Y
ENSG00000088836,48.0,48,20,3208063,3219836,-1,N,1.0,N
ENSG00000104643,48.0,48,8,11141925,11185646,1,Y,1.0,N
ENSG00000165487,48.0,48,13,22066836,22178353,-1,Y,1.0,N
ENSG00000164144,48.0,48,4,153701089,153839615,1,Y,1.0,Y
ENSG00000205808,44.0,48,9,4662298,4665256,1,N,0.9166666666666666,N
ENSG00000182378,48.0,48,X,192989,220023,1,N,1.0,Y
ENSG00000106993,47.0,48,9,4679559,4708398,1,Y,0.9791666666666666,Y
ENSG00000099994,48.0,48,22,24577227,24585078,1,N,1.0,Y
ENSG00000081014,44.0,48,15,51200869,51298097,1,Y,0.9166666666666666,N
ENSG00000178605,48.0,48,X,220025,230886,-1,N,1.0,Y
ENSG00000147853,48.0,48,9,4711155,4742043,-1,N,1.0,N
ENSG00000167393,48.0,48,X,294698,347690,-1,N,1.0,Y
ENSG00000166206,43.0,46,15,26788693,27184686,-1,N,0.9347826086956522,N
ENSG00000068400,46.0,48,X,48830134,48858675,-1,N,0.9583333333333334,N
ENSG00000099998,48.0,48,22,24615622,24641110,-1,N,1.0,Y
ENSG00000166803,44.0,47,15,64657193,64679886,-1,N,0.9361702127659576,N
ENSG00000142168,48.0,48,21,33031935,33041244,1,N,1.0,N
ENSG00000146540,48.0,48,7,1036622,1177896,-1,N,1.0,Y
ENSG00000120158,43.0,48,9,4792869,4885917,1,Y,0.8958333333333334,N
ENSG00000184056,48.0,48,15,91541646,91565833,-1,N,1.0,Y
ENSG00000153130,48.0,48,4,141178440,141306880,1,N,1.0,Y
ENSG00000124222,46.0,48,20,57226328,57254582,1,N,0.9583333333333334,N
ENSG00000144659,48.0,48,3,39424839,39438842,1,Y,1.0,N
ENSG00000088854,48.0,48,20,3229951,3388272,-1,N,1.0,N
ENSG00000168028,48.0,48,3,39448180,39454033,1,N,1.0,Y
ENSG00000177710,48.0,48,8,11188397,11189717,1,N,1.0,Y
ENSG00000100014,48.0,48,22,24666786,24813708,1,Y,1.0,Y
ENSG00000096968,44.0,48,9,4985033,5128183,1,Y,0.9166666666666666,N
ENSG00000122547,45.0,48,7,36192758,36341152,1,N,0.9375,N
ENSG00000027001,48.0,48,13,24304328,24463558,-1,N,1.0,Y
ENSG00000103671,48.0,48,15,64679947,64747502,1,N,1.0,Y
ENSG00000178381,48.0,48,7,1191707,1200395,-1,N,1.0,Y
ENSG00000164124,48.0,48,4,159122756,159176563,1,Y,1.0,Y
ENSG00000181004,45.0,48,4,123653857,123666098,1,N,0.9375,N
ENSG00000180357,47.0,48,15,64752941,64978264,1,Y,0.9791666666666666,N
ENSG00000100024,44.0,47,22,24863206,24924358,1,Y,0.9361702127659576,N
ENSG00000138685,46.0,48,4,123747863,123819391,1,N,0.9583333333333334,N
ENSG00000196814,47.0,47,9,129089128,129269320,1,N,1.0,N
ENSG00000186417,47.0,47,15,51633826,51700210,1,Y,1.0,N
ENSG00000151552,48.0,48,4,17461884,17513857,-1,Y,1.0,N
ENSG00000134490,46.0,48,18,20777108,21017925,-1,N,0.9583333333333334,N
ENSG00000107020,48.0,48,9,5357973,5437878,-1,Y,1.0,Y
ENSG00000197037,48.0,48,7,99214569,99230030,1,N,1.0,Y
ENSG00000215440,48.0,48,20,57264187,57294294,1,Y,1.0,Y
ENSG00000142207,48.0,48,21,33683329,33765335,-1,N,1.0,Y
ENSG00000182957,47.0,48,13,24553944,24881212,1,N,0.9791666666666666,Y
ENSG00000164877,47.0,48,7,1468101,1499138,-1,N,0.9791666666666666,N
ENSG00000163655,48.0,48,3,155588325,155661815,1,N,1.0,N
ENSG00000170917,48.0,48,4,123809852,123844123,-1,Y,1.0,N
ENSG00000197646,48.0,48,9,5510545,5571282,1,N,1.0,Y
ENSG00000129055,48.0,48,3,134196548,134205558,-1,N,1.0,Y
ENSG00000185291,46.0,48,X,1455509,1501578,1,N,0.9583333333333334,N
ENSG00000154328,48.0,48,8,11627148,11644855,1,N,1.0,Y
ENSG00000119715,43.0,43,14,76776957,76968178,1,Y,1.0,N
ENSG00000166225,48.0,48,12,69864129,69973562,1,Y,1.0,Y
ENSG00000169155,48.0,48,9,129567285,129600489,1,Y,1.0,Y
ENSG00000165959,46.0,48,14,95648277,95786243,-1,Y,0.9583333333333334,N
ENSG00000163728,48.0,48,3,180319918,180335616,1,Y,1.0,Y
ENSG00000169100,48.0,48,X,1505045,1511617,-1,N,1.0,Y
ENSG00000034533,48.0,48,3,130732719,130746493,-1,N,1.0,Y
ENSG00000102699,48.0,48,13,24995064,25086948,-1,N,1.0,Y
ENSG00000114405,44.0,48,3,62304648,62321888,1,N,0.9166666666666666,N
ENSG00000145375,48.0,48,4,123844229,124240605,1,Y,1.0,Y
ENSG00000130702,48.0,48,20,60883011,60942368,-1,N,1.0,Y
ENSG00000127399,48.0,48,7,150019728,150035239,1,N,1.0,Y
ENSG00000112304,47.0,48,6,24667263,24705293,1,N,0.9791666666666666,N
ENSG00000104093,48.0,48,15,51739908,51915030,-1,N,1.0,N
ENSG00000159199,46.0,48,17,46970127,46973233,1,N,0.9583333333333334,N
ENSG00000165097,47.0,48,6,18155560,18224084,1,Y,0.9791666666666666,N
ENSG00000095564,48.0,48,10,93683526,93790082,1,N,1.0,Y
ENSG00000107036,47.0,48,9,5629025,5776557,1,Y,0.9791666666666666,N
ENSG00000188707,47.0,48,7,150026938,150029808,1,N,0.9791666666666666,Y
ENSG00000198879,44.0,48,10,7200586,7453450,-1,Y,0.9166666666666666,N
ENSG00000106538,46.0,48,7,150035408,150038763,-1,Y,0.9583333333333334,N
ENSG00000169093,48.0,48,X,1522032,1572655,-1,N,1.0,Y
ENSG00000177663,48.0,48,22,17565844,17596583,1,N,1.0,N
ENSG00000167100,44.0,48,17,48187404,48207246,-1,N,0.9166666666666666,N
ENSG00000135919,43.0,48,2,224839829,224904036,-1,Y,0.8958333333333334,N
ENSG00000182923,48.0,48,3,134204585,134293859,1,Y,1.0,Y
ENSG00000144026,48.0,48,2,95813075,95831158,-1,N,1.0,Y
ENSG00000213639,48.0,48,2,28974506,29025806,1,N,1.0,Y
ENSG00000204334,45.0,46,2,171640296,171655481,1,N,0.9782608695652174,N
ENSG00000167700,45.0,48,8,145734457,145736596,1,N,0.9375,N
ENSG00000124562,48.0,48,6,34725183,34741571,1,Y,1.0,Y
ENSG00000100031,48.0,48,22,24979718,25024972,1,N,1.0,Y
ENSG00000079459,48.0,48,8,11653082,11696818,1,Y,1.0,N
ENSG00000197548,48.0,48,3,11313995,11599139,1,Y,1.0,Y
ENSG00000118514,48.0,48,6,135238528,135271260,-1,N,1.0,Y
ENSG00000154265,48.0,48,17,67240452,67323385,-1,N,1.0,Y
ENSG00000112667,48.0,48,6,43193367,43197222,-1,N,1.0,Y
ENSG00000186074,44.0,47,17,72690452,72709117,-1,N,0.9361702127659576,N
ENSG00000159079,48.0,48,21,33964389,33985176,-1,N,1.0,Y
ENSG00000183307,46.0,48,22,17597189,17602257,-1,N,0.9583333333333334,N
ENSG00000234769,48.0,48,16,64043,69452,-1,N,1.0,Y
ENSG00000240053,48.0,48,6,31637944,31641553,1,N,1.0,Y
ENSG00000140451,48.0,48,15,65107831,65117867,-1,Y,1.0,N
ENSG00000137462,48.0,48,4,154622652,154626851,1,Y,1.0,Y
ENSG00000106258,45.0,48,7,99245817,99277621,-1,N,0.9375,N
ENSG00000196954,45.0,48,11,104813593,104840163,-1,N,0.9375,Y
ENSG00000175348,48.0,48,11,8968841,8986558,-1,Y,1.0,Y
ENSG00000075651,47.0,48,3,171318195,171528740,-1,Y,0.9791666666666666,N
ENSG00000144306,47.0,48,2,175260458,175294303,1,N,0.9791666666666666,N
ENSG00000130520,44.0,48,19,18417040,18434084,-1,N,0.9166666666666666,N
ENSG00000105202,47.0,48,19,40325098,40337054,-1,N,0.9791666666666666,Y
ENSG00000181649,44.0,48,11,2949503,2950685,-1,N,0.9166666666666666,N
ENSG00000178188,48.0,48,16,28857921,28885526,1,Y,1.0,Y
ENSG00000081760,47.0,48,12,125549925,125627873,1,N,0.9791666666666666,N
ENSG00000236624,48.0,48,1,45959538,45965751,-1,N,1.0,Y
ENSG00000161980,47.0,48,16,96407,103628,-1,N,0.9791666666666666,N
ENSG00000155324,47.0,48,5,125695824,125832186,1,Y,0.9791666666666666,N
ENSG00000124508,48.0,48,6,26383324,26395102,1,N,1.0,Y
ENSG00000099219,48.0,48,9,5765076,5833117,-1,Y,1.0,Y
ENSG00000243452,48.0,48,1,148555979,148596267,1,N,1.0,Y
ENSG00000161981,48.0,48,16,103010,107669,1,N,1.0,Y
ENSG00000164008,48.0,48,1,43232940,43263968,1,N,1.0,Y
ENSG00000104983,48.0,48,19,46498339,46524576,1,Y,1.0,Y
ENSG00000112308,48.0,48,6,24705089,24721064,-1,Y,1.0,Y
ENSG00000173327,48.0,48,11,65365226,65382853,-1,Y,1.0,Y
ENSG00000130517,48.0,48,19,18451397,18480760,1,N,1.0,Y
ENSG00000138032,48.0,48,2,44395108,44471523,1,Y,1.0,Y
ENSG00000035141,48.0,48,2,70523107,70529222,-1,N,1.0,Y
ENSG00000197448,47.0,48,7,142941186,142967947,1,N,0.9791666666666666,Y
ENSG00000196433,48.0,48,X,1733894,1761974,1,N,1.0,Y
ENSG00000182771,46.0,47,10,87359312,88126250,-1,N,0.9787234042553192,N
ENSG00000069998,48.0,48,22,17618401,17646177,-1,N,1.0,Y
ENSG00000214022,46.0,48,7,150065278,150071133,1,N,0.9583333333333334,N
ENSG00000132763,48.0,48,1,45965725,45976739,1,N,1.0,Y
ENSG00000104112,45.0,46,15,51973550,52013223,1,Y,0.9782608695652174,N
ENSG00000175489,48.0,48,19,18501954,18508427,-1,N,1.0,Y
ENSG00000117450,48.0,48,1,45976708,45988719,-1,N,1.0,N
ENSG00000157800,48.0,48,7,139993493,140104233,-1,Y,1.0,Y
ENSG00000160957,47.0,48,8,145736667,145743229,-1,N,0.9791666666666666,N
ENSG00000174775,48.0,48,11,532242,537287,-1,N,1.0,Y
ENSG00000205531,48.0,48,11,2965667,3013607,-1,N,1.0,N
ENSG00000124019,47.0,47,2,225243415,225266802,-1,N,1.0,Y
ENSG00000197136,47.0,48,11,65383244,65404910,1,N,0.9791666666666666,Y
ENSG00000177868,48.0,48,1,43272723,43282954,-1,N,1.0,Y
ENSG00000169084,48.0,48,X,2137557,2420846,-1,N,1.0,Y
ENSG00000143971,48.0,48,2,67624451,67637677,1,N,1.0,Y
ENSG00000149451,48.0,48,20,3648612,3662893,-1,Y,1.0,Y
ENSG00000071246,48.0,48,14,77228532,77249354,1,Y,1.0,N
ENSG00000019169,44.0,48,2,119699742,119752236,1,Y,0.9166666666666666,N
ENSG00000164308,48.0,48,5,96211643,96255420,1,N,1.0,Y
ENSG00000164010,48.0,48,1,43282795,43310660,1,N,1.0,Y
ENSG00000175356,48.0,48,11,9041071,9159661,-1,Y,1.0,N
ENSG00000108823,48.0,48,17,48241575,48253292,1,Y,1.0,N
ENSG00000141750,46.0,47,17,37366789,37382125,-1,N,0.9787234042553192,Y
ENSG00000155508,48.0,48,5,154237113,154256353,1,Y,1.0,N
ENSG00000187778,48.0,48,12,49950327,49961936,-1,N,1.0,N
ENSG00000203827,48.0,48,1,148739443,148758311,1,N,1.0,Y
ENSG00000188612,47.0,48,17,73163408,73179078,-1,N,0.9791666666666666,N
ENSG00000168004,44.0,45,11,63228876,63258666,-1,Y,0.9777777777777776,N
ENSG00000204228,48.0,48,6,33172419,33174608,1,Y,1.0,Y
ENSG00000103152,43.0,48,16,127006,135852,1,Y,0.8958333333333334,N
ENSG00000161328,48.0,48,11,537527,554916,1,N,1.0,Y
ENSG00000128872,48.0,48,15,52043758,52108565,1,Y,1.0,Y
ENSG00000213445,48.0,48,11,65405568,65418401,1,N,1.0,Y
ENSG00000132141,48.0,48,17,33254878,33308097,-1,N,1.0,Y
ENSG00000164880,48.0,48,7,1509913,1545489,-1,N,1.0,Y
ENSG00000164011,43.0,48,1,43312280,43318148,1,N,0.8958333333333334,N
ENSG00000087995,48.0,48,17,60501228,60527454,1,N,1.0,Y
ENSG00000125351,48.0,48,X,118967985,118986961,-1,N,1.0,Y
ENSG00000204428,48.0,48,6,31644461,31651817,-1,Y,1.0,Y
ENSG00000180481,47.0,47,12,75784850,75826468,1,Y,1.0,Y
ENSG00000090920,45.0,48,19,40353963,40440533,-1,N,0.9375,N
ENSG00000185442,46.0,48,15,93160673,93353114,-1,N,0.9583333333333334,N
ENSG00000149679,48.0,48,20,60963688,60982341,-1,N,1.0,Y
ENSG00000119965,47.0,48,10,124690419,124713919,-1,N,0.9791666666666666,N
ENSG00000171566,46.0,48,4,155456158,155471587,-1,N,0.9583333333333334,N
ENSG00000103148,48.0,48,16,134273,188859,-1,Y,1.0,Y
ENSG00000151458,44.0,48,4,125585207,125633887,-1,Y,0.9166666666666666,N
ENSG00000065060,48.0,48,6,34759857,34850915,1,Y,1.0,Y
ENSG00000062650,47.0,48,10,88195013,88281572,-1,Y,0.9791666666666666,Y
ENSG00000241839,47.0,48,15,65134088,65160206,1,Y,0.9791666666666666,Y
ENSG00000196998,48.0,48,X,48929385,48958108,-1,N,1.0,Y
ENSG00000093072,48.0,48,22,17660194,17702879,-1,N,1.0,Y
ENSG00000186862,48.0,48,10,102767440,102790890,-1,Y,1.0,N
ENSG00000204227,47.0,48,6,33176272,33180499,1,N,0.9791666666666666,N
ENSG00000196456,48.0,48,7,150065879,150109558,1,N,1.0,Y
ENSG00000232859,48.0,48,17,26205340,26221778,-1,N,1.0,Y
ENSG00000125450,48.0,48,17,73201754,73231853,1,Y,1.0,Y
ENSG00000144395,48.0,48,2,197504278,197628214,1,N,1.0,Y
ENSG00000120256,46.0,48,6,150139934,150186199,-1,Y,0.9583333333333334,N
ENSG00000109445,48.0,48,4,142142041,142155851,1,N,1.0,Y
ENSG00000145979,48.0,48,6,13266774,13328815,-1,Y,1.0,Y
ENSG00000161326,46.0,48,17,35849937,35873603,1,N,0.9583333333333334,N
ENSG00000171103,48.0,48,2,29072687,29093167,-1,N,1.0,Y
ENSG00000166839,45.0,48,15,65204101,65251042,1,Y,0.9375,N
ENSG00000243667,48.0,48,2,68350068,68384692,-1,N,1.0,Y
ENSG00000010030,46.0,48,6,36322419,36356164,-1,N,0.9583333333333334,N
ENSG00000184432,45.0,48,3,139074442,139108574,-1,N,0.9375,N
ENSG00000036257,45.0,48,2,225334867,225450110,-1,N,0.9375,Y
ENSG00000131238,48.0,48,1,40538379,40563375,-1,N,1.0,N
ENSG00000118960,46.0,48,2,20760208,20850849,-1,N,0.9583333333333334,N
ENSG00000185522,48.0,48,11,554855,560779,-1,N,1.0,Y
ENSG00000196296,48.0,48,16,28889726,28915830,1,Y,1.0,Y
ENSG00000111331,48.0,48,12,113376157,113411054,1,N,1.0,Y
ENSG00000159086,48.0,48,21,34106210,34144169,-1,Y,1.0,Y
ENSG00000124440,48.0,48,19,46800303,46846690,1,N,1.0,Y
ENSG00000174197,48.0,48,15,41913422,42062141,1,N,1.0,Y
ENSG00000114670,48.0,48,3,130745694,131069309,1,Y,1.0,Y
ENSG00000204427,48.0,48,6,31654726,31671221,-1,Y,1.0,Y
ENSG00000090686,48.0,48,1,22004791,22110099,-1,N,1.0,N
ENSG00000154217,44.0,48,17,65373575,65693372,1,N,0.9166666666666666,N
ENSG00000013275,48.0,48,19,40476912,40487348,1,N,1.0,Y
ENSG00000011426,43.0,48,7,36429415,36493400,1,N,0.8958333333333334,N
ENSG00000069956,47.0,48,15,52244303,52358462,1,Y,0.9791666666666666,N
ENSG00000136856,48.0,48,9,130159421,130170703,1,N,1.0,Y
ENSG00000108821,47.0,48,17,48260650,48278993,-1,N,0.9791666666666666,N
ENSG00000151849,47.0,48,13,25457171,25497018,-1,N,0.9791666666666666,N
ENSG00000153208,48.0,48,2,112656056,112787138,1,N,1.0,Y
ENSG00000159210,47.0,48,17,47006678,47022479,-1,N,0.9791666666666666,N
ENSG00000206530,48.0,48,3,113005777,113160457,-1,N,1.0,Y
ENSG00000164163,47.0,48,4,146019084,146050331,1,N,0.9791666666666666,Y
ENSG00000171115,47.0,47,7,150147718,150176480,1,Y,1.0,Y
ENSG00000179988,47.0,48,10,124713897,124757029,1,Y,0.9791666666666666,Y
ENSG00000244752,47.0,47,22,25615489,25627836,1,N,1.0,Y
ENSG00000117395,46.0,48,1,43629846,43736607,-1,N,0.9583333333333334,N
ENSG00000188536,45.0,48,16,222846,223709,1,N,0.9375,N
ENSG00000146856,45.0,47,7,134671259,134832715,1,Y,0.9574468085106383,Y
ENSG00000112339,48.0,48,6,135281516,135424194,-1,N,1.0,Y
ENSG00000115107,48.0,48,2,119981384,120023228,1,Y,1.0,N
ENSG00000131435,45.0,48,5,131593364,131609147,1,Y,0.9375,N
ENSG00000148606,47.0,48,10,79734907,79789303,-1,Y,0.9791666666666666,N
ENSG00000178028,43.0,48,1,44679127,44686353,1,N,0.8958333333333334,N
ENSG00000100068,48.0,48,22,25747385,25801344,-1,N,1.0,Y
ENSG00000111271,44.0,48,12,112123857,112194903,1,N,0.9166666666666666,N
ENSG00000223501,48.0,48,6,33218049,33239824,-1,Y,1.0,Y
ENSG00000139278,48.0,48,12,75874460,75897633,1,Y,1.0,N
ENSG00000122176,48.0,48,1,203309756,203320617,-1,Y,1.0,N
ENSG00000069966,48.0,48,15,52413117,52483566,-1,Y,1.0,Y
ENSG00000164136,48.0,48,4,142557752,142655140,1,Y,1.0,Y
ENSG00000162999,48.0,48,2,183943287,183964733,1,Y,1.0,Y
ENSG00000176485,48.0,48,11,63340667,63384355,-1,N,1.0,Y
