Ensembl Gene ID,affectedTissues,expressedTissues,Chromosome Name,Gene Start (bp),Gene End (bp),Strand,type,propOfExpressedAffectedByeQTL,affectedByBroad
ENSG00000114405,19.0,48,3,62304648,62321888,1,singleton,0.3958333333333333,Y
ENSG00000127399,45.0,48,7,150019728,150035239,1,singleton,0.9375,Y
ENSG00000112304,16.0,48,6,24667263,24705293,1,singleton,0.3333333333333333,N
ENSG00000159199,14.0,48,17,46970127,46973233,1,ohno,0.2916666666666667,N
ENSG00000188707,32.0,48,7,150026938,150029808,1,singleton,0.6666666666666666,Y
ENSG00000106538,16.0,48,7,150035408,150038763,-1,singleton,0.3333333333333333,N
ENSG00000177663,33.0,48,22,17565844,17596583,1,ohno,0.6875,Y
ENSG00000242220,19.0,48,21,33948862,33959683,-1,SSD,0.3958333333333333,Y
ENSG00000182923,32.0,48,3,134204585,134293859,1,SSD,0.6666666666666666,Y
ENSG00000144026,40.0,48,2,95813075,95831158,-1,SSD,0.8333333333333334,Y
ENSG00000213639,25.0,48,2,28974506,29025806,1,SSD,0.5208333333333334,Y
ENSG00000124562,27.0,48,6,34725183,34741571,1,singleton,0.5625,Y
ENSG00000100031,20.0,48,22,24979718,25024972,1,SSD,0.4166666666666667,N
ENSG00000197548,23.0,48,3,11313995,11599139,1,singleton,0.4791666666666667,Y
ENSG00000118514,47.0,48,6,135238528,135271260,-1,SSD,0.9791666666666666,Y
ENSG00000154265,16.0,48,17,67240452,67323385,-1,SSD,0.3333333333333333,N
ENSG00000112667,23.0,48,6,43193367,43197222,-1,singleton,0.4791666666666667,Y
ENSG00000240053,33.0,48,6,31637944,31641553,1,singleton,0.6875,Y
ENSG00000175348,16.0,48,11,8968841,8986558,-1,ohno,0.3333333333333333,N
ENSG00000236624,45.0,48,1,45959538,45965751,-1,singleton,0.9375,Y
ENSG00000161980,17.0,48,16,96407,103628,-1,singleton,0.3541666666666667,Y
ENSG00000124508,32.0,48,6,26383324,26395102,1,SSD,0.6666666666666666,Y
ENSG00000099219,19.0,48,9,5765076,5833117,-1,singleton,0.3958333333333333,N
ENSG00000243452,36.0,48,1,148555979,148596267,1,SSD,0.75,Y
ENSG00000161981,32.0,48,16,103010,107669,1,singleton,0.6666666666666666,Y
ENSG00000164008,26.0,48,1,43232940,43263968,1,singleton,0.5416666666666666,Y
ENSG00000112308,30.0,48,6,24705089,24721064,-1,singleton,0.625,Y
ENSG00000173327,27.0,48,11,65365226,65382853,-1,ohno,0.5625,Y
ENSG00000130517,27.0,48,19,18451397,18480760,1,ohno,0.5625,Y
ENSG00000128683,17.0,44,2,171669723,171717661,1,ohno,0.3863636363636364,N
ENSG00000164627,26.0,41,6,39297766,39693181,-1,SSD,0.6341463414634146,Y
ENSG00000182771,21.0,47,10,87359312,88126250,-1,ohno,0.44680851063829785,Y
ENSG00000214022,14.0,48,7,150065278,150071133,1,singleton,0.2916666666666667,N
ENSG00000132763,14.0,48,1,45965725,45976739,1,singleton,0.2916666666666667,N
ENSG00000117450,15.0,48,1,45976708,45988719,-1,ohno,0.3125,N
ENSG00000157800,22.0,48,7,139993493,140104233,-1,SSD,0.4583333333333333,Y
ENSG00000174775,28.0,48,11,532242,537287,-1,ohno,0.5833333333333334,Y
ENSG00000177868,40.0,48,1,43272723,43282954,-1,singleton,0.8333333333333334,Y
ENSG00000174788,16.0,41,19,7696497,7698634,-1,singleton,0.3902439024390244,Y
ENSG00000149451,18.0,48,20,3648612,3662893,-1,ohno,0.375,Y
ENSG00000071246,14.0,48,14,77228532,77249354,1,ohno,0.2916666666666667,N
ENSG00000019169,16.0,48,2,119699742,119752236,1,ohno,0.3333333333333333,Y
ENSG00000183675,16.0,36,10,48736874,48827966,-1,SSD,0.4444444444444444,N
ENSG00000164308,48.0,48,5,96211643,96255420,1,SSD,1.0,Y
ENSG00000164010,27.0,48,1,43282795,43310660,1,SSD,0.5625,Y
ENSG00000175356,20.0,48,11,9041071,9159661,-1,ohno,0.4166666666666667,N
ENSG00000108823,34.0,48,17,48241575,48253292,1,ohno,0.7083333333333334,Y
ENSG00000155508,18.0,48,5,154237113,154256353,1,ohno,0.375,Y
ENSG00000203827,22.0,48,1,148739443,148758311,1,SSD,0.4583333333333333,Y
ENSG00000204228,27.0,48,6,33172419,33174608,1,SSD,0.5625,Y
ENSG00000161328,23.0,48,11,537527,554916,1,singleton,0.4791666666666667,Y
ENSG00000132141,25.0,48,17,33254878,33308097,-1,SSD,0.5208333333333334,Y
ENSG00000164880,45.0,48,7,1509913,1545489,-1,singleton,0.9375,Y
ENSG00000125351,19.0,48,X,118967985,118986961,-1,ohno,0.3958333333333333,Y
ENSG00000204428,36.0,48,6,31644461,31651817,-1,singleton,0.75,Y
ENSG00000180481,47.0,47,12,75784850,75826468,1,ohno,1.0,Y
ENSG00000185442,16.0,48,15,93160673,93353114,-1,singleton,0.3333333333333333,N
ENSG00000149679,28.0,48,20,60963688,60982341,-1,ohno,0.5833333333333334,Y
ENSG00000103148,46.0,48,16,134273,188859,-1,singleton,0.9583333333333334,Y
ENSG00000065060,45.0,48,6,34759857,34850915,1,ohno,0.9375,Y
ENSG00000241839,18.0,48,15,65134088,65160206,1,ohno,0.375,Y
ENSG00000093072,42.0,48,22,17660194,17702879,-1,singleton,0.875,Y
ENSG00000186862,16.0,48,10,102767440,102790890,-1,SSD,0.3333333333333333,Y
ENSG00000232859,34.0,48,17,26205340,26221778,-1,SSD,0.7083333333333334,Y
ENSG00000125450,45.0,48,17,73201754,73231853,1,singleton,0.9375,Y
ENSG00000124343,14.0,39,X,2670091,2734539,1,singleton,0.35897435897435903,N
ENSG00000145979,33.0,48,6,13266774,13328815,-1,singleton,0.6875,Y
ENSG00000171103,38.0,48,2,29072687,29093167,-1,singleton,0.7916666666666666,Y
ENSG00000166839,15.0,48,15,65204101,65251042,1,ohno,0.3125,N
ENSG00000243667,14.0,48,2,68350068,68384692,-1,SSD,0.2916666666666667,N
ENSG00000010030,14.0,48,6,36322419,36356164,-1,ohno,0.2916666666666667,N
ENSG00000131238,22.0,48,1,40538379,40563375,-1,SSD,0.4583333333333333,Y
ENSG00000114670,23.0,48,3,130745694,131069309,1,SSD,0.4791666666666667,Y
ENSG00000136856,27.0,48,9,130159421,130170703,1,ohno,0.5625,Y
ENSG00000153208,31.0,48,2,112656056,112787138,1,SSD,0.6458333333333334,Y
ENSG00000100053,22.0,42,22,25595817,25603330,1,SSD,0.5238095238095238,Y
ENSG00000159210,15.0,48,17,47006678,47022479,-1,singleton,0.3125,Y
ENSG00000206530,23.0,48,3,113005777,113160457,-1,singleton,0.4791666666666667,Y
ENSG00000171115,14.0,47,7,150147718,150176480,1,SSD,0.2978723404255319,Y
ENSG00000244752,25.0,47,22,25615489,25627836,1,SSD,0.5319148936170213,Y
ENSG00000154928,15.0,47,3,134316643,134979309,1,ohno,0.3191489361702128,N
ENSG00000112339,33.0,48,6,135281516,135424194,-1,SSD,0.6875,Y
ENSG00000115107,19.0,48,2,119981384,120023228,1,SSD,0.3958333333333333,N
ENSG00000100068,19.0,48,22,25747385,25801344,-1,SSD,0.3958333333333333,Y
ENSG00000122176,22.0,48,1,203309756,203320617,-1,SSD,0.4583333333333333,Y
ENSG00000069966,20.0,48,15,52413117,52483566,-1,SSD,0.4166666666666667,Y
ENSG00000176485,27.0,48,11,63340667,63384355,-1,SSD,0.5625,Y
ENSG00000123106,18.0,48,12,28286182,28732883,1,singleton,0.375,N
ENSG00000203722,18.0,46,6,150238014,150244257,-1,SSD,0.39130434782608703,Y
ENSG00000035115,28.0,48,2,217730,266398,-1,singleton,0.5833333333333334,Y
ENSG00000183562,28.0,48,11,3011093,3012563,1,singleton,0.5833333333333334,Y
ENSG00000118961,41.0,48,2,20883788,21022882,-1,singleton,0.8541666666666666,Y
ENSG00000159164,15.0,48,1,149874870,149889434,-1,ohno,0.3125,Y
ENSG00000141452,20.0,48,18,21083473,21111746,1,singleton,0.4166666666666667,Y
ENSG00000163002,19.0,48,2,183982241,184026408,1,singleton,0.3958333333333333,N
ENSG00000243710,23.0,43,1,43637820,43720029,1,singleton,0.5348837209302325,Y
ENSG00000101017,20.0,48,20,44746911,44758502,1,SSD,0.4166666666666667,Y
ENSG00000104918,23.0,41,19,7733930,7735334,1,SSD,0.5609756097560976,Y
ENSG00000196152,31.0,48,9,130186661,130207651,1,SSD,0.6458333333333334,Y
ENSG00000090487,40.0,48,15,65255362,65282648,-1,singleton,0.8333333333333334,Y
ENSG00000139505,24.0,48,13,25802307,25862147,-1,ohno,0.5,Y
ENSG00000197958,43.0,48,9,130209953,130213684,-1,singleton,0.8958333333333334,Y
ENSG00000109084,16.0,48,17,26646121,26655707,1,singleton,0.3333333333333333,N
ENSG00000111981,14.0,42,6,150285143,150294846,1,SSD,0.3333333333333333,N
ENSG00000164733,28.0,48,8,11700033,11726957,-1,SSD,0.5833333333333334,Y
ENSG00000006114,31.0,48,17,35874900,35969544,-1,singleton,0.6458333333333334,Y
ENSG00000005156,38.0,48,17,33307513,33332083,1,SSD,0.7916666666666666,Y
ENSG00000131100,16.0,48,22,18074902,18111584,-1,SSD,0.3333333333333333,Y
ENSG00000136250,19.0,47,7,36552456,36764154,-1,singleton,0.40425531914893614,N
ENSG00000026950,31.0,48,6,26402465,26415444,1,SSD,0.6458333333333334,Y
ENSG00000145777,29.0,47,5,110405760,110413722,1,singleton,0.6170212765957447,Y
ENSG00000108846,21.0,48,17,48712138,48769613,1,ohno,0.4375,Y
ENSG00000060491,28.0,48,20,61436187,61445352,1,ohno,0.5833333333333334,Y
ENSG00000122783,17.0,48,7,134777115,134855547,-1,singleton,0.3541666666666667,Y
ENSG00000013523,14.0,48,14,77253588,77292589,-1,ohno,0.2916666666666667,N
ENSG00000107819,16.0,48,10,102790991,102800998,1,ohno,0.3333333333333333,N
ENSG00000141458,23.0,48,18,21086148,21166862,-1,SSD,0.4791666666666667,Y
ENSG00000125637,31.0,48,2,113914902,113966973,1,ohno,0.6458333333333334,Y
ENSG00000213494,19.0,44,17,34310327,34329100,-1,SSD,0.4318181818181818,Y
ENSG00000198933,30.0,48,17,45771447,45789416,1,singleton,0.625,Y
ENSG00000101825,16.0,46,X,3226606,3264682,-1,ohno,0.3478260869565217,N
ENSG00000134987,18.0,48,5,110427414,110466200,1,singleton,0.375,Y
ENSG00000171503,32.0,48,4,159593277,159630775,1,singleton,0.6666666666666666,Y
ENSG00000205664,26.0,48,X,3735569,3761898,-1,singleton,0.5416666666666666,Y
ENSG00000172922,28.0,48,11,65482367,65488418,-1,singleton,0.5833333333333334,Y
ENSG00000164855,17.0,46,7,1581871,1600457,-1,ohno,0.3695652173913043,N
ENSG00000164904,27.0,48,5,125877533,125931110,-1,SSD,0.5625,Y
ENSG00000011485,15.0,48,19,46850251,46896238,1,SSD,0.3125,N
ENSG00000146938,16.0,47,X,5758678,6146904,-1,ohno,0.3404255319148936,N
ENSG00000171497,18.0,48,4,159630286,159644548,-1,SSD,0.375,Y
ENSG00000155066,14.0,48,2,95940201,95957056,1,ohno,0.2916666666666667,N
ENSG00000243646,30.0,48,21,34638663,34669539,1,SSD,0.625,Y
ENSG00000152582,15.0,48,5,35617946,35814713,1,singleton,0.3125,N
ENSG00000266714,31.0,48,17,73584139,73622929,1,ohno,0.6458333333333334,Y
ENSG00000106560,15.0,48,7,150382785,150390729,1,SSD,0.3125,N
ENSG00000066056,14.0,48,1,43766664,43788779,1,ohno,0.2916666666666667,N
ENSG00000100814,17.0,48,14,20779527,20801471,-1,singleton,0.3541666666666667,N
ENSG00000196542,19.0,45,3,161062580,161090668,-1,ohno,0.4222222222222222,Y
ENSG00000142166,16.0,48,21,34696734,34732168,1,SSD,0.3333333333333333,Y
ENSG00000155957,31.0,48,12,66517709,66563852,-1,SSD,0.6458333333333334,Y
ENSG00000051620,25.0,48,6,138724668,138743334,1,ohno,0.5208333333333334,Y
ENSG00000172803,43.0,48,11,65601112,65624367,1,ohno,0.8958333333333334,Y
ENSG00000177302,24.0,48,17,18174742,18218321,-1,SSD,0.5,Y
ENSG00000142798,21.0,48,1,22148738,22263790,-1,SSD,0.4375,Y
ENSG00000185664,15.0,48,12,56347889,56367101,-1,SSD,0.3125,N
ENSG00000138801,18.0,48,4,108511433,108641608,-1,ohno,0.375,N
ENSG00000166471,14.0,48,11,9302201,9336327,-1,SSD,0.2916666666666667,N
ENSG00000115935,14.0,48,2,175424300,175547644,-1,SSD,0.2916666666666667,N
ENSG00000118579,36.0,48,4,17616254,17635728,1,singleton,0.75,Y
ENSG00000197375,23.0,48,5,131705444,131731306,1,SSD,0.4791666666666667,Y
ENSG00000196378,35.0,48,8,145998499,146012730,-1,SSD,0.7291666666666666,Y
ENSG00000006757,15.0,48,X,7866288,7895780,-1,SSD,0.3125,N
ENSG00000120805,23.0,48,12,101786898,101801598,-1,SSD,0.4791666666666667,Y
ENSG00000115274,15.0,48,2,74682150,74688011,1,singleton,0.3125,Y
ENSG00000144559,45.0,48,3,11831916,11888393,-1,singleton,0.9375,Y
ENSG00000111615,33.0,48,12,75890684,75905416,-1,singleton,0.6875,Y
ENSG00000163257,17.0,48,4,17802278,17812381,-1,singleton,0.3541666666666667,Y
ENSG00000246922,26.0,48,15,65385338,65407535,-1,SSD,0.5416666666666666,Y
ENSG00000168005,16.0,48,11,63580860,63595190,1,singleton,0.3333333333333333,Y
ENSG00000197535,15.0,48,15,52599480,52821247,-1,ohno,0.3125,N
ENSG00000106565,23.0,48,7,150488373,150498448,-1,SSD,0.4791666666666667,Y
ENSG00000228716,43.0,48,5,79922047,79950802,-1,SSD,0.8958333333333334,Y
ENSG00000153214,15.0,48,2,112812800,112876895,1,ohno,0.3125,N
ENSG00000142188,41.0,48,21,34804792,34852318,-1,ohno,0.8541666666666666,Y
ENSG00000243708,28.0,48,15,42120283,42140345,1,ohno,0.5833333333333334,Y
ENSG00000090470,16.0,48,15,65409717,65426174,-1,singleton,0.3333333333333333,Y
ENSG00000169515,21.0,47,19,46913629,46916841,-1,singleton,0.44680851063829785,N
ENSG00000182013,41.0,48,19,46969748,46974820,-1,SSD,0.8541666666666666,Y
ENSG00000240344,48.0,48,2,201735630,201754026,-1,SSD,1.0,Y
ENSG00000076344,27.0,48,16,318300,325980,-1,SSD,0.5625,Y
ENSG00000138326,22.0,48,10,79793518,79816570,1,singleton,0.4583333333333333,Y
ENSG00000189007,26.0,48,6,143743969,143771810,-1,singleton,0.5416666666666666,Y
ENSG00000163864,27.0,48,3,139279022,139396859,-1,SSD,0.5625,Y
ENSG00000197782,32.0,48,19,40575059,40596845,-1,SSD,0.6666666666666666,Y
ENSG00000125352,19.0,48,X,119004497,119005791,-1,SSD,0.3958333333333333,Y
ENSG00000258572,21.0,47,14,95982473,95984248,1,singleton,0.44680851063829785,Y
ENSG00000182512,21.0,48,14,95999840,96011061,1,singleton,0.4375,Y
ENSG00000101224,27.0,48,20,3767578,3786762,1,SSD,0.5625,Y
ENSG00000166478,20.0,48,11,9481866,9550071,1,ohno,0.4166666666666667,Y
ENSG00000255098,18.0,29,8,11870545,11873043,-1,singleton,0.6206896551724138,Y
ENSG00000170049,22.0,48,17,7825177,7833121,-1,ohno,0.4583333333333333,Y
ENSG00000106178,15.0,29,7,75440983,75452674,-1,SSD,0.5172413793103449,N
ENSG00000166167,15.0,48,10,103113820,103317078,1,ohno,0.3125,Y
ENSG00000086015,21.0,48,1,46252659,46501796,1,ohno,0.4375,Y
ENSG00000100099,17.0,48,22,26839389,26879803,-1,singleton,0.3541666666666667,N
ENSG00000112031,46.0,48,6,153308497,153323820,-1,ohno,0.9583333333333334,Y
ENSG00000005486,19.0,48,7,75471920,75518244,1,singleton,0.3958333333333333,Y
ENSG00000177854,40.0,48,X,153237778,153248646,1,singleton,0.8333333333333334,Y
ENSG00000101190,34.0,48,20,61472467,61493115,-1,singleton,0.7083333333333334,Y
ENSG00000186523,25.0,48,8,12039605,12051642,-1,SSD,0.5208333333333334,Y
ENSG00000176623,37.0,48,8,87480486,87526586,-1,SSD,0.7708333333333334,Y
ENSG00000143850,14.0,48,1,204187979,204346793,-1,SSD,0.2916666666666667,N
ENSG00000189350,39.0,47,2,29179477,29284239,1,ohno,0.8297872340425532,Y
ENSG00000161016,34.0,48,8,146015150,146017972,-1,singleton,0.7083333333333334,Y
ENSG00000172543,34.0,48,11,65647280,65651212,1,SSD,0.7083333333333334,Y
ENSG00000267596,14.0,26,17,34323476,34329084,-1,SSD,0.5384615384615384,N
ENSG00000152404,22.0,48,11,107197071,107328572,-1,SSD,0.4583333333333333,Y
ENSG00000157895,30.0,48,12,121440225,121454305,-1,singleton,0.625,Y
ENSG00000108784,20.0,48,17,40688190,40696467,1,singleton,0.4166666666666667,Y
ENSG00000243789,25.0,48,15,42120283,42129779,1,singleton,0.5208333333333334,Y
ENSG00000237190,20.0,48,5,133737778,133747589,-1,SSD,0.4166666666666667,Y
ENSG00000101191,18.0,48,20,61509090,61569304,-1,ohno,0.375,Y
ENSG00000242173,16.0,48,16,318726,333003,1,ohno,0.3333333333333333,N
ENSG00000157833,17.0,48,2,26395960,26412532,1,SSD,0.3541666666666667,Y
ENSG00000002933,26.0,48,7,150497491,150502208,1,SSD,0.5416666666666666,Y
ENSG00000172500,16.0,48,11,65651212,65656010,-1,singleton,0.3333333333333333,Y
ENSG00000101882,17.0,48,X,119059014,119077735,-1,SSD,0.3541666666666667,N
ENSG00000167236,14.0,33,17,34340096,34345005,-1,SSD,0.42424242424242425,Y
ENSG00000127948,17.0,48,7,75528518,75616173,1,SSD,0.3541666666666667,N
ENSG00000026103,25.0,48,10,90750414,90775542,1,singleton,0.5208333333333334,Y
ENSG00000111801,16.0,48,6,26440700,26453643,1,SSD,0.3333333333333333,N
ENSG00000183657,14.0,39,3,171509580,171527714,-1,singleton,0.35897435897435903,N
ENSG00000102007,28.0,48,X,49028273,49031588,1,SSD,0.5833333333333334,Y
ENSG00000185615,14.0,48,16,333152,337215,1,SSD,0.2916666666666667,N
ENSG00000187815,34.0,48,1,40942887,40962015,1,SSD,0.7083333333333334,Y
ENSG00000115275,25.0,48,2,74688184,74692537,-1,singleton,0.5208333333333334,Y
ENSG00000128989,23.0,48,15,52839242,52862080,-1,ohno,0.4791666666666667,Y
ENSG00000197980,26.0,46,3,156543270,156763918,1,singleton,0.5652173913043478,Y
ENSG00000164002,19.0,48,1,40974413,40982228,1,singleton,0.3958333333333333,Y
ENSG00000159111,16.0,48,17,45900638,45908900,-1,singleton,0.3333333333333333,N
ENSG00000083290,16.0,48,17,19674142,19771249,-1,ohno,0.3333333333333333,Y
ENSG00000111962,14.0,48,6,149068464,149398126,1,SSD,0.2916666666666667,N
ENSG00000198105,17.0,48,10,38091751,38147034,-1,SSD,0.3541666666666667,Y
ENSG00000130758,22.0,48,19,40697651,40721482,1,ohno,0.4583333333333333,Y
ENSG00000135525,14.0,48,6,136663875,136871957,-1,SSD,0.2916666666666667,N
ENSG00000085719,18.0,48,8,87497059,87573726,1,ohno,0.375,N
ENSG00000021762,25.0,48,11,3108346,3187969,-1,ohno,0.5208333333333334,Y
ENSG00000113318,30.0,48,5,79950467,80172279,1,singleton,0.625,Y
ENSG00000073464,23.0,48,X,10125024,10205700,1,ohno,0.4791666666666667,Y
ENSG00000129484,23.0,48,14,20811741,20826064,1,SSD,0.4791666666666667,Y
ENSG00000105287,27.0,48,19,47177532,47220384,-1,ohno,0.5625,Y
ENSG00000145002,14.0,44,8,12282913,12293915,-1,SSD,0.3181818181818182,N
ENSG00000198520,16.0,48,1,45140364,45191263,1,singleton,0.3333333333333333,N
ENSG00000150054,18.0,48,10,28339922,28623415,-1,ohno,0.375,N
ENSG00000092871,14.0,48,17,33333009,33416338,-1,ohno,0.2916666666666667,N
ENSG00000137877,42.0,48,15,42140345,42186275,-1,SSD,0.875,Y
ENSG00000122375,27.0,37,10,88414314,88426605,1,ohno,0.7297297297297297,Y
ENSG00000145425,15.0,48,4,152020725,152025804,1,singleton,0.3125,N
ENSG00000145416,34.0,48,4,164445450,165305202,-1,ohno,0.7083333333333334,Y
ENSG00000086504,14.0,48,16,417384,420527,-1,singleton,0.2916666666666667,N
ENSG00000122033,21.0,48,13,28009776,28024739,-1,singleton,0.4375,Y
ENSG00000103742,17.0,46,15,65673802,65715410,-1,SSD,0.3695652173913043,Y
ENSG00000101158,39.0,48,20,57556263,57570188,1,singleton,0.8125,Y
ENSG00000239264,15.0,48,6,7881483,8026646,-1,SSD,0.3125,N
ENSG00000101883,36.0,48,X,119243011,119249847,-1,SSD,0.75,Y
