Ensembl Gene ID,affectedTissues,expressedTissues,Chromosome Name,Gene Start (bp),Gene End (bp),Strand,pLI,haplo,propOfExpressedAffectedByeQTL,affectedByBroad
ENSG00000197361,48.0,48,15,63889552,63894627,1,0.000439659300268727,N,1.0,Y
ENSG00000080503,46.0,48,9,2015342,2193624,1,0.9999982635394872,Y,0.9583333333333334,N
ENSG00000136950,48.0,48,9,127624409,127640003,1,0.775599153315343,N,1.0,Y
ENSG00000176659,46.0,46,20,58630980,58648008,1,0.0552321459200376,N,1.0,N
ENSG00000167088,48.0,48,18,19192228,19210417,1,0.847045312877468,N,1.0,Y
ENSG00000128218,45.0,45,22,24094930,24096655,-1,0.0161485671370314,N,1.0,N
ENSG00000138592,47.0,48,15,50716577,50793280,1,0.9999826285551868,Y,0.9791666666666666,N
ENSG00000179242,47.0,47,20,59827482,60515673,1,0.966988413982154,Y,1.0,N
ENSG00000136935,48.0,48,9,127640646,127710771,-1,0.00610739448233049,N,1.0,N
ENSG00000250479,48.0,48,22,24108021,24110630,-1,0.00013241241486381202,N,1.0,Y
ENSG00000141627,48.0,48,18,46570039,46987717,-1,5.1811150113059704e-09,N,1.0,Y
ENSG00000165474,44.0,48,13,20761609,20767037,-1,1.02863295453376e-11,N,0.9166666666666666,N
ENSG00000140553,46.0,48,15,91473410,91497323,1,9.493072483502212e-08,N,0.9583333333333334,N
ENSG00000173611,48.0,48,9,127704887,127905785,-1,0.999445289317284,Y,1.0,Y
ENSG00000156261,48.0,48,21,30428126,30446118,-1,0.9827927601139341,Y,1.0,Y
ENSG00000165475,48.0,48,13,20977806,21099996,-1,1.8675253883702696e-05,N,1.0,N
ENSG00000137806,47.0,48,15,41679551,41694717,-1,0.00389629034560786,N,0.9791666666666666,N
ENSG00000099956,48.0,48,22,24129150,24176703,1,0.996807633610163,Y,1.0,Y
ENSG00000177576,48.0,48,18,47008028,47013622,-1,0.18275268888643,N,1.0,Y
ENSG00000119414,48.0,48,9,127908852,127952218,-1,0.988609353693385,Y,1.0,Y
ENSG00000101752,48.0,48,18,19284918,19450918,1,1.0007180499767502e-44,N,1.0,Y
ENSG00000099958,44.0,48,22,24176690,24181315,-1,0.000238218108055327,N,0.9166666666666666,N
ENSG00000125901,48.0,48,20,3026591,3028900,1,0.18785758754076198,N,1.0,Y
ENSG00000136933,48.0,48,9,127962821,127996437,1,4.19209227321727e-06,N,1.0,Y
ENSG00000080608,45.0,48,9,2720469,2844241,-1,1.6622204624430505e-14,N,0.9375,N
ENSG00000032742,48.0,48,13,21140585,21265503,1,1.97189619737225e-08,N,1.0,Y
ENSG00000156265,46.0,48,21,30449792,30548210,1,0.0022653891673035,N,0.9583333333333334,N
ENSG00000175806,47.0,48,8,9911778,10286401,1,1.6997610030306102e-06,N,0.9791666666666666,N
ENSG00000028528,48.0,48,15,64386322,64438289,1,0.939839944686599,Y,1.0,N
ENSG00000133460,48.0,48,22,24198890,24228496,1,5.45933694484048e-12,N,1.0,Y
ENSG00000150456,48.0,48,13,21302870,21348097,-1,0.00099088008840384,N,1.0,Y
ENSG00000156273,48.0,48,21,30566392,31003071,1,0.01418640000584,N,1.0,Y
ENSG00000100979,48.0,48,20,44527399,44540794,-1,0.000142042024392603,N,1.0,N
ENSG00000132953,48.0,48,13,21351469,21477187,-1,0.9999996132799379,Y,1.0,Y
ENSG00000185019,48.0,48,20,3088219,3140842,-1,0.00178682505370842,N,1.0,Y
ENSG00000123908,47.0,48,8,141541264,141645718,-1,0.9999922489623121,Y,0.9791666666666666,N
ENSG00000240972,47.0,48,22,24236191,24237414,1,0.0324842227823062,N,0.9791666666666666,N
ENSG00000215251,48.0,48,20,3127165,3140543,-1,3.4250816581256e-06,N,1.0,Y
ENSG00000218537,48.0,48,22,24236613,24241117,-1,0.37757496797728,N,1.0,Y
ENSG00000133433,46.0,46,22,24299601,24303373,-1,0.5201534970857971,N,1.0,Y
ENSG00000088899,46.0,48,20,3143263,3154192,-1,0.875742310525438,N,0.9583333333333334,N
ENSG00000099974,46.0,48,22,24309089,24314721,1,0.41672757218518,N,0.9583333333333334,Y
ENSG00000198171,48.0,48,20,3170996,3185331,-1,0.000149759368683589,N,1.0,Y
ENSG00000099977,48.0,48,22,24313554,24322660,-1,0.41292562375284503,N,1.0,Y
ENSG00000184402,48.0,48,20,60718822,60757540,1,0.812233116235997,N,1.0,Y
ENSG00000150459,48.0,48,13,21714653,21723221,1,0.0457562409111712,N,1.0,Y
ENSG00000099984,47.0,47,22,24322339,24326106,1,0.22673482915339999,N,1.0,Y
ENSG00000125877,48.0,48,20,3189514,3204516,1,8.97319725886936e-05,N,1.0,Y
ENSG00000165219,47.0,48,9,128024073,128129486,1,0.9999998715948192,Y,0.9791666666666666,N
ENSG00000106688,46.0,47,9,4490444,4587469,1,0.0012711667210719196,N,0.9787234042553192,Y
ENSG00000184674,48.0,48,22,24376133,24384680,-1,0.00166897825306788,N,1.0,Y
ENSG00000138600,48.0,48,15,50999506,51058005,-1,0.0470779338673946,N,1.0,Y
ENSG00000184508,48.0,48,15,91474148,91475799,-1,0.0718306276352796,N,1.0,Y
ENSG00000124209,47.0,48,20,56884752,56942563,1,0.6851298478772729,N,0.9791666666666666,Y
ENSG00000185015,48.0,48,8,86132816,86196302,1,0.000339444426113696,N,1.0,N
ENSG00000173141,47.0,48,13,21750784,21753223,1,0.14992990900970402,N,0.9791666666666666,N
ENSG00000167702,48.0,48,8,145691426,145699585,1,0.0013405788863557699,N,1.0,Y
ENSG00000166965,48.0,48,15,91498100,91506349,1,1.62554312815351e-05,N,1.0,Y
ENSG00000180776,46.0,48,13,21950263,22033509,-1,0.0023300706687288198,N,0.9583333333333334,N
ENSG00000103932,48.0,48,15,41809374,41836467,-1,5.01588405270387e-15,N,1.0,Y
ENSG00000124164,48.0,48,20,56964178,57026157,1,0.739723829926661,N,1.0,Y
ENSG00000101181,48.0,48,20,60758085,60778624,1,0.0006088571613692862,N,1.0,Y
ENSG00000169989,43.0,47,4,153690506,153700916,-1,0.0019245047996710105,N,0.9148936170212766,N
ENSG00000106686,48.0,48,9,4553386,4666674,-1,1.92357114676295e-11,N,1.0,Y
ENSG00000145348,48.0,48,4,106962756,107242652,-1,3.2154815637914e-06,N,1.0,Y
ENSG00000099991,48.0,48,22,24407642,24574596,1,8.54365661226281e-08,N,1.0,Y
ENSG00000088836,48.0,48,20,3208063,3219836,-1,1.36725840636298e-08,N,1.0,N
ENSG00000104643,48.0,48,8,11141925,11185646,1,0.21086614896984104,N,1.0,N
ENSG00000165487,48.0,48,13,22066836,22178353,-1,2.60205517637133e-13,N,1.0,N
ENSG00000164144,48.0,48,4,153701089,153839615,1,0.003729023238124071,N,1.0,Y
ENSG00000205808,44.0,48,9,4662298,4665256,1,0.8104025766612171,N,0.9166666666666666,N
ENSG00000106993,47.0,48,9,4679559,4708398,1,0.935601045748761,Y,0.9791666666666666,Y
ENSG00000099994,48.0,48,22,24577227,24585078,1,1.32605754184724e-10,N,1.0,Y
ENSG00000081014,44.0,48,15,51200869,51298097,1,0.979862099052625,Y,0.9166666666666666,N
ENSG00000147853,48.0,48,9,4711155,4742043,-1,5.632087444511229e-05,N,1.0,N
ENSG00000197465,48.0,48,4,144792020,144826716,-1,0.00163909694496274,N,1.0,Y
ENSG00000166206,43.0,46,15,26788693,27184686,-1,0.9970739602716592,Y,0.9347826086956522,N
ENSG00000099998,48.0,48,22,24615622,24641110,-1,1.3930323938336401e-05,N,1.0,Y
ENSG00000166803,44.0,47,15,64657193,64679886,-1,0.12950456234745694,N,0.9361702127659576,N
ENSG00000142168,48.0,48,21,33031935,33041244,1,0.44218872369881707,N,1.0,N
ENSG00000146540,48.0,48,7,1036622,1177896,-1,0.00139620778717545,N,1.0,Y
ENSG00000120158,43.0,48,9,4792869,4885917,1,0.948080583071813,Y,0.8958333333333334,N
ENSG00000184056,48.0,48,15,91541646,91565833,-1,2.91337145537518e-09,N,1.0,Y
ENSG00000153130,48.0,48,4,141178440,141306880,1,0.280616505811833,N,1.0,Y
ENSG00000124222,46.0,48,20,57226328,57254582,1,0.235503144787157,N,0.9583333333333334,N
ENSG00000144659,48.0,48,3,39424839,39438842,1,0.0682178285427916,N,1.0,N
ENSG00000088854,48.0,48,20,3229951,3388272,-1,0.00600469217397855,N,1.0,N
ENSG00000168028,48.0,48,3,39448180,39454033,1,0.7518514258793159,N,1.0,Y
ENSG00000177710,48.0,48,8,11188397,11189717,1,0.0274846347511103,N,1.0,Y
ENSG00000100014,48.0,48,22,24666786,24813708,1,0.993395147293948,Y,1.0,Y
ENSG00000096968,44.0,48,9,4985033,5128183,1,0.9690349268327032,Y,0.9166666666666666,N
ENSG00000122547,45.0,48,7,36192758,36341152,1,0.00265719814434564,N,0.9375,N
ENSG00000027001,48.0,48,13,24304328,24463558,-1,8.49063579888535e-07,N,1.0,Y
ENSG00000103671,48.0,48,15,64679947,64747502,1,3.0419716835334703e-07,N,1.0,Y
ENSG00000178381,48.0,48,7,1191707,1200395,-1,0.000389857167343114,N,1.0,Y
ENSG00000164124,48.0,48,4,159122756,159176563,1,7.82129795001937e-08,N,1.0,Y
ENSG00000181004,45.0,48,4,123653857,123666098,1,3.9287477016744797e-07,N,0.9375,N
ENSG00000180357,47.0,48,15,64752941,64978264,1,0.999945906955907,Y,0.9791666666666666,N
ENSG00000100024,44.0,47,22,24863206,24924358,1,1.85086913944901e-07,N,0.9361702127659576,N
ENSG00000196814,47.0,47,9,129089128,129269320,1,0.622016653573598,N,1.0,N
ENSG00000186417,47.0,47,15,51633826,51700210,1,1.79271352388512e-11,N,1.0,N
ENSG00000151552,48.0,48,4,17461884,17513857,-1,0.0658164274641498,N,1.0,N
ENSG00000134490,46.0,48,18,20777108,21017925,-1,7.762880535120609e-05,N,0.9583333333333334,N
ENSG00000107020,48.0,48,9,5357973,5437878,-1,8.35916111034872e-08,N,1.0,Y
ENSG00000197037,48.0,48,7,99214569,99230030,1,0.21458939701939805,N,1.0,Y
ENSG00000215440,48.0,48,20,57264187,57294294,1,1.80492173035865e-07,N,1.0,Y
ENSG00000182957,47.0,48,13,24553944,24881212,1,0.528844213374764,N,0.9791666666666666,Y
ENSG00000164877,47.0,48,7,1468101,1499138,-1,7.76189169980639e-17,N,0.9791666666666666,N
ENSG00000163655,48.0,48,3,155588325,155661815,1,0.9939043057168759,Y,1.0,N
ENSG00000170917,48.0,48,4,123809852,123844123,-1,0.0007616619840626483,N,1.0,N
ENSG00000197646,48.0,48,9,5510545,5571282,1,0.000429826390067904,N,1.0,Y
ENSG00000129055,48.0,48,3,134196548,134205558,-1,0.00134979464058177,N,1.0,Y
ENSG00000154328,48.0,48,8,11627148,11644855,1,2.110995830994231e-09,N,1.0,Y
ENSG00000119715,43.0,43,14,76776957,76968178,1,0.542080991203377,N,1.0,N
ENSG00000166225,48.0,48,12,69864129,69973562,1,0.979070203401274,Y,1.0,Y
ENSG00000169155,48.0,48,9,129567285,129600489,1,0.8770419354406209,N,1.0,Y
ENSG00000165959,46.0,48,14,95648277,95786243,-1,2.06352661935763e-07,N,0.9583333333333334,N
ENSG00000163728,48.0,48,3,180319918,180335616,1,4.4187148004601795e-06,N,1.0,Y
ENSG00000034533,48.0,48,3,130732719,130746493,-1,3.39138941425054e-12,N,1.0,Y
ENSG00000102699,48.0,48,13,24995064,25086948,-1,2.1334169928014692e-20,N,1.0,Y
ENSG00000114405,44.0,48,3,62304648,62321888,1,1.59540116585515e-06,N,0.9166666666666666,N
ENSG00000145375,48.0,48,4,123844229,124240605,1,4.6481428380417097e-10,N,1.0,Y
ENSG00000130702,48.0,48,20,60883011,60942368,-1,0.9430379810278392,Y,1.0,Y
ENSG00000127399,48.0,48,7,150019728,150035239,1,0.00519555071411505,N,1.0,Y
ENSG00000112304,47.0,48,6,24667263,24705293,1,3.42929947285046e-05,N,0.9791666666666666,N
ENSG00000104093,48.0,48,15,51739908,51915030,-1,0.999999999395933,Y,1.0,N
ENSG00000159199,46.0,48,17,46970127,46973233,1,0.327525828609274,N,0.9583333333333334,N
ENSG00000165097,47.0,48,6,18155560,18224084,1,0.8150879367367071,N,0.9791666666666666,N
ENSG00000095564,48.0,48,10,93683526,93790082,1,0.999999999938298,Y,1.0,Y
ENSG00000107036,47.0,48,9,5629025,5776557,1,0.804233369730465,N,0.9791666666666666,N
ENSG00000188707,47.0,48,7,150026938,150029808,1,0.0029222621981805893,N,0.9791666666666666,Y
ENSG00000198879,44.0,48,10,7200586,7453450,-1,0.9964077698663828,Y,0.9166666666666666,N
ENSG00000106538,46.0,48,7,150035408,150038763,-1,0.00295445312501597,N,0.9583333333333334,N
ENSG00000177663,48.0,48,22,17565844,17596583,1,0.119417929909631,N,1.0,N
ENSG00000242220,48.0,48,21,33948862,33959683,-1,0.0019136136392723696,N,1.0,Y
ENSG00000167100,44.0,48,17,48187404,48207246,-1,0.0202644303517086,N,0.9166666666666666,N
ENSG00000135919,43.0,48,2,224839829,224904036,-1,0.6430239193780649,N,0.8958333333333334,N
ENSG00000182923,48.0,48,3,134204585,134293859,1,8.502769072228007e-21,N,1.0,Y
ENSG00000144026,48.0,48,2,95813075,95831158,-1,7.046814648768941e-09,N,1.0,Y
ENSG00000213639,48.0,48,2,28974506,29025806,1,0.997194974203565,Y,1.0,Y
ENSG00000167700,45.0,48,8,145734457,145736596,1,2.0161522992138706e-08,N,0.9375,N
ENSG00000124562,48.0,48,6,34725183,34741571,1,0.7272617776538691,N,1.0,Y
ENSG00000100031,48.0,48,22,24979718,25024972,1,0.6769747167057729,N,1.0,Y
ENSG00000197548,48.0,48,3,11313995,11599139,1,1.52666137074291e-05,N,1.0,Y
ENSG00000118514,48.0,48,6,135238528,135271260,-1,9.45631299959995e-06,N,1.0,Y
ENSG00000154265,48.0,48,17,67240452,67323385,-1,2.52772496034416e-15,N,1.0,Y
ENSG00000112667,48.0,48,6,43193367,43197222,-1,0.000716569937593186,N,1.0,Y
ENSG00000186074,44.0,47,17,72690452,72709117,-1,4.96998888405705e-06,N,0.9361702127659576,N
ENSG00000159079,48.0,48,21,33964389,33985176,-1,0.000141358025835822,N,1.0,Y
ENSG00000234769,48.0,48,16,64043,69452,-1,0.472112531877142,N,1.0,Y
ENSG00000240053,48.0,48,6,31637944,31641553,1,0.0008711935424609613,N,1.0,Y
ENSG00000140451,48.0,48,15,65107831,65117867,-1,7.57989172819851e-12,N,1.0,N
ENSG00000137462,48.0,48,4,154622652,154626851,1,9.229247643179559e-05,N,1.0,Y
ENSG00000106258,45.0,48,7,99245817,99277621,-1,5.21037691769514e-11,N,0.9375,N
ENSG00000196954,45.0,48,11,104813593,104840163,-1,8.20826546130762e-07,N,0.9375,Y
ENSG00000175348,48.0,48,11,8968841,8986558,-1,0.911174542861045,Y,1.0,Y
ENSG00000075651,47.0,48,3,171318195,171528740,-1,7.20704885136773e-16,N,0.9791666666666666,N
ENSG00000144306,47.0,48,2,175260458,175294303,1,1.32015222635661e-06,N,0.9791666666666666,N
ENSG00000130520,44.0,48,19,18417040,18434084,-1,0.667371394425323,N,0.9166666666666666,N
ENSG00000105202,47.0,48,19,40325098,40337054,-1,0.9844963562173532,Y,0.9791666666666666,Y
ENSG00000181649,44.0,48,11,2949503,2950685,-1,0.0242596618306058,N,0.9166666666666666,N
ENSG00000178188,48.0,48,16,28857921,28885526,1,0.9568297095930368,Y,1.0,Y
ENSG00000081760,47.0,48,12,125549925,125627873,1,4.2456926056096e-12,N,0.9791666666666666,N
ENSG00000236624,48.0,48,1,45959538,45965751,-1,0.143398568804261,N,1.0,Y
ENSG00000161980,47.0,48,16,96407,103628,-1,0.324223634570766,N,0.9791666666666666,N
ENSG00000155324,47.0,48,5,125695824,125832186,1,1.5354658121779402e-07,N,0.9791666666666666,N
ENSG00000124508,48.0,48,6,26383324,26395102,1,0.000150288420483044,N,1.0,Y
ENSG00000099219,48.0,48,9,5765076,5833117,-1,4.549969630902271e-05,N,1.0,Y
ENSG00000243452,48.0,48,1,148555979,148596267,1,0.12393906367952699,N,1.0,Y
ENSG00000161981,48.0,48,16,103010,107669,1,0.00747804113002767,N,1.0,Y
ENSG00000164008,48.0,48,1,43232940,43263968,1,0.0070159264630759105,N,1.0,Y
ENSG00000104983,48.0,48,19,46498339,46524576,1,2.1708836745853198e-05,N,1.0,Y
ENSG00000112308,48.0,48,6,24705089,24721064,-1,0.9465574242581408,Y,1.0,Y
ENSG00000173327,48.0,48,11,65365226,65382853,-1,0.170283101085365,N,1.0,Y
ENSG00000130517,48.0,48,19,18451397,18480760,1,0.00035336540799026404,N,1.0,Y
ENSG00000138032,48.0,48,2,44395108,44471523,1,0.10962071082444601,N,1.0,Y
ENSG00000035141,48.0,48,2,70523107,70529222,-1,0.0014786167291425802,N,1.0,Y
ENSG00000197448,47.0,48,7,142941186,142967947,1,1.1037235073042299e-09,N,0.9791666666666666,Y
ENSG00000182771,46.0,47,10,87359312,88126250,-1,0.9507961259869052,Y,0.9787234042553192,N
ENSG00000069998,48.0,48,22,17618401,17646177,-1,2.1087854296890603e-08,N,1.0,Y
ENSG00000214022,46.0,48,7,150065278,150071133,1,0.961996440962356,Y,0.9583333333333334,N
ENSG00000132763,48.0,48,1,45965725,45976739,1,5.2563302746179293e-14,N,1.0,Y
ENSG00000104112,45.0,46,15,51973550,52013223,1,0.26752389316763897,N,0.9782608695652174,N
ENSG00000175489,48.0,48,19,18501954,18508427,-1,0.943472206020923,Y,1.0,Y
ENSG00000117450,48.0,48,1,45976708,45988719,-1,1.43818422373501e-07,N,1.0,N
ENSG00000157800,48.0,48,7,139993493,140104233,-1,7.1633846502858e-08,N,1.0,Y
ENSG00000174775,48.0,48,11,532242,537287,-1,0.00794104930284198,N,1.0,Y
ENSG00000205531,48.0,48,11,2965667,3013607,-1,0.9957310301154559,Y,1.0,N
ENSG00000124019,47.0,47,2,225243415,225266802,-1,0.00229940234451662,N,1.0,Y
ENSG00000197136,47.0,48,11,65383244,65404910,1,0.4882598019343321,N,0.9791666666666666,Y
ENSG00000177868,48.0,48,1,43272723,43282954,-1,0.21315488765054505,N,1.0,Y
ENSG00000143971,48.0,48,2,67624451,67637677,1,0.975314596420393,Y,1.0,Y
ENSG00000149451,48.0,48,20,3648612,3662893,-1,1.31263464951389e-11,N,1.0,Y
ENSG00000071246,48.0,48,14,77228532,77249354,1,0.730608113503456,N,1.0,N
ENSG00000019169,44.0,48,2,119699742,119752236,1,6.41628014969988e-08,N,0.9166666666666666,N
ENSG00000164308,48.0,48,5,96211643,96255420,1,3.1843737298120893e-22,N,1.0,Y
ENSG00000164010,48.0,48,1,43282795,43310660,1,5.805528413316801e-05,N,1.0,Y
ENSG00000175356,48.0,48,11,9041071,9159661,-1,1.4930424797098998e-13,N,1.0,N
ENSG00000108823,48.0,48,17,48241575,48253292,1,0.194446674101566,N,1.0,N
ENSG00000141750,46.0,47,17,37366789,37382125,-1,1.66040366548464e-05,N,0.9787234042553192,Y
ENSG00000155508,48.0,48,5,154237113,154256353,1,0.675125645478961,N,1.0,N
ENSG00000187778,48.0,48,12,49950327,49961936,-1,0.0665356264871206,N,1.0,N
ENSG00000203827,48.0,48,1,148739443,148758311,1,0.0907606604548231,N,1.0,Y
ENSG00000188612,47.0,48,17,73163408,73179078,-1,0.8505158838348741,N,0.9791666666666666,N
ENSG00000168004,44.0,45,11,63228876,63258666,-1,0.000123369757946174,N,0.9777777777777776,N
ENSG00000204228,48.0,48,6,33172419,33174608,1,0.7444979844213531,N,1.0,Y
ENSG00000103152,43.0,48,16,127006,135852,1,4.2369499590323705e-09,N,0.8958333333333334,N
ENSG00000161328,48.0,48,11,537527,554916,1,0.000110646268059748,N,1.0,Y
ENSG00000128872,48.0,48,15,52043758,52108565,1,0.13840769123106195,N,1.0,Y
ENSG00000213445,48.0,48,11,65405568,65418401,1,0.0279051429893718,N,1.0,Y
ENSG00000132141,48.0,48,17,33254878,33308097,-1,8.8551551033681e-05,N,1.0,Y
ENSG00000164880,48.0,48,7,1509913,1545489,-1,0.22412137484880998,N,1.0,Y
ENSG00000164011,43.0,48,1,43312280,43318148,1,0.417758649657401,N,0.8958333333333334,N
ENSG00000087995,48.0,48,17,60501228,60527454,1,1.7733777443887e-05,N,1.0,Y
ENSG00000204428,48.0,48,6,31644461,31651817,-1,0.614670423249105,N,1.0,Y
ENSG00000180481,47.0,47,12,75784850,75826468,1,0.00310862434597101,N,1.0,Y
ENSG00000185442,46.0,48,15,93160673,93353114,-1,0.00994225008853275,N,0.9583333333333334,N
ENSG00000149679,48.0,48,20,60963688,60982341,-1,0.000167846578276169,N,1.0,Y
ENSG00000119965,47.0,48,10,124690419,124713919,-1,0.0385850029121195,N,0.9791666666666666,N
ENSG00000171566,46.0,48,4,155456158,155471587,-1,0.9982247834271359,Y,0.9583333333333334,N
ENSG00000103148,48.0,48,16,134273,188859,-1,0.46816260108539903,N,1.0,Y
ENSG00000151458,44.0,48,4,125585207,125633887,-1,0.9181196087989559,Y,0.9166666666666666,N
ENSG00000065060,48.0,48,6,34759857,34850915,1,2.4654129736659605e-07,N,1.0,Y
ENSG00000062650,47.0,48,10,88195013,88281572,-1,0.999997764870197,Y,0.9791666666666666,Y
ENSG00000241839,47.0,48,15,65134088,65160206,1,0.0047538423246732,N,0.9791666666666666,Y
ENSG00000093072,48.0,48,22,17660194,17702879,-1,5.25343969690408e-05,N,1.0,Y
ENSG00000186862,48.0,48,10,102767440,102790890,-1,0.7227698077354391,N,1.0,N
ENSG00000204227,47.0,48,6,33176272,33180499,1,0.915792421657898,Y,0.9791666666666666,N
ENSG00000196456,48.0,48,7,150065879,150109558,1,0.0122292592081411,N,1.0,Y
