Ohno1	Ohno2	Symbol1	Symbol2	Og weighted global mean	Self weighted global mean	Outgroup Support	Duplication time	Gene type
ENSBTAG00000002414	ENSBTAG00000016170	KCNJ10	KCNJ11	0.00131249324577002	0.000455019441865798	2	Vertebrata	protein_coding
ENSBTAG00000002414	ENSBTAG00000020061	KCNJ10	ENSBTAG00000020061	0.00272916285828321	0.000222242689395686	2	Vertebrata	protein_coding
ENSBTAG00000019927	ENSBTAG00000016142	CYB5R1	CYB5R2	0.0080684080434498	8.42212146993445e-14	3	Vertebrata	protein_coding
ENSBTAG00000039991	ENSBTAG00000004574	ENSBTAG00000039991	UGT8	1.77194246891177e-08	8.22199724202289e-06	1	Vertebrata	protein_coding
ENSBTAG00000047877	ENSBTAG00000010103	TRIM67	TRIM9	2.28303379498556e-06	4.91996583105597e-19	3	Vertebrata	protein_coding
ENSBTAG00000001398	ENSBTAG00000014806	ATP2A2	ATP2A3	3.27324871054556e-26	2.02907357913458e-34	5	Vertebrata	protein_coding
ENSBTAG00000009749	ENSBTAG00000021893	USP2	USP21	0.000136141384809431	1.87059343874376e-06	4	Vertebrata	protein_coding
ENSBTAG00000005144	ENSBTAG00000006279	PNPLA2	PNPLA5	0.00621449488736877	8.89456163042958e-16	2	Vertebrata	protein_coding
ENSBTAG00000017574	ENSBTAG00000013624	LMNA	LMNB2	0.000358402186412581	4.27963140497979e-14	4	Vertebrata	protein_coding
ENSBTAG00000011156	ENSBTAG00000019529	ATP8A1	ATP8A2	7.39280974683574e-15	5.58779568778723e-18	5	Vertebrata	protein_coding
ENSBTAG00000005284	ENSBTAG00000014465	SERPINE3	SERPINE1	9.51314523296451e-07	2.42550770447965e-07	3	Vertebrata	protein_coding
ENSBTAG00000010549	ENSBTAG00000000480	IFRD1	IFRD2	2.37286576623214e-17	9.46157964705749e-32	5	Vertebrata	protein_coding
ENSBTAG00000012407	ENSBTAG00000013888	FOXA2	FOXA1	0.0051230035769543	3.37142419062116e-09	2	Vertebrata	protein_coding
ENSBTAG00000000944	ENSBTAG00000020040	LPCAT1	LPCAT4	0.0204010020819664	0.000513408122631242	2	Vertebrata	protein_coding
ENSBTAG00000009143	ENSBTAG00000023731	MC5R	MC1R	8.69654114145087e-06	2.29780076821552e-24	1	Vertebrata	protein_coding
ENSBTAG00000009512	ENSBTAG00000022147	EPS8L1	EPS8L2	0.00132253859306991	4.80784991937401e-06	3	Vertebrata	protein_coding
ENSBTAG00000006431	ENSBTAG00000015259	NEUROG3	NEUROG2	0.0222290817533739	9.91580082865831e-10	4	Vertebrata	protein_coding
ENSBTAG00000023734	ENSBTAG00000021601	PARD6A	PARD6B	2.45160104552483e-07	9.61966899954312e-23	3	Vertebrata	protein_coding
ENSBTAG00000010490	ENSBTAG00000013219	PEX5	PEX5L	2.59622390461261e-11	2.02374436203e-08	4	Vertebrata	protein_coding
ENSBTAG00000012413	ENSBTAG00000019241	ENSBTAG00000012413	FGF11	0.00222933650117799	2.54279828354405e-20	1	Vertebrata	protein_coding
ENSBTAG00000001552	ENSBTAG00000018581	EPC1	EPC2	2.86440270512112e-08	4.5418699166274e-28	4	Vertebrata	protein_coding
ENSBTAG00000005999	ENSBTAG00000021009	FSD1	TRIM55	0.0281841935596399	0.00132877073103698	1	Vertebrata	protein_coding
ENSBTAG00000020894	ENSBTAG00000012254	LAPTM4A	LAPTM4B	0.0134620730917909	2.67341788667471e-29	1	Vertebrata	protein_coding
ENSBTAG00000009328	ENSBTAG00000001491	NWD1	NWD2	0.00371312503776333	0.0123740190569629	2	Vertebrata	protein_coding
ENSBTAG00000043991	ENSBTAG00000005108	SLIT1	SLIT2	2.37717977330266e-09	2.24833690182404e-28	4	Vertebrata	protein_coding
ENSBTAG00000030999	ENSBTAG00000010763	DUSP8	DUSP16	8.35049671760868e-07	6.77741009552214e-27	3	Vertebrata	protein_coding
ENSBTAG00000025853	ENSBTAG00000000813	HOMER1	HOMER3	8.58116309701198e-13	7.55174554067152e-28	4	Vertebrata	protein_coding
ENSBTAG00000004955	ENSBTAG00000010334	SYTL5	SYTL3	0.019069846459787	2.94911930897123e-10	1	Vertebrata	protein_coding
ENSBTAG00000003867	ENSBTAG00000018742	ENSBTAG00000003867	MTCH2	5.53076984972669e-05	2.94604320080214e-15	3	Vertebrata	protein_coding
ENSBTAG00000000328	ENSBTAG00000047116	TPPP2	TPPP	0.00107224226392202	2.90213793865088e-05	2	Vertebrata	protein_coding
ENSBTAG00000029772	ENSBTAG00000029880	bta-let-7a-3	bta-let-7e	0.00084460619548801	1.6369752834406e-14	2	Vertebrata	miRNA
ENSBTAG00000012234	ENSBTAG00000011300	RHBG	RHAG	7.92934516280794e-06	0.0164187433617782	4	Vertebrata	protein_coding
ENSBTAG00000006811	ENSBTAG00000009438	EPHA3	EPHA5	2.77621533578538e-05	1.21915247662357e-06	2	Vertebrata	protein_coding
ENSBTAG00000020935	ENSBTAG00000018948	HIF1A	HIF3A	8.68862012807731e-07	1.50417421463863e-14	4	Vertebrata	protein_coding
ENSBTAG00000020793	ENSBTAG00000047191	KCNA4	ENSBTAG00000047191	0.000226306611458146	5.81026059598038e-14	5	Vertebrata	protein_coding
ENSBTAG00000012467	ENSBTAG00000012808	MASP1	MASP2	1.78131666595526e-07	1.03402826216067e-08	3	Vertebrata	protein_coding
ENSBTAG00000004018	ENSBTAG00000021905	DGKA	DGKB	0.000180649241992139	1.76399850918771e-13	3	Vertebrata	protein_coding
ENSBTAG00000010981	ENSBTAG00000016179	CIB2	CIB3	4.98324539601122e-08	6.01514016862644e-22	3	Vertebrata	protein_coding
ENSBTAG00000007022	ENSBTAG00000004512	ENSBTAG00000007022	MKRN2	1.05905222141971e-09	1.67140663798415e-29	4	Vertebrata	protein_coding
ENSBTAG00000015450	ENSBTAG00000009995	CPEB3	CPEB4	1.28584379125143e-11	9.08636438810013e-26	4	Vertebrata	protein_coding
ENSBTAG00000032453	ENSBTAG00000024178	ENSBTAG00000032453	ENSBTAG00000024178	0.004903875713445	0.00255080947018039	4	Vertebrata	protein_coding
ENSBTAG00000039171	ENSBTAG00000046315	ADAM7	ENSBTAG00000046315	0.0374772977073156	0.169916791388686	4	Vertebrata	protein_coding
ENSBTAG00000016578	ENSBTAG00000002356	HNRNPR	RBM47	0.00229908346131478	0.00978559454319088	2	Vertebrata	protein_coding
ENSBTAG00000011333	ENSBTAG00000019781	CLASP2	CLASP1	3.51069508801724e-08	2.43140002162522e-27	4	Vertebrata	protein_coding
ENSBTAG00000011784	ENSBTAG00000001523	FGR	YES1	0.0173116515883749	0.0668602966608333	4	Vertebrata	protein_coding
ENSBTAG00000015917	ENSBTAG00000018554	GAPDHS	ENSBTAG00000018554	0.00272667361475135	4.28428759736378e-07	2	Vertebrata	protein_coding
ENSBTAG00000005031	ENSBTAG00000004247	DOC2A	RPH3A	0.000647222493843788	7.01028403545734e-10	2	Vertebrata	protein_coding
ENSBTAG00000020928	ENSBTAG00000009391	ADPRHL1	ADPRH	0.00620319152949055	0.000292235703975921	2	Vertebrata	protein_coding
ENSBTAG00000031749	ENSBTAG00000005295	SLC35E2B	SLC35E1	0.000335943204549637	0.0719182303837859	3	Vertebrata	protein_coding
ENSBTAG00000014237	ENSBTAG00000007384	CYTH4	CYTH3	6.43657543794288e-07	1.40380244569256e-26	3	Vertebrata	protein_coding
ENSBTAG00000010063	ENSBTAG00000013580	KDM3B	KDM3A	0.000900312710047903	2.20019916245529e-19	3	Vertebrata	protein_coding
ENSBTAG00000018522	ENSBTAG00000015806	OAZ1	OAZ2	0.013831941672257	3.06201916781668e-26	1	Vertebrata	protein_coding
ENSBTAG00000019340	ENSBTAG00000001911	PCDH9	ENSBTAG00000001911	3.24007504454922e-08	2.19422730508395e-32	3	Vertebrata	protein_coding
ENSBTAG00000012648	ENSBTAG00000012657	ZSWIM5	ZSWIM8	0.000213373590466668	0.0016343230082718	2	Vertebrata	protein_coding
ENSBTAG00000034514	ENSBTAG00000001359	ENSBTAG00000034514	B3GNT7	0.00461362326207363	0.0695674399192589	2	Vertebrata	protein_coding
ENSBTAG00000014357	ENSBTAG00000015127	SDC2	SDC4	4.84867346273603e-08	2.62780150752234e-35	4	Vertebrata	protein_coding
ENSBTAG00000021959	ENSBTAG00000009819	CDC20B	CDC20	1.67320380297073e-08	9.97705495732431e-14	4	Vertebrata	protein_coding
ENSBTAG00000016139	ENSBTAG00000009602	TMEM120A	TMEM120B	6.25384081879752e-14	1.41986176768164e-28	5	Vertebrata	protein_coding
ENSBTAG00000012210	ENSBTAG00000006864	C5	ENSBTAG00000006864	0.00816236762575064	1.38561409786956e-05	3	Vertebrata	protein_coding
ENSBTAG00000006646	ENSBTAG00000009447	ENSBTAG00000006646	PRMT8	0.000333406251526616	1.50139997132673e-08	3	Vertebrata	protein_coding
ENSBTAG00000010644	ENSBTAG00000008778	CHST11	CHST13	2.25884050556291e-07	1.767784058951e-27	2	Vertebrata	protein_coding
ENSBTAG00000048272	ENSBTAG00000020764	ENSBTAG00000048272	CNN2	1.12059738754847e-07	2.37461717589049e-06	4	Vertebrata	protein_coding
ENSBTAG00000008294	ENSBTAG00000000008	KCNJ2	KCNJ1	6.66099656005804e-06	4.70004278384506e-05	2	Vertebrata	protein_coding
ENSBTAG00000017733	ENSBTAG00000020418	CA2	CA5B	5.55036594645728e-06	5.4703996098539e-19	1	Vertebrata	protein_coding
ENSBTAG00000010153	ENSBTAG00000021746	ANXA3	ANXA5	0.0179520104755694	1.11697497558092e-05	2	Vertebrata	protein_coding
ENSBTAG00000016709	ENSBTAG00000011456	NT5C3A	NT5C3B	3.35887259362054e-05	2.03361895099836e-19	4	Vertebrata	protein_coding
ENSBTAG00000016072	ENSBTAG00000019838	SHC2	SHC1	0.00218498036286977	1.8362503139363e-14	3	Vertebrata	protein_coding
ENSBTAG00000016208	ENSBTAG00000001785	TGM2	TGM3	0.0138628907852509	7.63757913980047e-09	1	Vertebrata	protein_coding
ENSBTAG00000012166	ENSBTAG00000019067	TMC3	TMC8	0.00429176370600045	0.00863598655844978	2	Vertebrata	protein_coding
ENSBTAG00000009230	ENSBTAG00000004014	FBLN7	FBLN2	1.40348534516581e-06	0.00480443874310353	1	Vertebrata	protein_coding
ENSBTAG00000020934	ENSBTAG00000014922	SHF	ENSBTAG00000014922	0.011581842993294	5.91329520929473e-12	3	Vertebrata	protein_coding
ENSBTAG00000005795	ENSBTAG00000016609	DHX32	DQX1	1.39350975226038e-05	1.98702105030696e-09	2	Vertebrata	protein_coding
ENSBTAG00000020157	ENSBTAG00000001154	ENSBTAG00000020157	DGAT2	0.000340418181454407	0.00822665032185452	2	Vertebrata	protein_coding
ENSBTAG00000007144	ENSBTAG00000005353	ENSBTAG00000007144	DES	0.00185869456886594	2.61875069042119e-07	2	Vertebrata	protein_coding
ENSBTAG00000017105	ENSBTAG00000047595	FSTL4	ENSBTAG00000047595	0.000849259244239627	1.40114101710392e-19	2	Vertebrata	protein_coding
ENSBTAG00000010871	ENSBTAG00000004912	ENSBTAG00000010871	ANKRD17	0.00630589016581225	3.52589592603323e-18	3	Vertebrata	protein_coding
ENSBTAG00000000536	ENSBTAG00000021743	ZNF395	ZNF704	0.0178606574276448	5.45220662324042e-12	2	Vertebrata	protein_coding
ENSBTAG00000002157	ENSBTAG00000047868	LMOD2	TMOD3	0.00307061986268627	8.00915215486873e-09	2	Vertebrata	protein_coding
ENSBTAG00000012652	ENSBTAG00000013235	TINAG	TINAGL1	2.36839131639817e-05	4.82946185279862e-15	3	Vertebrata	protein_coding
ENSBTAG00000039149	ENSBTAG00000003568	CLDN25	CLDN10	0.0019792194698078	0.00270358258409196	2	Vertebrata	protein_coding
ENSBTAG00000046358	ENSBTAG00000017125	ENSBTAG00000046358	PABPC4	2.50216112159536e-11	2.37915212603469e-16	4	Vertebrata	protein_coding
ENSBTAG00000007622	ENSBTAG00000021333	ENSBTAG00000007622	REN	0.000322449874769106	1.03755924851243e-16	4	Vertebrata	protein_coding
ENSBTAG00000003097	ENSBTAG00000018711	DENND4C	DENND4B	0.000126863896757852	4.31997200263031e-06	1	Vertebrata	protein_coding
ENSBTAG00000011403	ENSBTAG00000047970	RUSC2	ENSBTAG00000047970	0.0250441513956734	1.19516317811427e-06	4	Vertebrata	protein_coding
ENSBTAG00000002699	ENSBTAG00000002804	KIT	PDGFRB	2.85468432285383e-11	1.80440561103759e-33	2	Vertebrata	protein_coding
ENSBTAG00000010948	ENSBTAG00000001753	CLIC2	ENSBTAG00000001753	2.18544258953635e-05	8.91227662996969e-23	5	Vertebrata	protein_coding
ENSBTAG00000046321	ENSBTAG00000009797	BZRAP1	RIMBP2	1.81732319437498e-08	2.82016354791682e-29	3	Vertebrata	protein_coding
ENSBTAG00000017945	ENSBTAG00000021836	ENSBTAG00000017945	TCEA2	0.00125301878690084	0.193904775722259	4	Vertebrata	protein_coding
ENSBTAG00000002381	ENSBTAG00000006657	ZDHHC5	ZDHHC8	0.000147108965508813	2.95032201880716e-13	3	Vertebrata	protein_coding
ENSBTAG00000010241	ENSBTAG00000002084	UNC5D	UNC5C	7.1177825457884e-05	2.33303990503755e-07	3	Vertebrata	protein_coding
ENSBTAG00000014251	ENSBTAG00000006877	MMP20	MMP16	0.0247200327485403	0.000249397811387611	3	Vertebrata	protein_coding
ENSBTAG00000011088	ENSBTAG00000038415	SLC6A6	SLC6A12	0.000148881944506627	1.12967008887866e-25	2	Vertebrata	protein_coding
ENSBTAG00000017348	ENSBTAG00000044043	FGF5	FGF20	0.0161148967121774	6.26347802950116e-05	1	Vertebrata	protein_coding
ENSBTAG00000039171	ENSBTAG00000012444	ADAM7	ADAM12	4.31334592364716e-09	3.02290229679396e-32	4	Vertebrata	protein_coding
ENSBTAG00000037661	ENSBTAG00000031809	ENSBTAG00000037661	DENND1C	0.00257505586903051	1.34430120761122e-14	2	Vertebrata	protein_coding
ENSBTAG00000021023	ENSBTAG00000007167	ZMYM4	ZMYM5	0.0344982757897186	3.6993455188397e-07	1	Vertebrata	protein_coding
ENSBTAG00000046129	ENSBTAG00000017277	RAB34	RAB36	1.65718475838031e-05	1.29805093213805e-26	5	Vertebrata	protein_coding
ENSBTAG00000017362	ENSBTAG00000004353	CNOT6	CNOT6L	0.00962194982599693	1.15415118320439e-16	2	Vertebrata	protein_coding
ENSBTAG00000016714	ENSBTAG00000008497	RGS12	RGS14	0.0213214138985418	1.1150605709262e-21	1	Vertebrata	protein_coding
ENSBTAG00000008800	ENSBTAG00000016348	XKR8	XKR7	0.0123971345263329	1.79890660632023e-17	2	Vertebrata	protein_coding
ENSBTAG00000010860	ENSBTAG00000002132	DRD2	DRD3	0.00849867852714369	4.9635193382311e-23	2	Vertebrata	protein_coding
ENSBTAG00000003078	ENSBTAG00000001367	COL10A1	C1QTNF2	0.0104675482407666	1.8787205272144e-05	1	Vertebrata	protein_coding
ENSBTAG00000047808	ENSBTAG00000046149	ENSBTAG00000047808	ENSBTAG00000046149	0.000404695915248715	0.00908632802237631	2	Vertebrata	protein_coding
ENSBTAG00000005051	ENSBTAG00000004607	GSG1L2	GSG1L	0.00138449992675536	9.17827912804089e-27	1	Vertebrata	protein_coding
ENSBTAG00000040337	ENSBTAG00000004574	ENSBTAG00000040337	UGT8	2.31043704067542e-08	8.22199724202289e-06	1	Vertebrata	protein_coding
ENSBTAG00000040477	ENSBTAG00000014377	CHD5	CHD3	4.67841481846603e-05	4.82242180055794e-13	3	Vertebrata	protein_coding
ENSBTAG00000002019	ENSBTAG00000011975	SERPINB5	SERPINB1	0.00253361131114564	0.0489889531840913	3	Vertebrata	protein_coding
ENSBTAG00000024245	ENSBTAG00000018545	ENSBTAG00000024245	KLK15	0.00564454680296007	4.36030196023066e-06	2	Vertebrata	protein_coding
ENSBTAG00000046037	ENSBTAG00000013208	SLC25A5	SLC25A4	0.000466196785682934	5.50745354900713e-19	2	Vertebrata	protein_coding
ENSBTAG00000012047	ENSBTAG00000003147	JAK2	JAK1	2.53218118822246e-05	4.83334741469312e-25	2	Vertebrata	protein_coding
ENSBTAG00000003202	ENSBTAG00000008910	OPRD1	SSTR3	0.00500927483582272	3.97236392257235e-06	2	Vertebrata	protein_coding
ENSBTAG00000030507	ENSBTAG00000005779	ENSBTAG00000030507	FTMT	0.00694769048323117	0.0844797830199209	3	Vertebrata	protein_coding
ENSBTAG00000039151	ENSBTAG00000040329	HTR1F	HTR1D	0.00566567843141861	7.19865592350124e-06	1	Vertebrata	protein_coding
ENSBTAG00000006739	ENSBTAG00000021949	ENSBTAG00000006739	NEFL	0.0120515200754146	0.0102666665738147	2	Vertebrata	protein_coding
ENSBTAG00000014885	ENSBTAG00000019585	MYOM3	MYOM1	0.00400661966165849	2.66774583148857e-05	2	Vertebrata	protein_coding
ENSBTAG00000017629	ENSBTAG00000017689	ENSBTAG00000017629	BRMS1	1.10809265090529e-05	7.30535537915787e-06	2	Vertebrata	protein_coding
ENSBTAG00000012120	ENSBTAG00000016656	TIPARP	PARP14	0.0279035250871114	2.9881509371508e-05	1	Vertebrata	protein_coding
ENSBTAG00000013262	ENSBTAG00000003392	GABRA6	GABRA5	1.64325164111975e-11	1.25562913043185e-11	5	Vertebrata	protein_coding
ENSBTAG00000032567	ENSBTAG00000011759	C1QL4	C1QL1	0.000359383365497538	2.61090687702365e-20	2	Vertebrata	protein_coding
ENSBTAG00000015576	ENSBTAG00000004462	NPAS1	NPAS3	2.34379413552987e-05	1.89390462836374e-18	2	Vertebrata	protein_coding
ENSBTAG00000003037	ENSBTAG00000008464	ENSBTAG00000003037	ABCB9	0.00775040712840713	0.00037296684611502	3	Vertebrata	protein_coding
ENSBTAG00000004114	ENSBTAG00000021183	MAP3K11	ENSBTAG00000021183	0.00951477616613845	4.56611271431955e-13	3	Vertebrata	protein_coding
ENSBTAG00000000244	ENSBTAG00000025324	NRXN2	NRXN3	0.00989957362978681	4.69575954182403e-06	3	Vertebrata	protein_coding
ENSBTAG00000018045	ENSBTAG00000016236	SLC12A4	SLC12A6	0.000114802183330146	6.21630732813671e-08	4	Vertebrata	protein_coding
ENSBTAG00000006982	ENSBTAG00000046385	RAB5C	RAB5A	0.000701211622019784	9.216284053586e-31	1	Vertebrata	protein_coding
ENSBTAG00000015059	ENSBTAG00000016424	MMP13	MMP25	0.0107955670058446	5.40202972823616e-05	2	Vertebrata	protein_coding
ENSBTAG00000026481	ENSBTAG00000021837	RGS8	RGS19	0.000697823638495453	4.17539655105679e-08	2	Vertebrata	protein_coding
ENSBTAG00000014972	ENSBTAG00000002163	PTGER4	PTGER2	0.004536803703637	0.00705202098990877	1	Vertebrata	protein_coding
ENSBTAG00000005483	ENSBTAG00000009543	ESYT2	ESYT1	1.13330415319602e-06	2.02518375044562e-10	3	Vertebrata	protein_coding
ENSBTAG00000017461	ENSBTAG00000001110	SLC16A3	SLC16A5	0.000117932670177142	2.245811670065e-12	2	Vertebrata	protein_coding
ENSBTAG00000047495	ENSBTAG00000015961	CD81	TSPAN2	0.00699926813433114	3.16918706477831e-28	2	Vertebrata	protein_coding
ENSBTAG00000008272	ENSBTAG00000037757	EBF3	EBF4	0.00119119221641859	9.34789161290153e-09	3	Vertebrata	protein_coding
ENSBTAG00000019242	ENSBTAG00000011390	CHRNB1	CHRND	5.09383365781303e-07	5.35531492808347e-14	3	Vertebrata	protein_coding
ENSBTAG00000009851	ENSBTAG00000004356	ROBO1	ROBO4	0.000615876633918724	2.45093985303217e-28	2	Vertebrata	protein_coding
ENSBTAG00000018585	ENSBTAG00000013002	GABRB2	GABRQ	0.00219169855169309	0.0484070927972224	4	Vertebrata	protein_coding
ENSBTAG00000013885	ENSBTAG00000017616	ADSS	ADSSL1	2.32531947089502e-22	1.60991083715472e-38	4	Vertebrata	protein_coding
ENSBTAG00000007932	ENSBTAG00000001523	HCK	YES1	0.000726938551649309	4.50423937826396e-23	2	Vertebrata	protein_coding
ENSBTAG00000003128	ENSBTAG00000011048	SPATA6	SPATA6L	0.00178647789224576	1.32873392261035e-08	1	Vertebrata	protein_coding
ENSBTAG00000012909	ENSBTAG00000039718	CRABP1	FABP9	5.3831304907726e-05	0.00750537377607825	2	Vertebrata	protein_coding
ENSBTAG00000010977	ENSBTAG00000015366	FRZB	SFRP4	2.76591983809169e-05	8.02425709962935e-24	2	Vertebrata	protein_coding
ENSBTAG00000047254	ENSBTAG00000020661	ABCA2	ABCA1	0.0302429224782666	4.01435426310851e-05	2	Vertebrata	protein_coding
ENSBTAG00000016168	ENSBTAG00000001151	APLP2	APLP1	3.07751746071664e-07	1.46354397863022e-14	3	Vertebrata	protein_coding
ENSBTAG00000007109	ENSBTAG00000002151	ASB2	ASB15	0.017033023678152	0.0168106706585306	2	Vertebrata	protein_coding
ENSBTAG00000015939	ENSBTAG00000013769	PVRL1	PVRL3	1.23231829300098e-05	2.82118801301059e-37	2	Vertebrata	protein_coding
ENSBTAG00000008431	ENSBTAG00000047111	MOGAT1	ENSBTAG00000047111	4.23541492073602e-08	7.20606975686032e-12	5	Vertebrata	protein_coding
ENSBTAG00000010069	ENSBTAG00000046409	EGR1	EGR2	2.8125745602847e-07	1.88319496298595e-19	3	Vertebrata	protein_coding
ENSBTAG00000037929	ENSBTAG00000046315	ADAM28	ENSBTAG00000046315	0.0374969572791969	0.167768244228571	4	Vertebrata	protein_coding
ENSBTAG00000000742	ENSBTAG00000018945	AMOTL2	AMOTL1	0.000217455348969136	2.7654030324549e-10	2	Vertebrata	protein_coding
ENSBTAG00000046755	ENSBTAG00000004355	ENSBTAG00000046755	ROBO3	0.00119390927053417	1.04175455135223e-14	2	Vertebrata	protein_coding
ENSBTAG00000025009	ENSBTAG00000000923	HOXB9	HOXC13	0.0478648208003047	2.05770689295962e-29	1	Vertebrata	protein_coding
ENSBTAG00000005741	ENSBTAG00000017409	DLX2	DLX3	1.84968216757832e-06	2.13711150958958e-30	2	Vertebrata	protein_coding
ENSBTAG00000018478	ENSBTAG00000020550	RPL7L1	ENSBTAG00000020550	2.0214330065663e-08	3.83337200963612e-08	3	Vertebrata	protein_coding
ENSBTAG00000011541	ENSBTAG00000016243	RBL1	RBL2	3.13523908503644e-14	1.54833406234302e-24	5	Vertebrata	protein_coding
ENSBTAG00000019719	ENSBTAG00000008910	OPRM1	SSTR3	0.000502598487962094	0.0571194965186795	2	Vertebrata	protein_coding
ENSBTAG00000018295	ENSBTAG00000003708	SEC23B	SEC23A	1.92159433163912e-32	1.07692282953192e-35	5	Vertebrata	protein_coding
ENSBTAG00000046293	ENSBTAG00000012444	ENSBTAG00000046293	ADAM12	0.0171839980140624	0.0373481963860994	4	Vertebrata	protein_coding
ENSBTAG00000002145	ENSBTAG00000012919	MMP17	MMP15	0.00111134825353281	8.1734316220953e-05	3	Vertebrata	protein_coding
ENSBTAG00000031165	ENSBTAG00000033076	TRPM7	TRPM6	9.60037242360448e-07	2.22530514648587e-23	4	Vertebrata	protein_coding
ENSBTAG00000004190	ENSBTAG00000020772	ARHGAP29	HMHA1	0.000262135474488849	7.34983197516068e-14	1	Vertebrata	protein_coding
ENSBTAG00000014088	ENSBTAG00000004564	MBNL3	MBNL1	0.000245933530386015	2.30830501993174e-19	3	Vertebrata	protein_coding
ENSBTAG00000005284	ENSBTAG00000008717	SERPINE3	SERPINE2	1.01356115640485e-07	4.36406495280746e-19	4	Vertebrata	protein_coding
ENSBTAG00000002817	ENSBTAG00000013670	SLC46A1	SLC46A2	0.000284118315511773	0.0056007724604781	2	Vertebrata	protein_coding
ENSBTAG00000019537	ENSBTAG00000044082	MARCH8	MARCH1	6.85506099695594e-07	2.86806501837649e-25	3	Vertebrata	protein_coding
ENSBTAG00000005090	ENSBTAG00000007431	TMEM2	CEMIP	0.00378112635240394	7.77171438315718e-27	2	Vertebrata	protein_coding
ENSBTAG00000019340	ENSBTAG00000000061	PCDH9	PCDH7	4.4294695420149e-09	1.19622128837153e-12	3	Vertebrata	protein_coding
ENSBTAG00000040439	ENSBTAG00000037429	HTR1A	HTR1B	0.00054376944282551	0.00145042357824913	2	Vertebrata	protein_coding
ENSBTAG00000002576	ENSBTAG00000021483	GLDN	OLFML1	0.0122538863138028	0.000884117498756579	1	Vertebrata	protein_coding
ENSBTAG00000038844	ENSBTAG00000014774	ANKRD35	ANKRD24	0.000173072781797528	1.27436281214004e-11	2	Vertebrata	protein_coding
ENSBTAG00000020102	ENSBTAG00000010030	EPHA8	EPHA4	4.30715666690661e-13	8.14835344216273e-17	2	Vertebrata	protein_coding
ENSBTAG00000005337	ENSBTAG00000010635	RAB3B	RAB3A	1.18095485251272e-07	8.98699706659322e-15	3	Vertebrata	protein_coding
ENSBTAG00000020750	ENSBTAG00000012449	AFF2	AFF3	2.1667445784333e-08	3.04091553027565e-29	3	Vertebrata	protein_coding
