	expressedTissues	Ensembl Gene ID	affectedTissues	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	type	propOfExpressedAffectedByeQTL
20	23	ENSBTAG00000040295	2.0	25	27760604	27766328	-1	ohno	0.08695652173913043
21	23	ENSBTAG00000013025	1.0	3	16250174	16252803	-1	singleton	0.043478260869565216
22	23	ENSBTAG00000032223	2.0	25	21049528	21139768	-1	singleton	0.08695652173913043
23	23	ENSBTAG00000005166	1.0	3	16739580	16750665	-1	SSD	0.043478260869565216
24	23	ENSBTAG00000012371	0.0	19	21464506	21533374	1	SSD	0.0
25	23	ENSBTAG00000030198	4.0	7	109465394	109728291	-1	singleton	0.17391304347826086
26	23	ENSBTAG00000015481	2.0	11	37973502	37996104	-1	SSD	0.08695652173913043
27	23	ENSBTAG00000012148	1.0	11	106578900	106687654	1	ohno	0.043478260869565216
28	23	ENSBTAG00000001123	0.0	23	47800492	47816538	-1	SSD	0.0
29	23	ENSBTAG00000005766	4.0	18	56235067	56239827	-1	SSD	0.17391304347826086
30	23	ENSBTAG00000000355	6.0	19	51154298	51156611	1	singleton	0.2608695652173913
31	23	ENSBTAG00000003193	1.0	10	36167613	36174903	1	SSD	0.043478260869565216
32	23	ENSBTAG00000018829	2.0	12	19398518	19429238	-1	singleton	0.08695652173913043
33	23	ENSBTAG00000053396	14.0	8	76062370	76063803	1	SSD	0.6086956521739131
34	23	ENSBTAG00000004295	1.0	11	93028887	93046862	-1	singleton	0.043478260869565216
35	23	ENSBTAG00000015049	1.0	7	15862527	15874429	-1	singleton	0.043478260869565216
36	23	ENSBTAG00000000175	5.0	6	59106229	59159354	1	ohno	0.21739130434782608
37	23	ENSBTAG00000006670	1.0	13	64776869	64791647	1	SSD	0.043478260869565216
38	23	ENSBTAG00000012480	2.0	11	99276468	99292311	1	SSD	0.08695652173913043
39	23	ENSBTAG00000000345	1.0	25	35463189	35468712	1	ohno	0.043478260869565216
40	23	ENSBTAG00000003483	0.0	8	69421125	69423840	-1	SSD	0.0
41	23	ENSBTAG00000009542	3.0	5	57197914	57205232	-1	SSD	0.13043478260869565
42	23	ENSBTAG00000022520	3.0	19	43069372	43139018	-1	singleton	0.13043478260869565
43	23	ENSBTAG00000011623	1.0	19	10674179	10802801	1	SSD	0.043478260869565216
44	23	ENSBTAG00000026248	2.0	25	35885025	35886758	-1	singleton	0.08695652173913043
45	23	ENSBTAG00000002327	0.0	18	34855548	34857710	1	singleton	0.0
46	23	ENSBTAG00000016235	1.0	8	111002463	111011706	1	singleton	0.043478260869565216
47	23	ENSBTAG00000010888	1.0	28	27894350	27920827	-1	SSD	0.043478260869565216
48	23	ENSBTAG00000005191	4.0	22	59282274	59296089	1	SSD	0.17391304347826086
49	23	ENSBTAG00000001644	1.0	9	60410450	60550024	1	SSD	0.043478260869565216
50	23	ENSBTAG00000008227	0.0	15	53838026	53839967	-1	singleton	0.0
51	23	ENSBTAG00000020490	1.0	11	103518410	103598058	-1	SSD	0.043478260869565216
52	23	ENSBTAG00000005658	5.0	1	82894597	82909029	-1	ohno	0.21739130434782608
53	23	ENSBTAG00000005316	0.0	13	42926081	42955333	1	ohno	0.0
54	23	ENSBTAG00000010437	0.0	4	95025992	95232557	1	singleton	0.0
55	23	ENSBTAG00000038116	2.0	11	49661817	49664860	-1	singleton	0.08695652173913043
56	23	ENSBTAG00000010012	3.0	20	8116743	8123751	-1	ohno	0.13043478260869565
57	23	ENSBTAG00000001987	2.0	15	42918200	43062549	-1	SSD	0.08695652173913043
58	23	ENSBTAG00000004318	2.0	26	23292989	23317114	-1	SSD	0.08695652173913043
59	23	ENSBTAG00000014459	4.0	1	83304567	83311791	1	SSD	0.17391304347826086
60	23	ENSBTAG00000016529	1.0	12	15541390	15565519	1	ohno	0.043478260869565216
61	23	ENSBTAG00000054520	2.0	1	66796530	66819338	-1	singleton	0.08695652173913043
62	23	ENSBTAG00000000682	0.0	7	22826247	23051768	1	ohno	0.0
63	23	ENSBTAG00000013282	5.0	2	135674410	135688455	-1	ohno	0.21739130434782608
64	23	ENSBTAG00000019204	2.0	29	42051122	42117332	1	ohno	0.08695652173913043
65	23	ENSBTAG00000014434	2.0	23	27992754	28004146	1	SSD	0.08695652173913043
66	23	ENSBTAG00000004995	1.0	4	15276632	15320627	1	SSD	0.043478260869565216
67	23	ENSBTAG00000020900	10.0	29	29550484	29561927	-1	SSD	0.43478260869565216
68	23	ENSBTAG00000000721	0.0	18	43488169	43545013	1	singleton	0.0
69	23	ENSBTAG00000008191	2.0	23	7386228	7391458	1	SSD	0.08695652173913043
70	23	ENSBTAG00000054599	1.0	15	22519491	22520924	-1	SSD	0.043478260869565216
71	23	ENSBTAG00000017009	0.0	18	7686031	7700190	-1	singleton	0.0
72	23	ENSBTAG00000002507	1.0	24	45842148	45851502	-1	SSD	0.043478260869565216
73	23	ENSBTAG00000016730	2.0	3	20409567	20423408	1	ohno	0.08695652173913043
74	23	ENSBTAG00000012833	2.0	21	61171215	61248583	-1	ohno	0.08695652173913043
75	23	ENSBTAG00000003450	1.0	14	21853750	21901839	-1	SSD	0.043478260869565216
76	23	ENSBTAG00000011313	2.0	9	60369226	60403669	-1	singleton	0.08695652173913043
77	23	ENSBTAG00000006353	0.0	18	39027225	39035340	1	ohno	0.0
78	23	ENSBTAG00000015546	0.0	1	42194819	42230806	-1	SSD	0.0
79	23	ENSBTAG00000010232	1.0	3	106970587	106976098	-1	singleton	0.043478260869565216
80	23	ENSBTAG00000004416	0.0	2	126273255	126286771	-1	SSD	0.0
81	23	ENSBTAG00000005668	1.0	6	22459117	22542658	1	ohno	0.043478260869565216
82	23	ENSBTAG00000015232	2.0	19	40458896	40472295	1	ohno	0.08695652173913043
83	23	ENSBTAG00000001881	3.0	10	81503834	81526924	-1	ohno	0.13043478260869565
84	23	ENSBTAG00000019156	0.0	5	43869187	43884991	-1	SSD	0.0
85	23	ENSBTAG00000048876	1.0	2	91060088	91131852	1	SSD	0.043478260869565216
86	23	ENSBTAG00000016243	1.0	18	21801909	21848069	1	ohno	0.043478260869565216
87	23	ENSBTAG00000038745	6.0	19	51669524	51676812	-1	singleton	0.2608695652173913
88	23	ENSBTAG00000038990	3.0	19	20162947	20171072	1	SSD	0.13043478260869565
89	23	ENSBTAG00000021781	2.0	2	127238786	127253787	-1	SSD	0.08695652173913043
90	23	ENSBTAG00000000362	4.0	10	102974981	103055496	-1	singleton	0.17391304347826086
91	23	ENSBTAG00000010727	1.0	7	15053007	15061657	1	ohno	0.043478260869565216
92	23	ENSBTAG00000036111	1.0	28	21753098	21755283	-1	SSD	0.043478260869565216
93	23	ENSBTAG00000004907	3.0	19	26489830	26537129	-1	ohno	0.13043478260869565
94	23	ENSBTAG00000031435	4.0	1	117507281	117537602	-1	singleton	0.17391304347826086
95	23	ENSBTAG00000024487	1.0	3	16403439	16403984	-1	SSD	0.043478260869565216
96	23	ENSBTAG00000021845	0.0	21	41543030	41650684	-1	ohno	0.0
97	23	ENSBTAG00000050597	0.0	19	39694777	39697396	-1	singleton	0.0
98	23	ENSBTAG00000005652	1.0	1	82927910	82933513	1	singleton	0.043478260869565216
99	23	ENSBTAG00000020015	3.0	16	49213732	49228876	-1	singleton	0.13043478260869565
100	23	ENSBTAG00000005483	0.0	4	119432686	119508052	-1	ohno	0.0
101	23	ENSBTAG00000011859	2.0	8	84187019	84246783	-1	singleton	0.08695652173913043
102	23	ENSBTAG00000050722	5.0	11	105936406	105939162	1	singleton	0.21739130434782608
103	23	ENSBTAG00000012678	0.0	7	5543272	5566733	-1	ohno	0.0
104	23	ENSBTAG00000016294	1.0	13	34231654	34439280	1	SSD	0.043478260869565216
105	23	ENSBTAG00000055302	9.0	19	48234945	48261678	-1	SSD	0.391304347826087
106	23	ENSBTAG00000006916	2.0	19	14543295	14573019	-1	ohno	0.08695652173913043
107	23	ENSBTAG00000004286	3.0	17	72716770	72732379	1	singleton	0.13043478260869565
108	23	ENSBTAG00000000939	1.0	13	10069353	10418278	-1	SSD	0.043478260869565216
109	23	ENSBTAG00000012565	6.0	10	82525805	82704991	1	ohno	0.2608695652173913
110	23	ENSBTAG00000012708	2.0	1	99660456	99743550	-1	ohno	0.08695652173913043
111	23	ENSBTAG00000019517	2.0	25	33277644	33310763	-1	singleton	0.08695652173913043
112	23	ENSBTAG00000051586	0.0	1	82920059	82927198	-1	SSD	0.0
113	23	ENSBTAG00000031347	0.0	11	70928399	70967857	-1	SSD	0.0
114	23	ENSBTAG00000047879	0.0	3	32745301	32747031	1	ohno	0.0
115	23	ENSBTAG00000017418	2.0	1	143729215	143755086	1	SSD	0.08695652173913043
116	23	ENSBTAG00000030281	6.0	11	104132816	104133394	-1	SSD	0.2608695652173913
117	23	ENSBTAG00000031793	5.0	8	75723738	75735254	1	singleton	0.21739130434782608
118	23	ENSBTAG00000018069	0.0	8	103968196	103988784	-1	SSD	0.0
119	23	ENSBTAG00000001387	1.0	21	22303092	22319532	-1	SSD	0.043478260869565216
120	23	ENSBTAG00000000275	4.0	5	106112459	106146167	1	SSD	0.17391304347826086
121	23	ENSBTAG00000002313	2.0	5	82983642	83572811	1	SSD	0.08695652173913043
122	23	ENSBTAG00000010334	1.0	9	95072282	95155471	1	ohno	0.043478260869565216
123	23	ENSBTAG00000008541	6.0	5	93497064	93521047	-1	ohno	0.2608695652173913
124	23	ENSBTAG00000000260	1.0	4	65961977	66053326	-1	ohno	0.043478260869565216
125	23	ENSBTAG00000008617	0.0	15	63722373	63789775	-1	singleton	0.0
126	23	ENSBTAG00000021156	6.0	14	16631171	16698112	-1	SSD	0.2608695652173913
127	23	ENSBTAG00000013569	3.0	6	110986237	111044215	1	SSD	0.13043478260869565
128	23	ENSBTAG00000006995	0.0	11	37177107	37389119	1	ohno	0.0
129	23	ENSBTAG00000019341	1.0	19	21237162	21283030	1	SSD	0.043478260869565216
130	23	ENSBTAG00000031363	3.0	7	20734843	20743350	1	ohno	0.13043478260869565
131	23	ENSBTAG00000000458	0.0	18	34440414	34478171	-1	ohno	0.0
132	23	ENSBTAG00000018768	4.0	1	139406045	139412414	-1	SSD	0.17391304347826086
133	23	ENSBTAG00000018436	0.0	9	60811836	60836538	1	SSD	0.0
134	23	ENSBTAG00000012504	0.0	17	68582675	68588419	1	ohno	0.0
135	23	ENSBTAG00000002368	3.0	18	55478717	55486893	-1	SSD	0.13043478260869565
136	23	ENSBTAG00000003687	1.0	19	50030249	50079424	-1	ohno	0.043478260869565216
137	23	ENSBTAG00000020403	0.0	12	36133288	36195719	-1	ohno	0.0
138	23	ENSBTAG00000039819	5.0	19	22301377	22440866	1	SSD	0.21739130434782608
139	23	ENSBTAG00000021372	1.0	6	91777290	91878094	1	ohno	0.043478260869565216
140	23	ENSBTAG00000050127	1.0	29	36323712	36323903	-1	SSD	0.043478260869565216
141	23	ENSBTAG00000016455	1.0	3	80788175	81022967	-1	SSD	0.043478260869565216
142	23	ENSBTAG00000007159	3.0	9	88802742	89097095	1	ohno	0.13043478260869565
143	23	ENSBTAG00000030384	0.0	11	104259371	104263171	-1	SSD	0.0
144	23	ENSBTAG00000006330	0.0	22	50218344	50242674	-1	ohno	0.0
145	23	ENSBTAG00000012421	3.0	17	72935432	72967481	1	singleton	0.13043478260869565
146	23	ENSBTAG00000005803	1.0	8	85312677	85383567	1	SSD	0.043478260869565216
147	23	ENSBTAG00000002883	1.0	19	51687441	52010821	-1	singleton	0.043478260869565216
148	23	ENSBTAG00000016498	0.0	9	81071948	81286688	1	ohno	0.0
149	23	ENSBTAG00000017120	1.0	19	37195914	37206574	1	SSD	0.043478260869565216
150	23	ENSBTAG00000015866	2.0	18	65047407	65050896	-1	SSD	0.08695652173913043
151	23	ENSBTAG00000012745	1.0	7	14663969	14667985	1	singleton	0.043478260869565216
152	23	ENSBTAG00000007332	0.0	15	29084998	29093127	1	SSD	0.0
153	23	ENSBTAG00000007624	1.0	22	32022449	32381786	1	ohno	0.043478260869565216
154	23	ENSBTAG00000018991	0.0	11	4203832	4296700	-1	ohno	0.0
155	23	ENSBTAG00000001551	1.0	10	76837233	76885380	1	singleton	0.043478260869565216
156	23	ENSBTAG00000005524	0.0	4	48265379	48296503	1	singleton	0.0
157	23	ENSBTAG00000007115	0.0	27	26801919	26846927	-1	SSD	0.0
158	23	ENSBTAG00000013664	1.0	1	44096867	44402309	-1	ohno	0.043478260869565216
159	23	ENSBTAG00000014752	2.0	12	12410713	12461551	1	SSD	0.08695652173913043
160	23	ENSBTAG00000050317	2.0	20	70848636	70848938	1	singleton	0.08695652173913043
161	23	ENSBTAG00000002798	0.0	5	57097196	57103340	-1	ohno	0.0
162	23	ENSBTAG00000016619	0.0	1	3209824	3222938	1	SSD	0.0
163	23	ENSBTAG00000012007	0.0	5	23367712	23380477	1	SSD	0.0
164	23	ENSBTAG00000001854	0.0	18	25430935	25444806	-1	singleton	0.0
165	23	ENSBTAG00000040151	2.0	10	67345440	67400407	-1	singleton	0.08695652173913043
166	23	ENSBTAG00000007187	3.0	21	69183853	69195007	1	ohno	0.13043478260869565
167	23	ENSBTAG00000051230	5.0	15	80743589	80773253	-1	SSD	0.21739130434782608
168	23	ENSBTAG00000018400	2.0	21	46014364	46058395	1	ohno	0.08695652173913043
169	23	ENSBTAG00000005827	1.0	9	40387289	40559531	-1	SSD	0.043478260869565216
170	23	ENSBTAG00000012658	1.0	6	2111636	2141474	-1	singleton	0.043478260869565216
171	23	ENSBTAG00000016299	4.0	18	61921781	61924820	1	SSD	0.17391304347826086
172	23	ENSBTAG00000005116	2.0	8	102413489	102470040	-1	SSD	0.08695652173913043
173	23	ENSBTAG00000006612	0.0	18	56050468	56060969	1	ohno	0.0
174	23	ENSBTAG00000004887	3.0	11	10238630	10269100	1	SSD	0.13043478260869565
175	23	ENSBTAG00000032808	0.0	16	40161168	40170278	1	SSD	0.0
176	23	ENSBTAG00000051333	0.0	28	17916578	18109450	1	SSD	0.0
177	23	ENSBTAG00000054466	2.0	6	71005238	71006869	-1	SSD	0.08695652173913043
178	23	ENSBTAG00000015878	4.0	5	106876984	106886490	-1	singleton	0.17391304347826086
179	23	ENSBTAG00000001027	1.0	15	54737997	54748417	1	ohno	0.043478260869565216
180	23	ENSBTAG00000031509	7.0	19	27879985	27895903	1	singleton	0.30434782608695654
181	23	ENSBTAG00000034659	0.0	20	3997984	4064029	-1	ohno	0.0
182	23	ENSBTAG00000027151	1.0	7	53810968	54280637	1	ohno	0.043478260869565216
183	23	ENSBTAG00000023860	2.0	11	94934572	94935072	1	SSD	0.08695652173913043
184	23	ENSBTAG00000000245	3.0	9	76205680	76463385	-1	SSD	0.13043478260869565
185	23	ENSBTAG00000046263	3.0	7	43910025	43918385	-1	SSD	0.13043478260869565
186	23	ENSBTAG00000013236	0.0	19	39843840	39867840	-1	singleton	0.0
187	23	ENSBTAG00000010373	1.0	7	20313628	20324899	1	SSD	0.043478260869565216
188	23	ENSBTAG00000013273	11.0	19	33284684	33326707	-1	singleton	0.4782608695652174
189	23	ENSBTAG00000009469	0.0	20	14726021	14761956	1	singleton	0.0
190	23	ENSBTAG00000001612	1.0	27	33338482	33348971	-1	SSD	0.043478260869565216
191	23	ENSBTAG00000000379	0.0	5	88683333	88697403	-1	ohno	0.0
192	23	ENSBTAG00000007648	1.0	13	43160605	43186863	-1	ohno	0.043478260869565216
193	23	ENSBTAG00000018704	0.0	1	19417655	19437170	1	SSD	0.0
194	23	ENSBTAG00000001539	0.0	10	43523556	43555390	-1	SSD	0.0
195	23	ENSBTAG00000033446	1.0	14	15560985	15592470	1	SSD	0.043478260869565216
196	23	ENSBTAG00000010672	2.0	12	76812919	77174969	1	SSD	0.08695652173913043
197	23	ENSBTAG00000000103	2.0	29	49542736	49549261	-1	singleton	0.08695652173913043
198	23	ENSBTAG00000007247	1.0	3	5960360	5998691	-1	SSD	0.043478260869565216
199	23	ENSBTAG00000001792	1.0	7	18617143	18618572	1	singleton	0.043478260869565216
200	23	ENSBTAG00000015885	3.0	16	738761	790141	1	ohno	0.13043478260869565
201	23	ENSBTAG00000005078	1.0	6	60147025	60159287	1	ohno	0.043478260869565216
202	23	ENSBTAG00000002055	4.0	18	63880404	63907053	-1	SSD	0.17391304347826086
203	23	ENSBTAG00000007070	1.0	18	52827195	52827797	1	singleton	0.043478260869565216
204	23	ENSBTAG00000025001	2.0	19	38966206	38985585	1	singleton	0.08695652173913043
205	23	ENSBTAG00000003907	1.0	28	35848163	35904370	1	ohno	0.043478260869565216
206	23	ENSBTAG00000002272	7.0	2	89035588	89056404	-1	SSD	0.30434782608695654
207	23	ENSBTAG00000035081	4.0	2	122233162	122259028	-1	ohno	0.17391304347826086
208	23	ENSBTAG00000030393	7.0	18	62337525	62355536	1	SSD	0.30434782608695654
209	23	ENSBTAG00000005289	1.0	7	6479012	6498287	1	singleton	0.043478260869565216
210	23	ENSBTAG00000016680	7.0	17	40279436	40292370	1	SSD	0.30434782608695654
211	23	ENSBTAG00000015986	2.0	25	14084540	14144211	1	ohno	0.08695652173913043
212	23	ENSBTAG00000036009	0.0	15	66946444	66967540	-1	SSD	0.0
213	23	ENSBTAG00000047077	0.0	26	20622608	20655036	1	ohno	0.0
214	23	ENSBTAG00000033441	2.0	18	14881869	14919139	-1	ohno	0.08695652173913043
215	23	ENSBTAG00000004950	4.0	10	26256262	26257893	1	SSD	0.17391304347826086
216	23	ENSBTAG00000014175	2.0	5	94018317	94039904	-1	singleton	0.08695652173913043
217	23	ENSBTAG00000022721	1.0	22	12645751	12660388	1	SSD	0.043478260869565216
218	23	ENSBTAG00000033080	6.0	27	42051425	42055369	-1	SSD	0.2608695652173913
219	23	ENSBTAG00000001741	2.0	13	65492788	65636252	1	ohno	0.08695652173913043
220	23	ENSBTAG00000022801	0.0	10	59890308	59967550	1	ohno	0.0
221	23	ENSBTAG00000019162	7.0	19	22060689	22065001	-1	singleton	0.30434782608695654
222	23	ENSBTAG00000012450	1.0	17	39633239	39902881	-1	ohno	0.043478260869565216
223	23	ENSBTAG00000032374	1.0	22	47024359	47031572	1	singleton	0.043478260869565216
224	23	ENSBTAG00000017482	1.0	7	4737566	4740763	1	singleton	0.043478260869565216
225	23	ENSBTAG00000008758	0.0	7	49613257	49621657	1	SSD	0.0
226	23	ENSBTAG00000044058	1.0	17	29733275	29786956	1	SSD	0.043478260869565216
227	23	ENSBTAG00000038368	2.0	6	15219565	15219795	-1	SSD	0.08695652173913043
228	23	ENSBTAG00000011024	2.0	3	94278884	94312525	1	SSD	0.08695652173913043
229	23	ENSBTAG00000038674	2.0	18	60074952	60116948	1	SSD	0.08695652173913043
230	23	ENSBTAG00000020775	1.0	29	43999490	44003899	-1	singleton	0.043478260869565216
231	23	ENSBTAG00000014423	0.0	16	47144460	47152159	1	ohno	0.0
232	23	ENSBTAG00000050060	0.0	15	35121218	35134817	-1	SSD	0.0
233	23	ENSBTAG00000030348	1.0	18	63773648	63785937	1	SSD	0.043478260869565216
234	23	ENSBTAG00000005145	1.0	21	32245129	32554682	-1	ohno	0.043478260869565216
235	23	ENSBTAG00000022954	4.0	3	2569473	2570674	-1	SSD	0.17391304347826086
236	23	ENSBTAG00000006526	1.0	13	61220111	61271367	-1	SSD	0.043478260869565216
237	23	ENSBTAG00000005362	2.0	23	3019707	3038485	1	SSD	0.08695652173913043
238	23	ENSBTAG00000016367	4.0	11	93120914	93141347	-1	singleton	0.17391304347826086
239	23	ENSBTAG00000017811	4.0	10	81185447	81228802	1	singleton	0.17391304347826086
240	23	ENSBTAG00000021538	0.0	10	50958102	51177537	1	SSD	0.0
241	23	ENSBTAG00000006048	1.0	19	44717121	44737363	-1	SSD	0.043478260869565216
242	23	ENSBTAG00000016006	3.0	18	14327315	14446553	-1	singleton	0.13043478260869565
243	23	ENSBTAG00000014900	0.0	18	63241718	63257591	-1	SSD	0.0
244	23	ENSBTAG00000003773	1.0	4	13462646	13692192	-1	ohno	0.043478260869565216
245	23	ENSBTAG00000047502	3.0	23	9555619	9672159	-1	ohno	0.13043478260869565
246	23	ENSBTAG00000017437	1.0	2	90171834	90195668	-1	singleton	0.043478260869565216
247	23	ENSBTAG00000017001	2.0	4	92499373	92531680	-1	SSD	0.08695652173913043
248	23	ENSBTAG00000006743	1.0	24	33499444	33582080	-1	SSD	0.043478260869565216
249	23	ENSBTAG00000005208	0.0	25	9621279	9853824	1	singleton	0.0
250	23	ENSBTAG00000008951	4.0	2	131181416	131245100	-1	ohno	0.17391304347826086
251	23	ENSBTAG00000027772	1.0	15	29588693	29590407	-1	SSD	0.043478260869565216
252	23	ENSBTAG00000010739	2.0	26	21174604	21184517	-1	SSD	0.08695652173913043
253	23	ENSBTAG00000040368	3.0	10	14030086	14103131	-1	singleton	0.13043478260869565
254	23	ENSBTAG00000017082	0.0	25	34146939	34213388	1	SSD	0.0
255	23	ENSBTAG00000019627	0.0	15	29981019	29986913	-1	singleton	0.0
256	23	ENSBTAG00000008412	1.0	25	26938951	26969724	-1	ohno	0.043478260869565216
257	23	ENSBTAG00000006374	4.0	7	39244051	39247998	-1	SSD	0.17391304347826086
258	23	ENSBTAG00000015538	8.0	23	7898387	7914749	-1	SSD	0.34782608695652173
259	23	ENSBTAG00000026266	1.0	24	37417773	37434615	1	ohno	0.043478260869565216
260	23	ENSBTAG00000006225	4.0	2	125448288	125470852	1	SSD	0.17391304347826086
261	23	ENSBTAG00000000087	6.0	15	73781285	73958433	1	SSD	0.2608695652173913
262	23	ENSBTAG00000054095	0.0	10	66980308	66996981	-1	SSD	0.0
263	23	ENSBTAG00000035247	2.0	21	27388187	27396222	-1	SSD	0.08695652173913043
264	23	ENSBTAG00000014476	4.0	21	55085724	55109133	1	SSD	0.17391304347826086
265	23	ENSBTAG00000039440	4.0	19	20556890	20557410	1	SSD	0.17391304347826086
266	23	ENSBTAG00000012777	0.0	23	16775130	16783881	1	SSD	0.0
267	23	ENSBTAG00000001408	2.0	11	66705245	66729498	-1	singleton	0.08695652173913043
268	23	ENSBTAG00000001511	2.0	1	79558314	79611183	1	SSD	0.08695652173913043
269	23	ENSBTAG00000021649	2.0	3	14304650	14305160	1	SSD	0.08695652173913043
270	23	ENSBTAG00000021791	1.0	1	66958506	66988476	-1	ohno	0.043478260869565216
271	23	ENSBTAG00000016887	4.0	23	8887254	8894899	-1	SSD	0.17391304347826086
272	23	ENSBTAG00000008279	2.0	13	28351256	28679615	-1	ohno	0.08695652173913043
273	23	ENSBTAG00000021997	4.0	1	1665339	1908788	-1	ohno	0.17391304347826086
274	23	ENSBTAG00000006420	6.0	2	90864689	91017391	1	ohno	0.2608695652173913
275	23	ENSBTAG00000047706	3.0	27	14301797	14308918	1	ohno	0.13043478260869565
276	23	ENSBTAG00000007484	0.0	17	62969284	62985770	1	SSD	0.0
277	23	ENSBTAG00000038487	14.0	18	57807061	57816044	1	SSD	0.6086956521739131
278	23	ENSBTAG00000020503	1.0	17	52320433	52322700	-1	singleton	0.043478260869565216
279	23	ENSBTAG00000021785	1.0	25	26290036	26307986	-1	SSD	0.043478260869565216
280	23	ENSBTAG00000008645	2.0	29	42603429	42612003	1	ohno	0.08695652173913043
281	23	ENSBTAG00000000613	1.0	7	16714677	16752222	-1	ohno	0.043478260869565216
282	23	ENSBTAG00000002896	0.0	1	158238278	158293060	-1	ohno	0.0
283	23	ENSBTAG00000001509	0.0	5	60480235	60548556	1	SSD	0.0
284	23	ENSBTAG00000020954	14.0	7	40326943	40341657	-1	SSD	0.6086956521739131
285	23	ENSBTAG00000032187	0.0	3	23660109	23691442	1	SSD	0.0
286	23	ENSBTAG00000018674	2.0	23	45417119	45428455	-1	SSD	0.08695652173913043
287	23	ENSBTAG00000003097	4.0	8	24922544	25040129	-1	ohno	0.17391304347826086
288	23	ENSBTAG00000020605	2.0	19	25091088	25113142	-1	ohno	0.08695652173913043
289	23	ENSBTAG00000020517	2.0	19	34822995	34828048	-1	singleton	0.08695652173913043
290	23	ENSBTAG00000013152	0.0	17	68731177	68748582	-1	ohno	0.0
291	23	ENSBTAG00000017996	3.0	18	50048803	50056733	1	ohno	0.13043478260869565
292	23	ENSBTAG00000006223	1.0	2	125473679	125486124	-1	SSD	0.043478260869565216
293	23	ENSBTAG00000013917	1.0	25	26832768	26844133	1	ohno	0.043478260869565216
294	23	ENSBTAG00000039851	3.0	11	103462731	103481943	-1	SSD	0.13043478260869565
295	23	ENSBTAG00000012808	2.0	16	42581910	42597203	1	ohno	0.08695652173913043
296	23	ENSBTAG00000002412	3.0	18	36548065	36571837	1	ohno	0.13043478260869565
297	23	ENSBTAG00000047647	6.0	8	65712604	65713395	1	SSD	0.2608695652173913
298	23	ENSBTAG00000002881	2.0	25	36343187	36349788	-1	SSD	0.08695652173913043
299	23	ENSBTAG00000001301	0.0	15	56045705	56057707	-1	SSD	0.0
300	23	ENSBTAG00000016208	5.0	13	67002552	67037111	-1	ohno	0.21739130434782608
301	23	ENSBTAG00000008685	5.0	8	111053754	111089492	-1	singleton	0.21739130434782608
302	23	ENSBTAG00000016658	5.0	10	22200351	22212618	-1	ohno	0.21739130434782608
303	23	ENSBTAG00000011608	2.0	10	5012186	5025730	1	singleton	0.08695652173913043
304	23	ENSBTAG00000019937	2.0	3	25251271	25286207	-1	SSD	0.08695652173913043
305	23	ENSBTAG00000031849	4.0	17	64327826	64334251	1	singleton	0.17391304347826086
306	23	ENSBTAG00000001647	4.0	7	21389365	21391998	-1	SSD	0.17391304347826086
307	23	ENSBTAG00000016497	0.0	15	52890052	53086176	-1	SSD	0.0
308	23	ENSBTAG00000005903	2.0	29	45807108	45927821	1	ohno	0.08695652173913043
309	23	ENSBTAG00000001817	3.0	7	4105828	4120006	1	ohno	0.13043478260869565
310	23	ENSBTAG00000001305	4.0	22	54363223	54662992	-1	ohno	0.17391304347826086
