	Ensembl Gene ID	affectedTissues	expressedTissues	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	CNV	propOfExpressedAffectedByeQTL
132	ENSG00000132670	2.0	48	20	2844830	3019722	1	Y	0.041666666666666664
133	ENSG00000132825	1.0	48	20	58511894	58515352	-1	N	0.020833333333333332
134	ENSG00000128739	4.0	48	15	25068794	25223870	1	Y	0.08333333333333333
135	ENSG00000148200	1.0	48	9	127279554	127533589	-1	Y	0.020833333333333332
136	ENSG00000159496	6.0	48	22	24030323	24041363	1	Y	0.125
137	ENSG00000064601	5.0	48	20	44518783	44527459	1	N	0.10416666666666667
138	ENSG00000185585	5.0	48	9	127539437	127577164	1	N	0.10416666666666667
139	ENSG00000156256	3.0	48	21	30396950	30426809	1	N	0.0625
140	ENSG00000141446	3.0	48	18	19109242	19180845	-1	N	0.0625
141	ENSG00000137804	21.0	48	15	41624892	41673248	1	Y	0.4375
142	ENSG00000197361	8.0	48	15	63889552	63894627	1	N	0.16666666666666666
143	ENSG00000136918	1.0	28	9	127615755	127620160	1	N	0.03571428571428571
144	ENSG00000080503	3.0	48	9	2015342	2193624	1	Y	0.0625
145	ENSG00000136950	8.0	48	9	127624409	127640003	1	N	0.16666666666666666
146	ENSG00000176659	9.0	46	20	58630980	58648008	1	N	0.1956521739130435
147	ENSG00000167088	2.0	48	18	19192228	19210417	1	N	0.041666666666666664
148	ENSG00000128218	21.0	45	22	24094930	24096655	-1	Y	0.4666666666666667
149	ENSG00000138592	8.0	48	15	50716577	50793280	1	Y	0.16666666666666666
150	ENSG00000179242	16.0	47	20	59827482	60515673	1	Y	0.3404255319148936
151	ENSG00000136935	9.0	48	9	127640646	127710771	-1	Y	0.1875
152	ENSG00000169314	1.0	32	22	24105208	24108048	1	Y	0.03125
153	ENSG00000173281	3.0	48	8	8993765	9009084	-1	Y	0.0625
154	ENSG00000103657	4.0	48	15	63900817	64126141	-1	N	0.08333333333333333
155	ENSG00000158201	6.0	48	18	19230858	19284766	-1	N	0.125
156	ENSG00000250479	13.0	48	22	24108021	24110630	-1	Y	0.2708333333333333
157	ENSG00000124253	1.0	48	20	56136136	56141513	1	N	0.020833333333333332
158	ENSG00000121743	4.0	23	13	20712394	20735188	-1	N	0.17391304347826086
159	ENSG00000141627	4.0	48	18	46570039	46987717	-1	Y	0.08333333333333333
160	ENSG00000165474	15.0	48	13	20761609	20767037	-1	N	0.3125
161	ENSG00000140553	15.0	48	15	91473410	91497323	1	N	0.3125
162	ENSG00000102309	34.0	48	X	71401203	71522776	1	Y	0.7083333333333334
163	ENSG00000099953	3.0	48	22	24110413	24126503	1	Y	0.0625
164	ENSG00000121742	5.0	46	13	20796110	20806534	-1	N	0.10869565217391304
165	ENSG00000173611	11.0	48	9	127704887	127905785	-1	N	0.22916666666666666
166	ENSG00000156261	29.0	48	21	30428126	30446118	-1	N	0.6041666666666666
167	ENSG00000173273	3.0	48	8	9413424	9639856	1	Y	0.0625
168	ENSG00000130699	1.0	48	20	60528525	60640866	-1	Y	0.020833333333333332
169	ENSG00000147852	14.0	48	9	2621834	2660053	1	N	0.2916666666666667
170	ENSG00000165475	15.0	48	13	20977806	21099996	-1	N	0.3125
171	ENSG00000035664	14.0	48	15	64199235	64364232	-1	N	0.2916666666666667
172	ENSG00000137806	34.0	48	15	41679551	41694717	-1	N	0.7083333333333334
173	ENSG00000099956	27.0	48	22	24129150	24176703	1	Y	0.5625
174	ENSG00000198034	2.0	48	X	71475529	71497150	-1	N	0.041666666666666664
175	ENSG00000177576	11.0	48	18	47008028	47013622	-1	N	0.22916666666666666
176	ENSG00000125787	1.0	44	20	3024268	3026393	1	N	0.022727272727272728
177	ENSG00000119414	11.0	48	9	127908852	127952218	-1	Y	0.22916666666666666
178	ENSG00000137815	2.0	48	15	41700606	41775761	1	N	0.041666666666666664
179	ENSG00000101752	6.0	48	18	19284918	19450918	1	N	0.125
180	ENSG00000124256	2.0	47	20	56178902	56195632	-1	N	0.0425531914893617
181	ENSG00000166797	1.0	48	15	64364758	64386217	-1	Y	0.020833333333333332
182	ENSG00000099958	2.0	48	22	24176690	24181315	-1	Y	0.041666666666666664
183	ENSG00000168263	1.0	45	9	2717502	2730037	1	N	0.022222222222222223
184	ENSG00000125901	18.0	48	20	3026591	3028900	1	N	0.375
185	ENSG00000101405	1.0	43	20	3052266	3053163	1	N	0.023255813953488372
186	ENSG00000149657	3.0	48	20	60697517	60710434	1	N	0.0625
187	ENSG00000170236	1.0	31	15	50792759	50838905	-1	N	0.03225806451612903
188	ENSG00000136933	8.0	48	9	127962821	127996437	1	N	0.16666666666666666
189	ENSG00000147535	3.0	48	8	38120648	38126761	-1	N	0.0625
190	ENSG00000080608	5.0	48	9	2720469	2844241	-1	N	0.10416666666666667
191	ENSG00000032742	29.0	48	13	21140585	21265503	1	N	0.6041666666666666
192	ENSG00000156265	5.0	48	21	30449792	30548210	1	N	0.10416666666666667
193	ENSG00000124225	6.0	48	20	56223448	56286592	-1	Y	0.125
194	ENSG00000175806	7.0	48	8	9911778	10286401	1	Y	0.14583333333333334
195	ENSG00000172458	5.0	48	13	21276266	21297237	1	N	0.10416666666666667
196	ENSG00000028528	11.0	48	15	64386322	64438289	1	N	0.22916666666666666
197	ENSG00000133460	35.0	48	22	24198890	24228496	1	Y	0.7291666666666666
198	ENSG00000092439	2.0	48	15	50844670	50979012	-1	Y	0.041666666666666664
199	ENSG00000169762	7.0	48	4	16162128	16229033	-1	N	0.14583333333333334
200	ENSG00000150456	2.0	48	13	21302870	21348097	-1	N	0.041666666666666664
201	ENSG00000102096	1.0	48	X	48770459	48776301	-1	N	0.020833333333333332
202	ENSG00000101182	1.0	48	20	60711791	60718496	-1	N	0.020833333333333332
203	ENSG00000114062	2.0	48	15	25582381	25684128	-1	N	0.041666666666666664
204	ENSG00000176731	9.0	48	8	86126311	86132650	-1	N	0.1875
205	ENSG00000156273	1.0	48	21	30566392	31003071	1	Y	0.020833333333333332
206	ENSG00000100979	22.0	48	20	44527399	44540794	-1	Y	0.4583333333333333
207	ENSG00000137825	3.0	48	15	41785591	41795747	1	N	0.0625
208	ENSG00000124227	1.0	1	20	56793551	56803709	-1	N	1.0
209	ENSG00000132953	7.0	48	13	21351469	21477187	-1	N	0.14583333333333334
210	ENSG00000185019	19.0	48	20	3088219	3140842	-1	N	0.3958333333333333
211	ENSG00000123908	2.0	48	8	141541264	141645718	-1	Y	0.041666666666666664
212	ENSG00000187954	7.0	48	8	145674965	145691060	-1	N	0.14583333333333334
213	ENSG00000240972	38.0	48	22	24236191	24237414	1	Y	0.7916666666666666
214	ENSG00000215251	5.0	48	20	3127165	3140543	-1	N	0.10416666666666667
215	ENSG00000218537	47.0	48	22	24236613	24241117	-1	Y	0.9791666666666666
216	ENSG00000062524	8.0	48	15	41795836	41806085	-1	N	0.16666666666666666
217	ENSG00000133433	46.0	46	22	24299601	24303373	-1	Y	1.0
218	ENSG00000088899	14.0	48	20	3143263	3154192	-1	N	0.2916666666666667
219	ENSG00000107249	4.0	47	9	3824127	4348392	-1	Y	0.0851063829787234
220	ENSG00000150457	4.0	48	13	21547171	21635686	-1	N	0.08333333333333333
221	ENSG00000099974	28.0	48	22	24309089	24314721	1	Y	0.5833333333333334
222	ENSG00000184647	6.0	17	8	10383056	10411676	1	N	0.35294117647058826
223	ENSG00000198171	17.0	48	20	3170996	3185331	-1	N	0.3541666666666667
224	ENSG00000099977	35.0	48	22	24313554	24322660	-1	Y	0.7291666666666666
225	ENSG00000184402	8.0	48	20	60718822	60757540	1	N	0.16666666666666666
226	ENSG00000150459	6.0	48	13	21714653	21723221	1	N	0.125
227	ENSG00000145321	2.0	32	4	72607410	72669758	-1	N	0.0625
228	ENSG00000183638	9.0	16	8	10463859	10569697	-1	Y	0.5625
229	ENSG00000099984	47.0	47	22	24322339	24326106	1	Y	1.0
230	ENSG00000171060	1.0	5	8	10530147	10558103	1	N	0.2
231	ENSG00000171189	1.0	46	21	30909254	31312351	-1	Y	0.021739130434782608
232	ENSG00000125877	45.0	48	20	3189514	3204516	1	N	0.9375
233	ENSG00000165219	12.0	48	9	128024073	128129486	1	N	0.25
234	ENSG00000101670	5.0	47	18	47087069	47119272	1	N	0.10638297872340426
235	ENSG00000171056	2.0	48	8	10581278	10697357	-1	N	0.041666666666666664
236	ENSG00000106688	20.0	47	9	4490444	4587469	1	Y	0.425531914893617
237	ENSG00000172007	4.0	48	4	140374386	140397763	1	N	0.08333333333333333
238	ENSG00000184674	48.0	48	22	24376133	24384680	-1	Y	1.0
239	ENSG00000101773	2.0	48	18	20378224	20606451	1	Y	0.041666666666666664
240	ENSG00000138600	26.0	48	15	50999506	51058005	-1	N	0.5416666666666666
241	ENSG00000184508	6.0	48	15	91474148	91475799	-1	N	0.125
242	ENSG00000124209	4.0	48	20	56884752	56942563	1	N	0.08333333333333333
243	ENSG00000157734	11.0	48	15	64443914	64449680	1	N	0.22916666666666666
244	ENSG00000185015	9.0	48	8	86132816	86196302	1	N	0.1875
245	ENSG00000173141	1.0	48	13	21750784	21753223	1	N	0.020833333333333332
246	ENSG00000156284	4.0	14	21	31586324	31588391	-1	N	0.2857142857142857
247	ENSG00000167702	28.0	48	8	145691426	145699585	1	N	0.5833333333333334
248	ENSG00000166965	37.0	48	15	91498100	91506349	1	N	0.7708333333333334
249	ENSG00000145391	4.0	48	4	140417095	140527853	-1	N	0.08333333333333333
250	ENSG00000171044	5.0	48	8	10753555	11058875	-1	Y	0.10416666666666667
251	ENSG00000170006	2.0	48	4	153539784	153601317	-1	N	0.041666666666666664
252	ENSG00000180776	10.0	48	13	21950263	22033509	-1	Y	0.20833333333333334
253	ENSG00000103932	41.0	48	15	41809374	41836467	-1	N	0.8541666666666666
254	ENSG00000124164	31.0	48	20	56964178	57026157	1	Y	0.6458333333333334
255	ENSG00000101181	30.0	48	20	60758085	60778624	1	N	0.625
256	ENSG00000102057	1.0	48	X	48818639	48827976	-1	N	0.020833333333333332
257	ENSG00000169989	1.0	47	4	153690506	153700916	-1	N	0.02127659574468085
258	ENSG00000106686	29.0	48	9	4553386	4666674	-1	Y	0.6041666666666666
259	ENSG00000145348	6.0	48	4	106962756	107242652	-1	Y	0.125
260	ENSG00000099991	9.0	48	22	24407642	24574596	1	Y	0.1875
261	ENSG00000206105	1.0	1	21	31992946	31993169	1	N	1.0
262	ENSG00000088836	11.0	48	20	3208063	3219836	-1	N	0.22916666666666666
263	ENSG00000206190	2.0	48	15	25922420	26110317	-1	Y	0.041666666666666664
264	ENSG00000104643	10.0	48	8	11141925	11185646	1	N	0.20833333333333334
265	ENSG00000165487	7.0	48	13	22066836	22178353	-1	N	0.14583333333333334
266	ENSG00000183640	1.0	2	21	32185016	32185570	-1	N	0.5
267	ENSG00000198901	2.0	48	15	91509270	91538859	-1	N	0.041666666666666664
268	ENSG00000125354	9.0	48	X	118749687	118827333	-1	N	0.1875
269	ENSG00000164144	33.0	48	4	153701089	153839615	1	N	0.6875
270	ENSG00000205808	6.0	48	9	4662298	4665256	1	N	0.125
271	ENSG00000167315	4.0	48	18	47309869	47340330	-1	N	0.08333333333333333
272	ENSG00000198768	8.0	32	20	57034157	57090187	-1	N	0.25
273	ENSG00000183090	2.0	10	4	144498455	144621828	-1	Y	0.2
274	ENSG00000085871	12.0	48	4	140586922	140661899	1	N	0.25
275	ENSG00000182378	44.0	48	X	192989	220023	1	Y	0.9166666666666666
276	ENSG00000106993	4.0	48	9	4679559	4708398	1	N	0.08333333333333333
277	ENSG00000099994	25.0	48	22	24577227	24585078	1	Y	0.5208333333333334
278	ENSG00000169744	1.0	48	4	16503164	16900432	-1	Y	0.020833333333333332
279	ENSG00000169118	5.0	48	15	64457716	64648442	-1	Y	0.10416666666666667
280	ENSG00000156299	4.0	48	21	32490734	32932290	-1	Y	0.08333333333333333
281	ENSG00000081014	4.0	48	15	51200869	51298097	1	N	0.08333333333333333
282	ENSG00000102683	9.0	47	13	23755091	23899304	1	Y	0.19148936170212766
283	ENSG00000119487	1.0	48	9	128199672	128469513	-1	N	0.020833333333333332
284	ENSG00000137473	2.0	19	4	147627790	147867034	-1	Y	0.10526315789473684
285	ENSG00000178605	32.0	48	X	220025	230886	-1	Y	0.6666666666666666
286	ENSG00000120251	4.0	42	4	158125334	158287227	1	N	0.09523809523809523
287	ENSG00000147853	20.0	48	9	4711155	4742043	-1	Y	0.4166666666666667
288	ENSG00000196782	2.0	48	4	140637907	141075338	-1	Y	0.041666666666666664
289	ENSG00000197465	14.0	48	4	144792020	144826716	-1	Y	0.2916666666666667
290	ENSG00000073067	7.0	34	7	1022835	1029276	1	N	0.20588235294117646
291	ENSG00000258256	2.0	12	8	86134675	86157946	-1	N	0.16666666666666666
292	ENSG00000167393	17.0	48	X	294698	347690	-1	Y	0.3541666666666667
293	ENSG00000166206	21.0	46	15	26788693	27184686	-1	Y	0.45652173913043476
294	ENSG00000183578	3.0	48	15	51348795	51397473	-1	N	0.0625
295	ENSG00000068400	7.0	48	X	48830134	48858675	-1	N	0.14583333333333334
296	ENSG00000167306	10.0	48	18	47349183	47721463	-1	Y	0.20833333333333334
297	ENSG00000099998	5.0	48	22	24615622	24641110	-1	Y	0.10416666666666667
298	ENSG00000137460	2.0	48	4	153857504	153900848	1	N	0.041666666666666664
299	ENSG00000142168	3.0	48	21	33031935	33041244	1	N	0.0625
300	ENSG00000146540	18.0	48	7	1036622	1177896	-1	Y	0.375
301	ENSG00000120158	5.0	48	9	4792869	4885917	1	N	0.10416666666666667
302	ENSG00000184056	15.0	48	15	91541646	91565833	-1	N	0.3125
303	ENSG00000160972	6.0	48	8	145703352	145727504	1	Y	0.125
304	ENSG00000153130	3.0	48	4	141178440	141306880	1	Y	0.0625
305	ENSG00000185960	6.0	11	X	585079	620146	1	Y	0.5454545454545454
306	ENSG00000130703	2.0	48	20	60813580	60871268	1	Y	0.041666666666666664
307	ENSG00000179934	1.0	8	3	39371197	39375171	1	N	0.125
308	ENSG00000151835	6.0	48	13	23902965	24007841	-1	N	0.125
309	ENSG00000140006	3.0	48	14	64063757	64108579	-1	Y	0.0625
310	ENSG00000164849	6.0	48	7	1084212	1098897	1	N	0.125
311	ENSG00000250361	1.0	5	4	144917257	145061844	-1	Y	0.2
312	ENSG00000124222	1.0	48	20	57226328	57254582	1	N	0.020833333333333332
313	ENSG00000205755	1.0	21	X	1314890	1331616	-1	Y	0.047619047619047616
314	ENSG00000144659	3.0	48	3	39424839	39438842	1	N	0.0625
315	ENSG00000109654	16.0	48	4	154073494	154260472	1	Y	0.3333333333333333
316	ENSG00000088854	13.0	48	20	3229951	3388272	-1	Y	0.2708333333333333
317	ENSG00000269305	3.0	11	9	4859120	4859260	-1	N	0.2727272727272727
318	ENSG00000132164	4.0	29	3	10857885	10982419	1	Y	0.13793103448275862
319	ENSG00000164125	7.0	48	4	159045626	159094470	-1	N	0.14583333333333334
320	ENSG00000134508	1.0	48	18	20714528	20840431	1	Y	0.020833333333333332
321	ENSG00000168028	34.0	48	3	39448180	39454033	1	N	0.7083333333333334
322	ENSG00000177710	7.0	48	8	11188397	11189717	1	N	0.14583333333333334
323	ENSG00000127863	3.0	48	13	24144509	24250232	1	N	0.0625
324	ENSG00000184608	5.0	24	8	11225911	11296167	1	Y	0.20833333333333334
325	ENSG00000100014	12.0	48	22	24666786	24813708	1	Y	0.25
326	ENSG00000167081	13.0	48	9	128509624	128729656	1	N	0.2708333333333333
327	ENSG00000205745	1.0	2	7	36118694	36125346	1	N	0.5
328	ENSG00000100982	1.0	48	20	44563267	44576662	1	N	0.020833333333333332
329	ENSG00000154319	12.0	45	8	11278972	11332224	-1	Y	0.26666666666666666
330	ENSG00000137869	5.0	37	15	51500254	51630807	-1	Y	0.13513513513513514
331	ENSG00000133742	1.0	45	8	86239837	86291243	-1	N	0.022222222222222223
332	ENSG00000164850	12.0	48	7	1121844	1133451	1	N	0.25
333	ENSG00000151617	3.0	47	4	148402069	148466106	1	N	0.06382978723404255
334	ENSG00000096968	2.0	48	9	4985033	5128183	1	Y	0.041666666666666664
335	ENSG00000122547	12.0	48	7	36192758	36341152	1	N	0.25
336	ENSG00000027001	25.0	48	13	24304328	24463558	-1	N	0.5208333333333334
337	ENSG00000103671	30.0	48	15	64679947	64747502	1	N	0.625
338	ENSG00000178381	35.0	48	7	1191707	1200395	-1	Y	0.7291666666666666
339	ENSG00000136573	4.0	32	8	11351510	11422113	1	N	0.125
340	ENSG00000128271	6.0	48	22	24813847	24838328	1	Y	0.125
341	ENSG00000092445	6.0	48	15	41849873	41871536	1	Y	0.125
342	ENSG00000164124	26.0	48	4	159122756	159176563	1	N	0.5416666666666666
343	ENSG00000153132	8.0	47	4	141309609	141349122	-1	N	0.1702127659574468
344	ENSG00000142149	5.0	47	21	33245628	33416946	1	Y	0.10638297872340426
345	ENSG00000198026	3.0	48	20	44577292	44600833	-1	N	0.0625
346	ENSG00000181004	4.0	48	4	123653857	123666098	1	N	0.08333333333333333
347	ENSG00000205863	9.0	32	13	24465238	24476794	-1	N	0.28125
348	ENSG00000170004	2.0	48	17	7788124	7816078	1	Y	0.041666666666666664
349	ENSG00000198223	8.0	47	X	1387693	1429274	1	Y	0.1702127659574468
