	Ensembl Gene ID	affectedTissues	expressedTissues	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	propOfExpressedAffectedByeQTL	CNV
154	ENSG00000101665	43.0	48	18	46446223	46477081	-1	0.8958333333333334	N
155	ENSG00000196227	4.0	48	20	58508819	58523735	1	0.08333333333333333	N
156	ENSG00000132670	40.0	48	20	2844830	3019722	1	0.8333333333333334	Y
157	ENSG00000132825	4.0	48	20	58511894	58515352	-1	0.08333333333333333	N
158	ENSG00000128739	32.0	48	15	25068794	25223870	1	0.6666666666666666	Y
159	ENSG00000148200	13.0	48	9	127279554	127533589	-1	0.2708333333333333	Y
160	ENSG00000124215	48.0	48	20	58533471	58609066	1	1.0	N
161	ENSG00000159496	36.0	48	22	24030323	24041363	1	0.75	Y
162	ENSG00000064601	37.0	48	20	44518783	44527459	1	0.7708333333333334	N
163	ENSG00000185585	32.0	48	9	127539437	127577164	1	0.6666666666666666	N
164	ENSG00000156256	9.0	48	21	30396950	30426809	1	0.1875	N
165	ENSG00000141446	43.0	48	18	19109242	19180845	-1	0.8958333333333334	N
166	ENSG00000121741	2.0	48	13	20532810	20665968	1	0.041666666666666664	Y
167	ENSG00000137804	36.0	48	15	41624892	41673248	1	0.75	Y
168	ENSG00000197361	48.0	48	15	63889552	63894627	1	1.0	N
169	ENSG00000136918	22.0	28	9	127615755	127620160	1	0.7857142857142857	N
170	ENSG00000080503	46.0	48	9	2015342	2193624	1	0.9583333333333334	Y
171	ENSG00000136942	41.0	48	9	127620159	127624260	-1	0.8541666666666666	N
172	ENSG00000136950	48.0	48	9	127624409	127640003	1	1.0	N
173	ENSG00000176659	46.0	46	20	58630980	58648008	1	1.0	N
174	ENSG00000187792	6.0	48	22	24083769	24093279	-1	0.125	Y
175	ENSG00000167088	48.0	48	18	19192228	19210417	1	1.0	N
176	ENSG00000128218	45.0	45	22	24094930	24096655	-1	1.0	Y
177	ENSG00000138592	47.0	48	15	50716577	50793280	1	0.9791666666666666	Y
178	ENSG00000179242	47.0	47	20	59827482	60515673	1	1.0	Y
179	ENSG00000136935	48.0	48	9	127640646	127710771	-1	1.0	Y
180	ENSG00000169314	20.0	32	22	24105208	24108048	1	0.625	Y
181	ENSG00000173281	18.0	48	8	8993765	9009084	-1	0.375	Y
182	ENSG00000103657	29.0	48	15	63900817	64126141	-1	0.6041666666666666	N
183	ENSG00000253426	3.0	28	8	9009252	9025646	1	0.10714285714285714	N
184	ENSG00000158201	42.0	48	18	19230858	19284766	-1	0.875	N
185	ENSG00000250479	48.0	48	22	24108021	24110630	-1	1.0	Y
186	ENSG00000124253	17.0	48	20	56136136	56141513	1	0.3541666666666667	N
187	ENSG00000121743	18.0	23	13	20712394	20735188	-1	0.782608695652174	N
188	ENSG00000141627	48.0	48	18	46570039	46987717	-1	1.0	Y
189	ENSG00000165474	44.0	48	13	20761609	20767037	-1	0.9166666666666666	N
190	ENSG00000140553	46.0	48	15	91473410	91497323	1	0.9583333333333334	N
191	ENSG00000102309	48.0	48	X	71401203	71522776	1	1.0	Y
192	ENSG00000099953	19.0	48	22	24110413	24126503	1	0.3958333333333333	Y
193	ENSG00000179253	4.0	10	20	60292562	60294804	-1	0.4	Y
194	ENSG00000121742	15.0	46	13	20796110	20806534	-1	0.32608695652173914	N
195	ENSG00000173611	48.0	48	9	127704887	127905785	-1	1.0	N
196	ENSG00000156261	48.0	48	21	30428126	30446118	-1	1.0	N
197	ENSG00000173273	14.0	48	8	9413424	9639856	1	0.2916666666666667	Y
198	ENSG00000130699	32.0	48	20	60528525	60640866	-1	0.6666666666666666	Y
199	ENSG00000147852	35.0	48	9	2621834	2660053	1	0.7291666666666666	N
200	ENSG00000186871	35.0	43	X	71424510	71458897	-1	0.813953488372093	N
201	ENSG00000165475	48.0	48	13	20977806	21099996	-1	1.0	N
202	ENSG00000035664	33.0	48	15	64199235	64364232	-1	0.6875	N
203	ENSG00000137806	47.0	48	15	41679551	41694717	-1	0.9791666666666666	N
204	ENSG00000099956	48.0	48	22	24129150	24176703	1	1.0	Y
205	ENSG00000198034	42.0	48	X	71475529	71497150	-1	0.875	N
206	ENSG00000177576	48.0	48	18	47008028	47013622	-1	1.0	N
207	ENSG00000125787	9.0	44	20	3024268	3026393	1	0.20454545454545456	N
208	ENSG00000119414	48.0	48	9	127908852	127952218	-1	1.0	Y
209	ENSG00000137815	24.0	48	15	41700606	41775761	1	0.5	N
210	ENSG00000101752	48.0	48	18	19284918	19450918	1	1.0	N
211	ENSG00000124256	9.0	47	20	56178902	56195632	-1	0.19148936170212766	N
212	ENSG00000166797	13.0	48	15	64364758	64386217	-1	0.2708333333333333	Y
213	ENSG00000099958	44.0	48	22	24176690	24181315	-1	0.9166666666666666	Y
214	ENSG00000168263	42.0	45	9	2717502	2730037	1	0.9333333333333333	N
215	ENSG00000125901	48.0	48	20	3026591	3028900	1	1.0	N
216	ENSG00000101405	15.0	43	20	3052266	3053163	1	0.3488372093023256	N
217	ENSG00000149657	29.0	48	20	60697517	60710434	1	0.6041666666666666	N
218	ENSG00000170236	5.0	31	15	50792759	50838905	-1	0.16129032258064516	N
219	ENSG00000136933	48.0	48	9	127962821	127996437	1	1.0	N
220	ENSG00000147535	41.0	48	8	38120648	38126761	-1	0.8541666666666666	N
221	ENSG00000102100	17.0	48	X	48760459	48769235	-1	0.3541666666666667	N
222	ENSG00000080608	45.0	48	9	2720469	2844241	-1	0.9375	N
223	ENSG00000032742	48.0	48	13	21140585	21265503	1	1.0	N
224	ENSG00000044574	4.0	48	9	127997132	128003609	-1	0.08333333333333333	N
225	ENSG00000156265	46.0	48	21	30449792	30548210	1	0.9583333333333334	N
226	ENSG00000124225	35.0	48	20	56223448	56286592	-1	0.7291666666666666	Y
227	ENSG00000175806	47.0	48	8	9911778	10286401	1	0.9791666666666666	Y
228	ENSG00000172458	40.0	48	13	21276266	21297237	1	0.8333333333333334	N
229	ENSG00000028528	48.0	48	15	64386322	64438289	1	1.0	N
230	ENSG00000133460	48.0	48	22	24198890	24228496	1	1.0	Y
231	ENSG00000092439	25.0	48	15	50844670	50979012	-1	0.5208333333333334	Y
232	ENSG00000169762	31.0	48	4	16162128	16229033	-1	0.6458333333333334	N
233	ENSG00000150456	48.0	48	13	21302870	21348097	-1	1.0	N
234	ENSG00000265681	26.0	48	18	47014851	47018906	-1	0.5416666666666666	N
235	ENSG00000102096	6.0	48	X	48770459	48776301	-1	0.125	N
236	ENSG00000101182	7.0	48	20	60711791	60718496	-1	0.14583333333333334	N
237	ENSG00000114062	33.0	48	15	25582381	25684128	-1	0.6875	N
238	ENSG00000176731	20.0	48	8	86126311	86132650	-1	0.4166666666666667	N
239	ENSG00000156273	48.0	48	21	30566392	31003071	1	1.0	Y
240	ENSG00000080298	6.0	48	9	3218297	3526004	-1	0.125	Y
241	ENSG00000100979	48.0	48	20	44527399	44540794	-1	1.0	Y
242	ENSG00000137825	17.0	48	15	41785591	41795747	1	0.3541666666666667	N
243	ENSG00000132953	48.0	48	13	21351469	21477187	-1	1.0	N
244	ENSG00000263588	1.0	6	18	19668021	19678741	1	0.16666666666666666	N
245	ENSG00000186416	13.0	48	X	118722300	118739858	-1	0.2708333333333333	N
246	ENSG00000185019	48.0	48	20	3088219	3140842	-1	1.0	N
247	ENSG00000068308	2.0	48	X	48779305	48815648	-1	0.041666666666666664	N
248	ENSG00000123908	47.0	48	8	141541264	141645718	-1	0.9791666666666666	Y
249	ENSG00000187954	37.0	48	8	145674965	145691060	-1	0.7708333333333334	N
250	ENSG00000125931	3.0	47	X	71521488	71527037	-1	0.06382978723404255	N
251	ENSG00000240972	47.0	48	22	24236191	24237414	1	0.9791666666666666	Y
252	ENSG00000141448	2.0	40	18	19749404	19782491	1	0.05	N
253	ENSG00000215251	48.0	48	20	3127165	3140543	-1	1.0	N
254	ENSG00000218537	48.0	48	22	24236613	24241117	-1	1.0	Y
255	ENSG00000124224	41.0	48	20	56806188	56884495	-1	0.8541666666666666	N
256	ENSG00000062524	36.0	48	15	41795836	41806085	-1	0.75	N
257	ENSG00000133433	46.0	46	22	24299601	24303373	-1	1.0	Y
258	ENSG00000088899	46.0	48	20	3143263	3154192	-1	0.9583333333333334	N
259	ENSG00000212710	1.0	2	18	19993564	19997878	-1	0.5	N
260	ENSG00000107249	15.0	47	9	3824127	4348392	-1	0.3191489361702128	Y
261	ENSG00000150457	16.0	48	13	21547171	21635686	-1	0.3333333333333333	N
262	ENSG00000099974	46.0	48	22	24309089	24314721	1	0.9583333333333334	Y
263	ENSG00000184647	17.0	17	8	10383056	10411676	1	1.0	N
264	ENSG00000198171	48.0	48	20	3170996	3185331	-1	1.0	N
265	ENSG00000099977	48.0	48	22	24313554	24322660	-1	1.0	Y
266	ENSG00000184402	48.0	48	20	60718822	60757540	1	1.0	N
267	ENSG00000150459	48.0	48	13	21714653	21723221	1	1.0	N
268	ENSG00000145321	6.0	32	4	72607410	72669758	-1	0.1875	N
269	ENSG00000183638	16.0	16	8	10463859	10569697	-1	1.0	Y
270	ENSG00000099984	47.0	47	22	24322339	24326106	1	1.0	Y
271	ENSG00000171060	3.0	5	8	10530147	10558103	1	0.6	N
272	ENSG00000171189	14.0	46	21	30909254	31312351	-1	0.30434782608695654	Y
273	ENSG00000125877	48.0	48	20	3189514	3204516	1	1.0	N
274	ENSG00000165219	47.0	48	9	128024073	128129486	1	0.9791666666666666	N
275	ENSG00000101670	31.0	47	18	47087069	47119272	1	0.6595744680851063	N
276	ENSG00000165480	4.0	48	13	21727734	21750741	-1	0.08333333333333333	Y
277	ENSG00000171056	34.0	48	8	10581278	10697357	-1	0.7083333333333334	N
278	ENSG00000106688	46.0	47	9	4490444	4587469	1	0.9787234042553191	Y
279	ENSG00000172007	14.0	48	4	140374386	140397763	1	0.2916666666666667	N
280	ENSG00000184674	48.0	48	22	24376133	24384680	-1	1.0	Y
281	ENSG00000101773	34.0	48	18	20378224	20606451	1	0.7083333333333334	Y
282	ENSG00000138600	48.0	48	15	50999506	51058005	-1	1.0	N
283	ENSG00000184508	48.0	48	15	91474148	91475799	-1	1.0	N
284	ENSG00000124209	47.0	48	20	56884752	56942563	1	0.9791666666666666	N
285	ENSG00000147548	34.0	48	8	38127215	38239790	-1	0.7083333333333334	Y
286	ENSG00000157734	32.0	48	15	64443914	64449680	1	0.6666666666666666	N
287	ENSG00000185015	48.0	48	8	86132816	86196302	1	1.0	N
288	ENSG00000173141	47.0	48	13	21750784	21753223	1	0.9791666666666666	N
289	ENSG00000254093	22.0	48	8	10622473	10697394	-1	0.4583333333333333	N
290	ENSG00000156284	9.0	14	21	31586324	31588391	-1	0.6428571428571429	N
291	ENSG00000167702	48.0	48	8	145691426	145699585	1	1.0	N
292	ENSG00000166965	48.0	48	15	91498100	91506349	1	1.0	N
293	ENSG00000166794	28.0	48	15	64448011	64455404	-1	0.5833333333333334	N
294	ENSG00000182816	2.0	6	21	31743709	31744557	-1	0.3333333333333333	N
295	ENSG00000145391	21.0	48	4	140417095	140527853	-1	0.4375	N
296	ENSG00000171044	37.0	48	8	10753555	11058875	-1	0.7708333333333334	Y
297	ENSG00000170006	19.0	48	4	153539784	153601317	-1	0.3958333333333333	N
298	ENSG00000180776	46.0	48	13	21950263	22033509	-1	0.9583333333333334	Y
299	ENSG00000103932	48.0	48	15	41809374	41836467	-1	1.0	N
300	ENSG00000124164	48.0	48	20	56964178	57026157	1	1.0	Y
301	ENSG00000101181	48.0	48	20	60758085	60778624	1	1.0	N
302	ENSG00000102057	46.0	48	X	48818639	48827976	-1	0.9583333333333334	N
303	ENSG00000169989	43.0	47	4	153690506	153700916	-1	0.9148936170212766	N
304	ENSG00000106686	48.0	48	9	4553386	4666674	-1	1.0	Y
305	ENSG00000215346	15.0	29	8	10983980	10987745	-1	0.5172413793103449	N
306	ENSG00000145348	48.0	48	4	106962756	107242652	-1	1.0	Y
307	ENSG00000099991	48.0	48	22	24407642	24574596	1	1.0	Y
308	ENSG00000088836	48.0	48	20	3208063	3219836	-1	1.0	N
309	ENSG00000206190	17.0	48	15	25922420	26110317	-1	0.3541666666666667	Y
310	ENSG00000104643	48.0	48	8	11141925	11185646	1	1.0	N
311	ENSG00000165487	48.0	48	13	22066836	22178353	-1	1.0	N
312	ENSG00000183640	1.0	2	21	32185016	32185570	-1	0.5	N
313	ENSG00000198901	41.0	48	15	91509270	91538859	-1	0.8541666666666666	N
314	ENSG00000125354	34.0	48	X	118749687	118827333	-1	0.7083333333333334	N
315	ENSG00000164144	48.0	48	4	153701089	153839615	1	1.0	N
316	ENSG00000205808	44.0	48	9	4662298	4665256	1	0.9166666666666666	N
317	ENSG00000167315	42.0	48	18	47309869	47340330	-1	0.875	N
318	ENSG00000198768	28.0	32	20	57034157	57090187	-1	0.875	N
319	ENSG00000183090	6.0	10	4	144498455	144621828	-1	0.6	Y
320	ENSG00000102678	4.0	46	13	22245522	22278637	1	0.08695652173913043	N
321	ENSG00000085871	42.0	48	4	140586922	140661899	1	0.875	N
322	ENSG00000182378	48.0	48	X	192989	220023	1	1.0	Y
323	ENSG00000106993	47.0	48	9	4679559	4708398	1	0.9791666666666666	N
324	ENSG00000099994	48.0	48	22	24577227	24585078	1	1.0	Y
325	ENSG00000169744	29.0	48	4	16503164	16900432	-1	0.6041666666666666	Y
326	ENSG00000169118	38.0	48	15	64457716	64648442	-1	0.7916666666666666	Y
327	ENSG00000156299	31.0	48	21	32490734	32932290	-1	0.6458333333333334	Y
328	ENSG00000081014	44.0	48	15	51200869	51298097	1	0.9166666666666666	N
329	ENSG00000102683	32.0	47	13	23755091	23899304	1	0.6808510638297872	Y
330	ENSG00000101180	2.0	30	20	60790026	60795323	-1	0.06666666666666667	N
331	ENSG00000268941	1.0	31	20	57209828	57210772	1	0.03225806451612903	N
332	ENSG00000119487	28.0	48	9	128199672	128469513	-1	0.5833333333333334	N
333	ENSG00000137473	8.0	19	4	147627790	147867034	-1	0.42105263157894735	Y
334	ENSG00000178605	48.0	48	X	220025	230886	-1	1.0	Y
335	ENSG00000120251	31.0	42	4	158125334	158287227	1	0.7380952380952381	N
336	ENSG00000147853	48.0	48	9	4711155	4742043	-1	1.0	Y
337	ENSG00000196782	15.0	48	4	140637907	141075338	-1	0.3125	Y
338	ENSG00000197465	48.0	48	4	144792020	144826716	-1	1.0	Y
339	ENSG00000073067	31.0	34	7	1022835	1029276	1	0.9117647058823529	N
340	ENSG00000258256	11.0	12	8	86134675	86157946	-1	0.9166666666666666	N
341	ENSG00000167393	48.0	48	X	294698	347690	-1	1.0	Y
342	ENSG00000166206	43.0	46	15	26788693	27184686	-1	0.9347826086956522	Y
343	ENSG00000183578	26.0	48	15	51348795	51397473	-1	0.5416666666666666	N
344	ENSG00000068400	46.0	48	X	48830134	48858675	-1	0.9583333333333334	N
345	ENSG00000167306	21.0	48	18	47349183	47721463	-1	0.4375	Y
346	ENSG00000099998	48.0	48	22	24615622	24641110	-1	1.0	Y
347	ENSG00000137460	14.0	48	4	153857504	153900848	1	0.2916666666666667	N
348	ENSG00000166803	44.0	47	15	64657193	64679886	-1	0.9361702127659575	Y
349	ENSG00000142168	48.0	48	21	33031935	33041244	1	1.0	N
350	ENSG00000146540	48.0	48	7	1036622	1177896	-1	1.0	Y
351	ENSG00000120158	43.0	48	9	4792869	4885917	1	0.8958333333333334	N
352	ENSG00000184056	48.0	48	15	91541646	91565833	-1	1.0	N
353	ENSG00000160972	36.0	48	8	145703352	145727504	1	0.75	Y
354	ENSG00000153130	48.0	48	4	141178440	141306880	1	1.0	Y
355	ENSG00000185960	7.0	11	X	585079	620146	1	0.6363636363636364	Y
356	ENSG00000130703	19.0	48	20	60813580	60871268	1	0.3958333333333333	Y
357	ENSG00000179934	1.0	8	3	39371197	39375171	1	0.125	N
