field,value,count
gene_id,ENSG00000147206.12,2435
gene_id,ENSG00000147223.5,2441
gene_id,ENSG00000204065.2,2442
gene_id,ENSG00000204131.6,2445
gene_id,ENSG00000165376.6,2446
gene_id,ENSG00000160219.7,2454
gene_id,ENSG00000215274.5,2457
gene_id,ENSG00000213754.2,2462
gene_id,ENSG00000253193.4,2464
gene_id,ENSG00000125931.6,2472
gene_id,ENSG00000130826.11,2472
gene_id,ENSG00000196632.6,2473
gene_id,ENSG00000157502.8,2477
gene_id,ENSG00000089682.12,2485
gene_id,ENSG00000205611.3,2485
gene_id,ENSG00000225490.1,2487
gene_id,ENSG00000213569.4,2489
gene_id,ENSG00000269337.1,2491
gene_id,ENSG00000206693.1,2494
gene_id,ENSG00000179222.13,2494
gene_id,ENSG00000133134.7,2495
gene_id,ENSG00000133169.5,2496
gene_id,ENSG00000101951.12,2497
gene_id,ENSG00000131831.13,2499
gene_id,ENSG00000133131.10,2501
gene_id,ENSG00000232931.1,2508
gene_id,ENSG00000129680.11,2509
gene_id,ENSG00000107618.4,2512
gene_id,ENSG00000234571.1,2513
gene_id,ENSG00000182916.7,2516
gene_id,ENSG00000198035.9,2521
gene_id,ENSG00000231209.1,2521
gene_id,ENSG00000215863.2,2522
gene_id,ENSG00000224216.1,2523
gene_id,ENSG00000185222.7,2525
gene_id,ENSG00000224882.2,2528
gene_id,ENSG00000165388.8,2529
gene_id,ENSG00000233765.1,2530
gene_id,ENSG00000270012.1,2533
gene_id,ENSG00000204175.4,2539
gene_id,ENSG00000155962.8,2541
gene_id,ENSG00000049769.8,2545
gene_id,ENSG00000166681.9,2547
gene_id,ENSG00000130830.10,2550
gene_id,ENSG00000102043.11,2556
gene_id,ENSG00000198088.6,2560
gene_id,ENSG00000080572.8,2560
gene_id,ENSG00000130119.11,2562
gene_id,ENSG00000049768.10,2566
gene_id,ENSG00000102302.7,2588
gene_id,ENSG00000158526.7,2589
gene_id,ENSG00000240929.2,2597
gene_id,ENSG00000203818.6,2600
gene_id,ENSG00000189369.7,2601
gene_id,ENSG00000234390.4,2608
gene_id,ENSG00000242013.4,2610
gene_id,ENSG00000123572.12,2617
gene_id,ENSG00000107623.4,2620
gene_id,ENSG00000204176.9,2621
gene_id,ENSG00000188158.10,2622
gene_id,ENSG00000145736.10,2625
gene_id,ENSG00000228986.1,2634
gene_id,ENSG00000198205.5,2636
gene_id,ENSG00000265984.1,2637
gene_id,ENSG00000133142.13,2637
gene_id,ENSG00000155961.4,2638
gene_id,ENSG00000155959.6,2639
gene_id,ENSG00000117281.11,2643
gene_id,ENSG00000141449.10,2644
gene_id,ENSG00000196507.6,2648
gene_id,ENSG00000172465.9,2662
gene_id,ENSG00000129675.11,2664
gene_id,ENSG00000101997.8,2666
gene_id,ENSG00000231187.2,2666
gene_id,ENSG00000172476.3,2668
gene_id,ENSG00000102001.8,2669
gene_id,ENSG00000230216.1,2670
gene_id,ENSG00000229227.4,2673
gene_id,ENSG00000160211.11,2675
gene_id,ENSG00000171365.11,2675
gene_id,ENSG00000237161.3,2675
gene_id,ENSG00000179363.6,2676
gene_id,ENSG00000253203.2,2680
gene_id,ENSG00000123562.12,2681
gene_id,ENSG00000231154.1,2681
gene_id,ENSG00000188828.7,2683
gene_id,ENSG00000102098.13,2685
gene_id,ENSG00000205456.7,2688
gene_id,ENSG00000234405.1,2690
gene_id,ENSG00000149531.10,2691
gene_id,ENSG00000231551.2,2692
gene_id,ENSG00000123560.9,2696
gene_id,ENSG00000073009.8,2697
gene_id,ENSG00000214827.5,2700
gene_id,ENSG00000123570.3,2700
gene_id,ENSG00000197932.3,2704
gene_id,ENSG00000174827.9,2706
gene_id,ENSG00000102245.3,2722
gene_id,ENSG00000225125.2,2724
gene_id,ENSG00000134597.9,2729
gene_id,ENSG00000102239.4,2729
gene_id,ENSG00000102241.7,2730
gene_id,ENSG00000174501.10,2732
gene_id,ENSG00000204466.5,2733
gene_id,ENSG00000102003.6,2737
gene_id,ENSG00000102078.11,2737
gene_id,ENSG00000231584.4,2744
gene_id,ENSG00000260831.1,2744
gene_id,ENSG00000261773.1,2745
gene_id,ENSG00000102316.12,2748
gene_id,ENSG00000238151.1,2749
gene_id,ENSG00000230847.4,2751
gene_id,ENSG00000012211.8,2753
gene_id,ENSG00000071889.12,2753
gene_id,ENSG00000147082.13,2756
gene_id,ENSG00000225400.1,2758
gene_id,ENSG00000232611.1,2758
gene_id,ENSG00000102243.8,2758
gene_id,ENSG00000186281.8,2759
gene_id,ENSG00000221716.1,2760
gene_id,ENSG00000231728.2,2760
gene_id,ENSG00000158427.10,2761
gene_id,ENSG00000234345.2,2764
gene_id,ENSG00000182307.8,2765
gene_id,ENSG00000102128.6,2767
gene_id,ENSG00000102007.6,2768
gene_id,ENSG00000076770.10,2769
gene_id,ENSG00000239407.1,2773
gene_id,ENSG00000056277.11,2776
gene_id,ENSG00000259942.1,2776
gene_id,ENSG00000017621.11,2781
gene_id,ENSG00000163121.5,2782
gene_id,ENSG00000165675.12,2783
gene_id,ENSG00000147234.6,2784
gene_id,ENSG00000228463.4,2786
gene_id,ENSG00000185515.10,2789
gene_id,ENSG00000166707.6,2790
gene_id,ENSG00000198250.8,2790
gene_id,ENSG00000121152.5,2791
gene_id,ENSG00000247765.1,2793
gene_id,ENSG00000008086.6,2793
gene_id,ENSG00000176274.6,2796
gene_id,ENSG00000123575.8,2797
gene_id,ENSG00000198885.5,2803
gene_id,ENSG00000204150.7,2804
gene_id,ENSG00000147274.10,2806
gene_id,ENSG00000230267.3,2811
gene_id,ENSG00000126903.11,2813
gene_id,ENSG00000230747.1,2813
gene_id,ENSG00000152726.14,2814
gene_id,ENSG00000213468.3,2817
gene_id,ENSG00000147099.15,2817
gene_id,ENSG00000196843.11,2818
gene_id,ENSG00000222040.3,2821
gene_id,ENSG00000235480.1,2821
gene_id,ENSG00000157514.12,2824
gene_id,ENSG00000265033.1,2824
gene_id,ENSG00000234062.3,2825
gene_id,ENSG00000102178.8,2825
gene_id,ENSG00000158050.4,2829
gene_id,ENSG00000144028.10,2831
gene_id,ENSG00000188886.3,2833
gene_id,ENSG00000147224.6,2840
gene_id,ENSG00000165775.13,2840
gene_id,ENSG00000256618.1,2840
gene_id,ENSG00000185010.9,2845
gene_id,ENSG00000196976.5,2849
gene_id,ENSG00000158352.11,2853
gene_id,ENSG00000077264.10,2855
gene_id,ENSG00000198908.7,2855
gene_id,ENSG00000086717.14,2863
gene_id,ENSG00000147255.13,2863
gene_id,ENSG00000102104.8,2864
gene_id,ENSG00000134594.4,2864
gene_id,ENSG00000242610.1,2864
gene_id,ENSG00000158301.14,2866
gene_id,ENSG00000156709.9,2868
gene_id,ENSG00000080561.9,2868
gene_id,ENSG00000067445.16,2868
gene_id,ENSG00000261461.1,2873
gene_id,ENSG00000223546.2,2874
gene_id,ENSG00000269904.2,2874
gene_id,ENSG00000204116.7,2874
gene_id,ENSG00000068394.9,2878
gene_id,ENSG00000144021.2,2884
gene_id,ENSG00000135956.4,2884
gene_id,ENSG00000084090.9,2886
gene_id,ENSG00000204685.5,2887
gene_id,ENSG00000251634.2,2888
gene_id,ENSG00000232160.2,2890
gene_id,ENSG00000123728.5,2892
gene_id,ENSG00000114982.13,2894
gene_id,ENSG00000249715.5,2894
gene_id,ENSG00000130827.5,2894
gene_id,ENSG00000186462.7,2895
gene_id,ENSG00000237307.2,2897
gene_id,ENSG00000102125.11,2902
gene_id,ENSG00000013563.9,2905
gene_id,ENSG00000102034.12,2905
gene_id,ENSG00000255559.1,2906
gene_id,ENSG00000203879.7,2907
gene_id,ENSG00000071859.10,2907
gene_id,ENSG00000237836.1,2909
gene_id,ENSG00000196922.6,2910
gene_id,ENSG00000071553.12,2910
gene_id,ENSG00000197180.1,2910
gene_id,ENSG00000173198.4,2911
gene_id,ENSG00000198932.8,2912
gene_id,ENSG00000272824.1,2916
gene_id,ENSG00000207165.1,2917
gene_id,ENSG00000228659.1,2920
gene_id,ENSG00000147256.6,2920
gene_id,ENSG00000147403.12,2922
gene_id,ENSG00000198019.8,2922
gene_id,ENSG00000067177.10,2923
gene_id,ENSG00000254618.1,2926
gene_id,ENSG00000271147.3,2928
gene_id,ENSG00000255164.1,2929
gene_id,ENSG00000125962.10,2932
gene_id,ENSG00000085185.11,2936
gene_id,ENSG00000196998.11,2939
gene_id,ENSG00000102119.6,2939
gene_id,ENSG00000134602.11,2940
gene_id,ENSG00000173698.13,2943
gene_id,ENSG00000196924.10,2947
gene_id,ENSG00000101938.10,2948
gene_id,ENSG00000147100.5,2949
gene_id,ENSG00000232729.3,2949
gene_id,ENSG00000187325.4,2953
gene_id,ENSG00000131828.9,2954
gene_id,ENSG00000186810.7,2955
gene_id,ENSG00000184500.10,2957
gene_id,ENSG00000213695.3,2958
gene_id,ENSG00000230665.3,2960
gene_id,ENSG00000126970.11,2962
gene_id,ENSG00000233029.3,2963
gene_id,ENSG00000243279.2,2964
gene_id,ENSG00000158517.9,2970
gene_id,ENSG00000169379.11,2971
gene_id,ENSG00000050030.9,2972
gene_id,ENSG00000010404.13,2972
gene_id,ENSG00000214322.3,2974
gene_id,ENSG00000238039.1,2975
gene_id,ENSG00000241769.3,2976
gene_id,ENSG00000197620.6,2977
gene_id,ENSG00000158164.6,2977
gene_id,ENSG00000170631.10,2978
gene_id,ENSG00000044446.7,2979
gene_id,ENSG00000147144.8,2980
gene_id,ENSG00000235802.1,2986
gene_id,ENSG00000186288.4,2986
gene_id,ENSG00000177854.7,2987
gene_id,ENSG00000184388.4,2987
gene_id,ENSG00000172534.9,2987
gene_id,ENSG00000230673.3,2988
gene_id,ENSG00000196970.4,2989
gene_id,ENSG00000236064.1,2990
gene_id,ENSG00000068323.12,2991
gene_id,ENSG00000204118.1,2993
gene_id,ENSG00000225261.1,2994
gene_id,ENSG00000196368.4,2998
gene_id,ENSG00000158571.6,3001
gene_id,ENSG00000169188.4,3002
gene_id,ENSG00000230590.3,3004
gene_id,ENSG00000250138.3,3009
gene_id,ENSG00000185945.9,3012
gene_id,ENSG00000159123.10,3014
gene_id,ENSG00000177189.8,3017
gene_id,ENSG00000183675.10,3022
gene_id,ENSG00000169891.13,3023
gene_id,ENSG00000231875.1,3025
gene_id,ENSG00000131263.8,3026
gene_id,ENSG00000102032.8,3027
gene_id,ENSG00000196275.9,3029
gene_id,ENSG00000224481.1,3030
gene_id,ENSG00000068400.9,3033
gene_id,ENSG00000007350.12,3033
gene_id,ENSG00000147174.7,3035
gene_id,ENSG00000077809.8,3039
gene_id,ENSG00000156697.8,3043
gene_id,ENSG00000114988.7,3044
gene_id,ENSG00000184216.7,3045
gene_id,ENSG00000223345.3,3046
gene_id,ENSG00000271430.1,3048
gene_id,ENSG00000102144.9,3049
gene_id,ENSG00000158578.14,3049
gene_id,ENSG00000102057.5,3051
gene_id,ENSG00000231830.1,3054
gene_id,ENSG00000213244.3,3054
gene_id,ENSG00000184911.10,3054
gene_id,ENSG00000183604.10,3055
gene_id,ENSG00000269911.1,3055
gene_id,ENSG00000229807.5,3061
gene_id,ENSG00000102893.11,3064
gene_id,ENSG00000158158.7,3064
gene_id,ENSG00000271533.1,3064
gene_id,ENSG00000228492.2,3065
gene_id,ENSG00000102030.11,3066
gene_id,ENSG00000155984.10,3069
gene_id,ENSG00000101935.5,3069
gene_id,ENSG00000129636.8,3070
gene_id,ENSG00000068308.9,3076
gene_id,ENSG00000229759.1,3083
gene_id,ENSG00000169057.15,3088
gene_id,ENSG00000178750.2,3089
gene_id,ENSG00000180815.10,3089
gene_id,ENSG00000228638.1,3090
gene_id,ENSG00000164048.9,3094
gene_id,ENSG00000243978.4,3094
gene_id,ENSG00000172113.4,3097
gene_id,ENSG00000237094.7,3098
gene_id,ENSG00000106714.13,3099
gene_id,ENSG00000164047.3,3100
gene_id,ENSG00000224430.2,3100
gene_id,ENSG00000102054.13,3103
gene_id,ENSG00000229453.1,3103
gene_id,ENSG00000133136.3,3103
gene_id,ENSG00000169217.4,3104
gene_id,ENSG00000260219.1,3105
gene_id,ENSG00000184596.4,3107
gene_id,ENSG00000273069.1,3108
gene_id,ENSG00000269501.1,3109
gene_id,ENSG00000164049.10,3112
gene_id,ENSG00000147162.9,3114
gene_id,ENSG00000164045.7,3114
gene_id,ENSG00000160828.13,3117
gene_id,ENSG00000101842.9,3118
gene_id,ENSG00000089820.11,3118
gene_id,ENSG00000123965.12,3121
gene_id,ENSG00000187690.2,3128
gene_id,ENSG00000196150.9,3129
gene_id,ENSG00000109184.10,3131
gene_id,ENSG00000273265.1,3133
gene_id,ENSG00000168763.11,3136
gene_id,ENSG00000171659.9,3136
gene_id,ENSG00000188706.8,3136
gene_id,ENSG00000102096.9,3136
gene_id,ENSG00000217624.2,3137
gene_id,ENSG00000232928.2,3138
gene_id,ENSG00000169221.9,3141
gene_id,ENSG00000180209.7,3142
gene_id,ENSG00000233653.3,3142
gene_id,ENSG00000223650.1,3143
gene_id,ENSG00000238269.4,3145
gene_id,ENSG00000198157.6,3148
gene_id,ENSG00000102100.10,3148
gene_id,ENSG00000131171.8,3148
gene_id,ENSG00000215174.2,3149
gene_id,ENSG00000156009.5,3150
gene_id,ENSG00000229151.1,3151
gene_id,ENSG00000102103.11,3151
gene_id,ENSG00000226530.1,3151
gene_id,ENSG00000126768.8,3153
gene_id,ENSG00000202496.1,3154
gene_id,ENSG00000180035.6,3158
gene_id,ENSG00000226784.1,3160
gene_id,ENSG00000047849.17,3161
gene_id,ENSG00000164050.8,3164
gene_id,ENSG00000235703.1,3169
gene_id,ENSG00000248503.2,3170
gene_id,ENSG00000197021.4,3171
gene_id,ENSG00000234969.1,3173
gene_id,ENSG00000164051.9,3177
gene_id,ENSG00000163126.10,3177
gene_id,ENSG00000147130.10,3178
gene_id,ENSG00000232112.3,3178
gene_id,ENSG00000171657.5,3179
gene_id,ENSG00000086712.8,3180
gene_id,ENSG00000184634.11,3180
gene_id,ENSG00000164053.13,3181
gene_id,ENSG00000244380.1,3181
gene_id,ENSG00000101844.13,3183
gene_id,ENSG00000101843.14,3183
gene_id,ENSG00000185554.10,3184
gene_id,ENSG00000184616.7,3185
gene_id,ENSG00000102109.7,3186
gene_id,ENSG00000196338.8,3187
gene_id,ENSG00000153093.14,3188
gene_id,ENSG00000225470.2,3188
gene_id,ENSG00000169679.10,3188
gene_id,ENSG00000065923.5,3188
gene_id,ENSG00000178700.3,3189
gene_id,ENSG00000213689.5,3189
gene_id,ENSG00000184481.12,3190
gene_id,ENSG00000187682.1,3190
gene_id,ENSG00000260628.1,3191
gene_id,ENSG00000213337.4,3191
gene_id,ENSG00000145040.3,3192
gene_id,ENSG00000114268.7,3192
gene_id,ENSG00000228906.1,3193
gene_id,ENSG00000178694.5,3193
gene_id,ENSG00000169562.9,3193
gene_id,ENSG00000147168.8,3194
gene_id,ENSG00000126895.9,3194
gene_id,ENSG00000237926.1,3196
gene_id,ENSG00000204165.5,3196
gene_id,ENSG00000180096.7,3197
gene_id,ENSG00000147119.3,3197
gene_id,ENSG00000179958.4,3198
gene_id,ENSG00000179965.7,3201
gene_id,ENSG00000225697.6,3202
gene_id,ENSG00000125804.9,3202
gene_id,ENSG00000147140.11,3203
gene_id,ENSG00000228427.1,3204
gene_id,ENSG00000114270.11,3205
gene_id,ENSG00000168758.6,3206
gene_id,ENSG00000010256.6,3207
gene_id,ENSG00000122824.6,3207
gene_id,ENSG00000270499.1,3208
gene_id,ENSG00000233013.4,3210
gene_id,ENSG00000230317.1,3211
gene_id,ENSG00000008300.10,3212
gene_id,ENSG00000164054.11,3212
gene_id,ENSG00000147044.16,3212
gene_id,ENSG00000228350.1,3212
gene_id,ENSG00000271973.1,3213
gene_id,ENSG00000198910.8,3213
gene_id,ENSG00000231536.1,3218
gene_id,ENSG00000213672.3,3222
gene_id,ENSG00000094631.14,3223
gene_id,ENSG00000102218.5,3224
gene_id,ENSG00000147166.6,3225
gene_id,ENSG00000102145.9,3225
gene_id,ENSG00000147164.7,3226
gene_id,ENSG00000230844.2,3227
gene_id,ENSG00000251192.3,3227
gene_id,ENSG00000224072.1,3227
gene_id,ENSG00000235587.2,3228
gene_id,ENSG00000147121.11,3230
gene_id,ENSG00000271199.1,3231
gene_id,ENSG00000183474.11,3232
gene_id,ENSG00000169895.5,3234
gene_id,ENSG00000179918.15,3234
gene_id,ENSG00000101890.4,3235
gene_id,ENSG00000147010.13,3235
gene_id,ENSG00000233585.1,3235
gene_id,ENSG00000068745.10,3236
gene_id,ENSG00000122122.9,3236
gene_id,ENSG00000101888.7,3236
